Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,52.251218,[94 17] ; [ 2 20],[80.12030075 30.87969925] ; [15.87969925  6.12030075],1
r2,1,0.00046,12.272454,[96 15] ; [12 10],[90.13533835 20.86466165] ; [17.86466165  4.13533835],1
v4,1,0.000857,11.114288,[103   8] ; [15  7],[98.48120301 12.51879699] ; [19.51879699  2.48120301],1
p11,1,0.004346,8.133224,[76 35] ; [ 8 14],[70.10526316 40.89473684] ; [13.89473684  8.10526316],0
b1,1,0.031098,4.647557,[43 68] ; [14  8],[47.57142857 63.42857143] ; [ 9.42857143 12.57142857],0
p9,1,0.031702,4.614522,[78 31] ; [10 11],[73.78461538 35.21538462] ; [14.21538462  6.78461538],0
v2,1,0.03445,4.47222,[51 57] ; [ 5 17],[46.52307692 61.47692308] ; [ 9.47692308 12.52307692],0
a7,1,0.056095,3.649229,[78 32] ; [11 11],[74.16666667 35.83333333] ; [14.83333333  7.16666667],0
n6,1,0.079405,3.07704,[77 34] ; [11 11],[73.44360902 37.55639098] ; [14.55639098  7.44360902],0
a5,1,0.079827,3.068419,[63 48] ; [ 8 14],[59.2556391 51.7443609] ; [11.7443609 10.2556391],0
r1,1,0.087162,2.926029,[72 39] ; [10 12],[68.43609023 42.56390977] ; [13.56390977  8.43609023],0
n3,1,0.112874,2.513508,[26 15] ; [5 8],[23.53703704 17.46296296] ; [7.46296296 5.53703704],0
a6,1,0.127944,2.317271,[65 46] ; [ 9 13],[61.7593985 49.2406015] ; [12.2406015  9.7593985],0
s2,1,0.14943,2.078062,[18 92] ; [ 1 21],[15.83333333 94.16666667] ; [ 3.16666667 18.83333333],0
s1,1,0.150125,2.070977,[  3 108] ; [ 2 20],[  4.17293233 106.82706767] ; [ 0.82706767 21.17293233],0
p1,1,0.150125,2.070977,[  3 108] ; [ 2 20],[  4.17293233 106.82706767] ; [ 0.82706767 21.17293233],0
p2,1,0.157962,1.993624,[77 33] ; [12 10],[74.16666667 35.83333333] ; [14.83333333  7.16666667],0
d1,1,0.163468,1.941844,[48 63] ; [ 6 16],[45.06766917 65.93233083] ; [ 8.93233083 13.06766917],0
s6,1,0.182068,1.780663,[41 68] ; [ 5 17],[38.27480916 70.72519084] ; [ 7.72519084 14.27480916],0
u3,1,0.206745,1.594078,[25 24] ; [6 2],[26.64912281 22.35087719] ; [4.35087719 3.64912281],0
d5,1,0.235707,1.406087,[79 31] ; [13  9],[76.66666667 33.33333333] ; [15.33333333  6.66666667],0
d2,1,0.237686,1.394267,[34 77] ; [ 4 18],[31.71428571 79.28571429] ; [ 6.28571429 15.71428571],0
s7,1,0.249964,1.323506,[20 87] ; [ 6 14],[21.90551181 85.09448819] ; [ 4.09448819 15.90551181],0
s5,1,0.252515,1.309333,[21 88] ; [ 2 20],[19.13740458 89.86259542] ; [ 3.86259542 18.13740458],0
p6,1,0.28378,1.148896,[26 82] ; [ 3 19],[24.09230769 83.90769231] ; [ 4.90769231 17.09230769],0
b5,1,0.359312,0.840295,[72 39] ; [12 10],[70.10526316 40.89473684] ; [13.89473684  8.10526316],0
a4,1,0.384924,0.754917,[30 81] ; [ 4 18],[28.37593985 82.62406015] ; [ 5.62406015 16.37593985],0
s8,1,0.385123,0.754286,[18 92] ; [ 2 20],[16.66666667 93.33333333] ; [ 3.33333333 18.66666667],0
n1,1,0.394944,0.723667,[ 8 33] ; [4 9],[ 9.11111111 31.88888889] ; [ 2.88888889 10.11111111],0
p12,1,0.433303,0.613953,[  2 108] ; [ 1 21],[  2.5 107.5] ; [ 0.5 21.5],0
b2,1,0.43752,0.602779,[12 41] ; [4 8],[13.04615385 39.95384615] ; [2.95384615 9.04615385],0
b3,1,0.43752,0.602779,[12 41] ; [4 8],[13.04615385 39.95384615] ; [2.95384615 9.04615385],0
p10,1,0.440551,0.594848,[69 40] ; [12 10],[67.39694656 41.60305344] ; [13.60305344  8.39694656],0
n5,1,0.459872,0.546207,[36 74] ; [ 9 13],[37.5 72.5] ; [ 7.5 14.5],0
n2,1,0.471056,0.519499,[26 14] ; [7 6],[24.90566038 15.09433962] ; [8.09433962 4.90566038],0
p7,1,0.48307,0.491925,[54 56] ; [ 9 13],[52.5 57.5] ; [10.5 11.5],0
a3,1,0.500506,0.453863,[62 49] ; [14  8],[63.42857143 47.57142857] ; [12.57142857  9.42857143],0
p5,1,0.514054,0.425806,[  6 104] ; [ 2 20],[  6.66666667 103.33333333] ; [ 1.33333333 20.66666667],0
v3,1,0.554389,0.349513,[23 84] ; [ 6 16],[24.05426357 82.94573643] ; [ 4.94573643 17.05426357],0
d3,1,0.589628,0.290925,[71 38] ; [13  9],[69.89312977 39.10687023] ; [14.10687023  7.89312977],0
u1,1,0.64977,0.20619,[  8 103] ; [ 1 21],[  7.5112782 103.4887218] ; [ 1.4887218 20.5112782],0
v1,1,0.665106,0.187381,[40 71] ; [ 9 13],[40.89473684 70.10526316] ; [ 8.10526316 13.89473684],0
a2,1,0.701905,0.146498,[12 99] ; [ 3 19],[12.51879699 98.48120301] ; [ 2.48120301 19.51879699],0
p3,1,0.734764,0.114783,[34 76] ; [ 6 16],[33.33333333 76.66666667] ; [ 6.66666667 15.33333333],0
s4,1,0.736232,0.113466,[17 94] ; [ 4 18],[17.52631579 93.47368421] ; [ 3.47368421 18.52631579],0
u2,1,0.872266,0.02585,[26 23] ; [4 4],[25.78947368 23.21052632] ; [4.21052632 3.78947368],0
p4,1,0.872497,0.025756,[42 68] ; [ 8 14],[41.66666667 68.33333333] ; [ 8.33333333 13.66666667],0
p8,1,0.937069,0.006234,[46 64] ; [ 9 13],[45.83333333 64.16666667] ; [ 9.16666667 12.83333333],0
d4,1,0.950043,0.003925,[80 31] ; [16  6],[80.12030075 30.87969925] ; [15.87969925  6.12030075],0
b4,1,0.97187,0.001243,[61 50] ; [12 10],[60.92481203 50.07518797] ; [12.07518797  9.92481203],0
