Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,25.176056,[36 63] ; [36  8],[49.84615385 49.15384615] ; [22.15384615 21.84615385],1
p4,1,1e-06,24.135946,[25 75] ; [30 14],[38.19444444 61.80555556] ; [16.80555556 27.19444444],1
p8,1,9.1e-05,15.320104,[31 69] ; [29 15],[41.66666667 58.33333333] ; [18.33333333 25.66666667],1
s7,1,0.000516,12.056891,[12 85] ; [16 26],[19.53956835 77.46043165] ; [ 8.46043165 33.53956835],1
s6,1,0.001676,9.87468,[27 72] ; [24 20],[35.30769231 63.69230769] ; [15.69230769 28.30769231],0
a5,1,0.002891,8.875043,[44 57] ; [31 13],[52.24137931 48.75862069] ; [22.75862069 21.24137931],0
r4,1,0.003917,8.321955,[66 35] ; [39  5],[73.13793103 27.86206897] ; [31.86206897 12.13793103],0
v1,1,0.011176,6.437176,[29 71] ; [22 21],[35.66433566 64.33566434] ; [15.33566434 27.66433566],0
p2,1,0.015238,5.888769,[64 37] ; [36  7],[70.13888889 30.86111111] ; [29.86111111 13.13888889],0
p9,1,0.016989,5.697495,[61 38] ; [36  8],[67.15384615 31.84615385] ; [29.84615385 14.15384615],0
n2,1,0.022169,5.232474,[24 21] ; [10  1],[27.32142857 17.67857143] ; [6.67857143 4.32142857],0
r2,1,0.02672,4.908805,[78 22] ; [41  3],[82.63888889 17.36111111] ; [36.36111111  7.63888889],0
p5,1,0.043559,4.073583,[ 3 97] ; [ 5 39],[ 5.55555556 94.44444444] ; [ 2.44444444 41.55555556],0
p10,1,0.045092,4.015179,[55 45] ; [32 12],[60.41666667 39.58333333] ; [26.58333333 17.41666667],0
s4,1,0.062614,3.466765,[11 90] ; [10 34],[14.62758621 86.37241379] ; [ 6.37241379 37.62758621],0
p6,1,0.091337,2.850658,[13 88] ; [10 31],[16.35915493 84.64084507] ; [ 6.64084507 34.35915493],0
a7,1,0.100003,2.705496,[64 37] ; [34 10],[68.26206897 32.73793103] ; [29.73793103 14.26206897],0
u3,1,0.11128,2.535949,[21 25] ; [11  5],[23.74193548 22.25806452] ; [8.25806452 7.74193548],0
v4,1,0.128698,2.308138,[83 16] ; [41  3],[85.84615385 13.15384615] ; [38.15384615  5.84615385],0
s8,1,0.130737,2.28373,[11 89] ; [ 9 35],[13.88888889 86.11111111] ; [ 6.11111111 37.88888889],0
p1,1,0.133917,2.246505,[ 2 99] ; [ 3 40],[ 3.50694444 97.49305556] ; [ 1.49305556 41.50694444],0
r1,1,0.139543,2.182993,[63 38] ; [33 11],[66.86896552 34.13103448] ; [29.13103448 14.86896552],0
s5,1,0.149414,2.078221,[13 86] ; [10 34],[15.92307692 83.07692308] ; [ 7.07692308 36.92307692],0
