Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,119.438131,[ 9 41] ; [322  52],[39.03301887 10.96698113] ; [291.96698113  82.03301887],1
v4,1,0.0,59.891941,[28 22] ; [346  26],[44.31279621  5.68720379] ; [329.68720379  42.31279621],1
r1,1,0.0,48.310652,[14 36] ; [283  90],[35.10638298 14.89361702] ; [261.89361702 111.10638298],1
r3,1,0.0,38.485138,[30 19] ; [342  31],[43.1943128  5.8056872] ; [328.8056872  44.1943128],1
p10,1,1.2e-05,19.163626,[19 30] ; [259 110],[32.58851675 16.41148325] ; [245.41148325 123.58851675],1
b1,1,3.7e-05,17.030188,[34 16] ; [140 234],[20.51886792 29.48113208] ; [153.48113208 220.51886792],1
p2,1,9.8e-05,15.166024,[26 24] ; [287  83],[37.26190476 12.73809524] ; [275.73809524  94.26190476],1
a6,1,0.000212,13.723626,[23 27] ; [268 105],[34.39716312 15.60283688] ; [256.60283688 116.39716312],1
p11,1,0.000415,12.465361,[24 26] ; [271 103],[34.78773585 15.21226415] ; [260.21226415 113.78773585],1
a7,1,0.000617,11.72452,[26 24] ; [280  93],[36.17021277 13.82978723] ; [269.82978723 103.17021277],1
p9,1,0.000785,11.2772,[24 24] ; [271  98],[33.95683453 14.04316547] ; [261.04316547 107.95683453],1
u3,1,0.000955,10.913475,[ 4 21] ; [71 66],[11.57407407 13.42592593] ; [63.42592593 73.57407407],1
d5,1,0.001791,9.751795,[27 23] ; [279  93],[36.25592417 13.74407583] ; [269.74407583 102.25592417],0
d1,1,0.002255,9.329167,[13 37] ; [183 191],[23.11320755 26.88679245] ; [172.88679245 201.11320755],0
n6,1,0.00241,9.208025,[27 22] ; [281  91],[35.847981 13.152019] ; [272.152019  99.847981],0
v3,1,0.002441,9.184064,[ 6 44] ; [119 241],[15.24390244 34.75609756] ; [109.75609756 250.24390244],0
n4,1,0.004596,8.03207,[25 25] ; [261 112],[33.80614657 16.19385343] ; [252.19385343 120.80614657],0
