Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,31.409525,[41  5] ; [ 7 21],[29.83783784 16.16216216] ; [18.16216216  9.83783784],1
v4,1,0.006053,7.53436,[45  1] ; [22  6],[41.64864865  4.35135135] ; [25.35135135  2.64864865],0
r3,1,0.006728,7.344142,[44  1] ; [22  6],[40.68493151  4.31506849] ; [25.31506849  2.68493151],0
s6,1,0.009928,6.647717,[41  5] ; [18 10],[36.67567568  9.32432432] ; [22.32432432  5.67567568],0
r2,1,0.016527,5.745905,[45  1] ; [23  5],[42.27027027  3.72972973] ; [25.72972973  2.27027027],0
s8,1,0.017222,5.673627,[34 12] ; [13 15],[29.21621622 16.78378378] ; [17.78378378 10.21621622],0
v3,1,0.031984,4.599352,[ 9 33] ; [12 14],[12.97058824 29.02941176] ; [ 8.02941176 17.97058824],0
p5,1,0.047236,3.936956,[ 1 44] ; [ 4 24],[ 3.08219178 41.91780822] ; [ 1.91780822 26.08219178],0
s4,1,0.051088,3.805397,[22 24] ; [ 7 21],[18.02702703 27.97297297] ; [10.97297297 17.02702703],0
s5,1,0.059652,3.547028,[22 21] ; [ 8 20],[18.16901408 24.83098592] ; [11.83098592 16.16901408],0
p9,1,0.064235,3.424508,[39  5] ; [20  8],[36.05555556  7.94444444] ; [22.94444444  5.05555556],0
p6,1,0.084401,2.978043,[19 26] ; [ 6 21],[15.625 29.375] ; [ 9.375 17.625],0
p3,1,0.090214,2.870548,[17 29] ; [16 12],[20.51351351 25.48648649] ; [12.48648649 15.51351351],0
b5,1,0.090214,2.870548,[29 17] ; [12 16],[25.48648649 20.51351351] ; [15.51351351 12.48648649],0
p4,1,0.184788,1.758687,[24 22] ; [19  9],[26.72972973 19.27027027] ; [16.27027027 11.72972973],0
r4,1,0.18992,1.718241,[40  6] ; [21  7],[37.91891892  8.08108108] ; [23.08108108  4.91891892],0
u3,1,0.247879,1.335216,[11  2] ; [5 3],[9.9047619 3.0952381] ; [6.0952381 1.9047619],0
n6,1,0.258454,1.277017,[28 17] ; [21  7],[30.20547945 14.79452055] ; [18.79452055  9.20547945],0
b1,1,0.270053,1.216478,[17 29] ; [14 14],[19.27027027 26.72972973] ; [11.72972973 16.27027027],0
b4,1,0.374444,0.788864,[31 15] ; [16 12],[29.21621622 16.78378378] ; [17.78378378 10.21621622],0
n1,1,0.377822,0.777778,[8 8] ; [4 8],[6.85714286 9.14285714] ; [5.14285714 6.85714286],0
d3,1,0.377875,0.777605,[30 16] ; [21  7],[31.7027027 14.2972973] ; [19.2972973  8.7027027],0
n3,1,0.3869,0.748663,[12  5] ; [6 5],[10.92857143  6.07142857] ; [7.07142857 3.92857143],0
p1,1,0.410326,0.677857,[ 6 39] ; [ 2 26],[ 4.93150685 40.06849315] ; [ 3.06849315 24.93150685],0
a5,1,0.430637,0.621104,[27 19] ; [19  9],[28.59459459 17.40540541] ; [17.40540541 10.59459459],0
a8,1,0.462783,0.539156,[ 3 41] ; [ 3 22],[ 3.82608696 40.17391304] ; [ 2.17391304 22.82608696],0
d5,1,0.506453,0.441388,[36 10] ; [20  8],[34.81081081 11.18918919] ; [21.18918919  6.81081081],0
p10,1,0.523627,0.406744,[38  7] ; [22  6],[36.98630137  8.01369863] ; [23.01369863  4.98630137],0
a6,1,0.559549,0.340485,[31 15] ; [17 11],[29.83783784 16.16216216] ; [18.16216216  9.83783784],0
u4,1,0.71919,0.12927,[ 1 45] ; [ 1 27],[ 1.24324324 44.75675676] ; [ 0.75675676 27.24324324],0
p2,1,0.746389,0.10459,[36 10] ; [21  7],[35.43243243 10.56756757] ; [21.56756757  6.43243243],0
p7,1,0.75778,0.095109,[27 15] ; [19  9],[27.6 14.4] ; [18.4  9.6],0
n5,1,0.804165,0.061485,[19 26] ; [11 17],[18.49315068 26.50684932] ; [11.50684932 16.49315068],0
d2,1,0.804425,0.061318,[20 26] ; [13 15],[20.51351351 25.48648649] ; [12.48648649 15.51351351],0
r1,1,0.864946,0.028928,[32 14] ; [20  8],[32.32432432 13.67567568] ; [19.67567568  8.32432432],0
p12,1,0.869545,0.026973,[ 2 44] ; [ 1 27],[ 1.86486486 44.13513514] ; [ 1.13513514 26.86486486],0
u1,1,0.879506,0.022981,[ 6 40] ; [ 4 24],[ 6.21621622 39.78378378] ; [ 3.78378378 24.21621622],0
v2,1,0.883886,0.021329,[22 19] ; [14 13],[21.70588235 19.29411765] ; [14.29411765 12.70588235],0
d1,1,0.907035,0.013637,[22 24] ; [13 15],[21.75675676 24.24324324] ; [13.24324324 14.75675676],0
b3,1,0.910853,0.012536,[12 14] ; [ 8 10],[11.81818182 14.18181818] ; [8.18181818 9.81818182],0
b2,1,0.910853,0.012536,[12 14] ; [ 8 10],[11.81818182 14.18181818] ; [8.18181818 9.81818182],0
n2,1,0.927375,0.008308,[13  4] ; [9 3],[12.89655172  4.10344828] ; [9.10344828 2.89655172],0
a4,1,0.935108,0.006629,[16 30] ; [10 18],[16.16216216 29.83783784] ; [ 9.83783784 18.16216216],0
p11,1,0.966884,0.001724,[31 15] ; [19  9],[31.08108108 14.91891892] ; [18.91891892  9.08108108],0
a2,1,0.974892,0.000991,[10 36] ; [ 6 22],[ 9.94594595 36.05405405] ; [ 6.05405405 21.94594595],0
