Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,41.692009,[238 160] ; [13 58],[213.0021322 184.9978678] ; [37.9978678 33.0021322],1
p7,1,1.5e-05,18.70181,[279 111] ; [30 37],[263.69803063 126.30196937] ; [45.30196937 21.69803063],1
p4,1,2.7e-05,17.644903,[268 132] ; [28 41],[252.45202559 147.54797441] ; [43.54797441 25.45202559],1
p10,1,0.001987,9.561535,[342  55] ; [50 20],[333.24197002  63.75802998] ; [58.75802998 11.24197002],0
n4,1,0.002932,8.849291,[326  73] ; [47 24],[316.65319149  82.34680851] ; [56.34680851 14.65319149],0
p9,1,0.003324,8.62056,[352  46] ; [52 17],[344.30835118  53.69164882] ; [59.69164882  9.30835118],0
n6,1,0.003984,8.290997,[348  50] ; [52 18],[340.17094017  57.82905983] ; [59.82905983 10.17094017],0
p6,1,0.004455,8.088282,[168 229] ; [17 53],[157.26980728 239.73019272] ; [27.73019272 42.26980728],0
p3,1,0.008847,6.853381,[222 178] ; [27 43],[211.91489362 188.08510638] ; [37.08510638 32.91489362],0
p11,1,0.012162,6.287059,[324  77] ; [48 23],[316.04237288  84.95762712] ; [55.95762712 15.04237288],0
d3,1,0.014121,6.022951,[291 110] ; [40 29],[282.40638298 118.59361702] ; [48.59361702 20.40638298],0
r2,1,0.015061,5.909367,[397   3] ; [67  3],[394.89361702   5.10638298] ; [69.10638298  0.89361702],0
a6,1,0.036174,4.388889,[272 128] ; [38 31],[264.39232409 135.60767591] ; [45.60767591 23.39232409],0
b1,1,0.042302,4.123062,[152 249] ; [36 35],[159.72033898 241.27966102] ; [28.27966102 42.72033898],0
d4,1,0.047035,3.944125,[339  60] ; [52 17],[333.3525641  65.6474359] ; [57.6474359 11.3525641],0
a7,1,0.058399,3.582284,[297 103] ; [45 26],[290.44585987 109.55414013] ; [51.55414013 19.44585987],0
d5,1,0.064326,3.422176,[328  72] ; [50 19],[322.3880597  77.6119403] ; [55.6119403 13.3880597],0
a3,1,0.072527,3.224872,[300 100] ; [46 25],[293.84288747 106.15711253] ; [52.15711253 18.84288747],0
v4,1,0.074085,3.190113,[391   8] ; [67  4],[388.81276596  10.18723404] ; [69.18723404  1.81276596],0
n5,1,0.076302,3.141954,[318  82] ; [49 21],[312.34042553  87.65957447] ; [54.65957447 15.34042553],0
n1,1,0.082572,3.01354,[30 44] ; [13  8],[33.49473684 40.50526316] ; [ 9.50526316 11.49473684],0
b5,1,0.114174,2.495472,[231 170] ; [48 23],[237.03177966 163.96822034] ; [41.96822034 29.03177966],0
d1,1,0.116348,2.465802,[254 147] ; [38 33],[248.07627119 152.92372881] ; [43.92372881 27.07627119],0
p5,1,0.16863,1.895077,[ 54 346] ; [ 5 62],[ 50.53533191 349.46466809] ; [ 8.46466809 58.53533191],0
r1,1,0.190811,1.711342,[348  50] ; [58 13],[344.53731343  53.46268657] ; [61.46268657  9.53731343],0
a5,1,0.203415,1.617682,[300 101] ; [48 23],[295.65254237 105.34745763] ; [52.34745763 18.65254237],0
s1,1,0.203541,1.616781,[ 15 380] ; [ 5 65],[ 16.98924731 378.01075269] ; [ 3.01075269 66.98924731],0
a2,1,0.215372,1.534943,[107 294] ; [14 57],[102.79872881 298.20127119] ; [18.20127119 52.79872881],0
u4,1,0.318774,0.99397,[ 13 388] ; [ 4 67],[ 14.44279661 386.55720339] ; [ 2.55720339 68.44279661],0
s5,1,0.328434,0.955062,[167 215] ; [25 42],[163.34966592 218.65033408] ; [28.65033408 38.34966592],0
d2,1,0.357602,0.846298,[210 191] ; [32 37],[206.47234043 194.52765957] ; [35.52765957 33.47234043],0
s4,1,0.430538,0.621371,[ 84 313] ; [18 53],[ 86.52564103 310.47435897] ; [15.47435897 55.52564103],0
u3,1,0.432404,0.616359,[63 36] ; [18  7],[64.66935484 34.33064516] ; [16.33064516  8.66935484],0
u2,1,0.445696,0.581574,[55 44] ; [16  9],[56.68548387 42.31451613] ; [14.31451613 10.68548387],0
v2,1,0.473853,0.512977,[214 169] ; [40 26],[216.6636971 166.3363029] ; [37.3363029 28.6636971],0
b3,1,0.475684,0.508742,[ 95 145] ; [16 31],[ 92.82229965 147.17770035] ; [18.17770035 28.82229965],0
b2,1,0.475684,0.508742,[ 95 145] ; [16 31],[ 92.82229965 147.17770035] ; [18.17770035 28.82229965],0
v3,1,0.484539,0.488629,[166 222] ; [24 39],[163.45898004 224.54101996] ; [26.54101996 36.45898004],0
s7,1,0.545242,0.36591,[251 135] ; [41 26],[248.81236203 137.18763797] ; [43.18763797 23.81236203],0
s2,1,0.580379,0.305622,[316  85] ; [58 13],[317.74152542  83.25847458] ; [56.25847458 14.74152542],0
s6,1,0.613941,0.254475,[334  58] ; [58 12],[332.60606061  59.39393939] ; [59.39393939 10.60606061],0
p1,1,0.68082,0.169205,[ 40 359] ; [ 6 65],[ 39.05106383 359.94893617] ; [ 6.94893617 64.05106383],0
a4,1,0.680967,0.169039,[181 219] ; [34 37],[182.59023355 217.40976645] ; [32.40976645 38.59023355],0
u1,1,0.713256,0.135047,[ 81 320] ; [13 58],[ 79.86016949 321.13983051] ; [14.13983051 56.86016949],0
s8,1,0.740946,0.109297,[237 163] ; [40 30],[235.74468085 164.25531915] ; [41.25531915 28.74468085],0
a1,1,0.78336,0.075594,[ 20 381] ; [ 3 68],[ 19.54025424 381.45974576] ; [ 3.45974576 67.54025424],0
n3,1,0.785989,0.073724,[60 16] ; [16  5],[59.54639175 16.45360825] ; [16.45360825  4.54639175],0
v1,1,0.819464,0.052091,[213 174] ; [39 30],[213.86842105 173.13157895] ; [38.13157895 30.86842105],0
p12,1,0.84596,0.037743,[ 43 356] ; [ 7 63],[ 42.53731343 356.46268657] ; [ 7.46268657 62.53731343],0
b4,1,0.878862,0.023229,[239 162] ; [43 28],[239.58050847 161.41949153] ; [42.41949153 28.58050847],0
n2,1,0.958977,0.002646,[61 14] ; [18  4],[61.08247423 13.91752577] ; [17.91752577  4.08247423],0
a8,1,0.961243,0.002361,[ 59 311] ; [11 59],[ 58.86363636 311.13636364] ; [11.13636364 58.86363636],0
