Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,23.576808,[22  5] ; [13 40],[11.8125 15.1875] ; [23.1875 29.8125],1
s5,1,1.9e-05,18.330155,[17 11] ; [ 8 46],[ 8.53658537 19.46341463] ; [16.46341463 37.53658537],1
s7,1,0.0001,15.145719,[21  7] ; [15 36],[12.75949367 15.24050633] ; [23.24050633 27.75949367],1
s6,1,0.001513,10.062112,[22  5] ; [24 30],[15.33333333 11.66666667] ; [30.66666667 23.33333333],0
s8,1,0.002469,9.163577,[16 12] ; [13 42],[ 9.78313253 18.21686747] ; [19.21686747 35.78313253],0
a8,1,0.057714,3.601876,[ 4 20] ; [ 2 49],[ 1.92 22.08] ; [ 4.08 46.92],0
s4,1,0.062812,3.461535,[ 8 19] ; [ 7 48],[ 4.93902439 22.06097561] ; [10.06097561 44.93902439],0
p6,1,0.066565,3.365763,[15 13] ; [18 37],[11.13253012 16.86746988] ; [21.86746988 33.13253012],0
b5,1,0.100348,2.699998,[12 16] ; [34 21],[15.51807229 12.48192771] ; [30.48192771 24.51807229],0
r2,1,0.139943,2.178581,[26  1] ; [47  8],[24.03658537  2.96341463] ; [48.96341463  6.03658537],0
n6,1,0.183024,1.772898,[24  4] ; [40 15],[21.59036145  6.40963855] ; [42.40963855 12.59036145],0
d1,1,0.200065,1.641896,[ 3 25] ; [ 2 53],[ 1.68674699 26.31325301] ; [ 3.31325301 51.68674699],0
n5,1,0.202737,1.622546,[23  5] ; [38 17],[20.57831325  7.42168675] ; [40.42168675 14.57831325],0
d5,1,0.222445,1.488529,[13 15] ; [18 37],[10.45783133 17.54216867] ; [20.54216867 34.45783133],0
p10,1,0.238567,1.389043,[24  3] ; [43 12],[22.06097561  4.93902439] ; [44.93902439 10.06097561],0
p3,1,0.241058,1.374395,[12 15] ; [32 23],[14.48780488 12.51219512] ; [29.51219512 25.48780488],0
a2,1,0.255384,1.293608,[ 1 27] ; [ 6 49],[ 2.36144578 25.63855422] ; [ 4.63855422 50.36144578],0
p7,1,0.354421,0.857566,[23  4] ; [42 13],[21.40243902  5.59756098] ; [43.59756098 11.40243902],0
n4,1,0.361551,0.8325,[22  6] ; [38 17],[20.24096386  7.75903614] ; [39.75903614 15.24096386],0
p4,1,0.38476,0.755437,[14 14] ; [33 22],[15.85542169 12.14457831] ; [31.14457831 23.85542169],0
a3,1,0.410869,0.676283,[13 15] ; [20 34],[11.26829268 16.73170732] ; [21.73170732 32.26829268],0
r3,1,0.439143,0.598522,[26  2] ; [48  7],[24.96385542  3.03614458] ; [49.03614458  5.96385542],0
b2,1,0.464018,0.536185,[ 5 12] ; [ 6 24],[ 3.9787234 13.0212766] ; [ 7.0212766 22.9787234],0
b3,1,0.464018,0.536185,[ 5 12] ; [ 6 24],[ 3.9787234 13.0212766] ; [ 7.0212766 22.9787234],0
p5,1,0.485632,0.486189,[ 5 22] ; [ 7 48],[ 3.95121951 23.04878049] ; [ 8.04878049 46.95121951],0
s1,1,0.492979,0.470018,[ 2 26] ; [ 2 52],[ 1.36585366 26.63414634] ; [ 2.63414634 51.36585366],0
n1,1,0.509893,0.434286,[3 2] ; [6 8],[2.36842105 2.63157895] ; [6.63157895 7.36842105],0
p2,1,0.519004,0.415872,[21  6] ; [46  9],[22.06097561  4.93902439] ; [44.93902439 10.06097561],0
v4,1,0.549677,0.357897,[25  1] ; [51  4],[24.39506173  1.60493827] ; [51.60493827  3.39506173],0
u2,1,0.577337,0.310559,[6 9] ; [17 18],[6.9 8.1] ; [16.1 18.9],0
p12,1,0.582521,0.302177,[ 2 26] ; [ 6 49],[ 2.69879518 25.30120482] ; [ 5.30120482 49.69879518],0
