Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.003744,8.403769,[27  6] ; [13 15],[21.63934426 11.36065574] ; [18.36065574  9.63934426],0
p7,1,0.036352,4.380522,[16 15] ; [ 7 21],[12.08474576 18.91525424] ; [10.91525424 17.08474576],0
p9,1,0.055219,3.675457,[29  3] ; [20  8],[26.13333333  5.86666667] ; [22.86666667  5.13333333],0
a2,1,0.063101,3.453949,[ 5 28] ; [10 18],[ 8.1147541 24.8852459] ; [ 6.8852459 21.1147541],0
s3,1,0.069161,3.302831,[25  8] ; [15 13],[21.63934426 11.36065574] ; [18.36065574  9.63934426],0
n6,1,0.072235,3.231483,[25  8] ; [26  2],[27.59016393  5.40983607] ; [23.40983607  4.59016393],0
p6,1,0.081736,3.030034,[14 19] ; [ 6 22],[10.81967213 22.18032787] ; [ 9.18032787 18.81967213],0
a8,1,0.083137,3.002478,[ 6 26] ; [ 1 25],[ 3.86206897 28.13793103] ; [ 3.13793103 22.86206897],0
p5,1,0.101756,2.677808,[ 5 25] ; [ 1 27],[ 3.10344828 26.89655172] ; [ 2.89655172 25.10344828],0
u1,1,0.10727,2.593987,[ 4 29] ; [ 8 20],[ 6.49180328 26.50819672] ; [ 5.50819672 22.49180328],0
p8,1,0.138223,2.197634,[10 23] ; [ 4 24],[ 7.57377049 25.42622951] ; [ 6.42622951 21.57377049],0
p3,1,0.153494,2.037184,[14 19] ; [ 7 21],[11.36065574 21.63934426] ; [ 9.63934426 18.36065574],0
p12,1,0.162344,1.952253,[ 2 30] ; [ 5 23],[ 3.73333333 28.26666667] ; [ 3.26666667 24.73333333],0
b5,1,0.195331,1.676946,[23 10] ; [15 13],[20.55737705 12.44262295] ; [17.44262295 10.55737705],0
n3,1,0.200933,1.635577,[8 5] ; [7 1],[9.28571429 3.71428571] ; [5.71428571 2.28571429],0
a7,1,0.215674,1.532925,[16 17] ; [18 10],[18.39344262 14.60655738] ; [15.60655738 12.39344262],0
v4,1,0.226991,1.45962,[32  1] ; [25  3],[30.83606557  2.16393443] ; [26.16393443  1.83606557],0
a3,1,0.232726,1.424122,[20 13] ; [21  7],[22.18032787 10.81967213] ; [18.81967213  9.18032787],0
n4,1,0.260644,1.265332,[23 10] ; [23  5],[24.8852459  8.1147541] ; [21.1147541  6.8852459],0
p4,1,0.288898,1.124748,[15 18] ; [ 9 19],[12.98360656 20.01639344] ; [11.01639344 16.98360656],0
s5,1,0.324732,0.969792,[15 15] ; [10 17],[13.15789474 16.84210526] ; [11.84210526 15.15789474],0
p11,1,0.3276,0.95836,[25  8] ; [18 10],[23.26229508  9.73770492] ; [19.73770492  8.26229508],0
d4,1,0.329645,0.95029,[25  8] ; [24  4],[26.50819672  6.49180328] ; [22.49180328  5.50819672],0
n1,1,0.33235,0.939719,[7 6] ; [6 2],[8.04761905 4.95238095] ; [4.95238095 3.04761905],0
s6,1,0.354539,0.857143,[28  4] ; [22  6],[26.66666667  5.33333333] ; [23.33333333  4.66666667],0
d1,1,0.409002,0.681701,[19 14] ; [19  9],[20.55737705 12.44262295] ; [17.44262295 10.55737705],0
v2,1,0.413452,0.668852,[20 11] ; [14 12],[18.49122807 12.50877193] ; [15.50877193 10.49122807],0
