Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.009366,6.751648,[52 18] ; [12 14],[46.66666667 23.33333333] ; [17.33333333  8.66666667],0
b1,1,0.013059,6.161077,[35 35] ; [ 6 21],[29.58762887 40.41237113] ; [11.41237113 15.58762887],0
a7,1,0.057867,3.59748,[46 24] ; [23  4],[49.79381443 20.20618557] ; [19.20618557  7.79381443],0
p7,1,0.065725,3.386675,[58 12] ; [17  9],[54.6875 15.3125] ; [20.3125  5.6875],0
r3,1,0.218381,1.514976,[66  3] ; [24  3],[64.6875  4.3125] ; [25.3125  1.6875],0
p2,1,0.253438,1.304252,[63  7] ; [22  5],[61.34020619  8.65979381] ; [23.65979381  3.34020619],0
v3,1,0.260533,1.265925,[22 47] ; [ 5 20],[19.81914894 49.18085106] ; [ 7.18085106 17.81914894],0
p6,1,0.260861,1.264183,[45 25] ; [14 13],[42.57731959 27.42268041] ; [16.42268041 10.57731959],0
p5,1,0.281782,1.158475,[11 59] ; [ 2 25],[ 9.3814433 60.6185567] ; [ 3.6185567 23.3814433],0
d3,1,0.310077,1.030346,[53 17] ; [23  4],[54.84536082 15.15463918] ; [21.15463918  5.84536082],0
s6,1,0.321948,0.981015,[62  6] ; [21  4],[60.68817204  7.31182796] ; [22.31182796  2.68817204],0
b5,1,0.326048,0.96453,[39 31] ; [18  9],[41.13402062 28.86597938] ; [15.86597938 11.13402062],0
d4,1,0.345201,0.89102,[60 10] ; [21  6],[58.45360825 11.54639175] ; [22.54639175  4.45360825],0
s8,1,0.369207,0.806333,[37 33] ; [17 10],[38.96907216 31.03092784] ; [15.03092784 11.96907216],0
n6,1,0.38536,0.753532,[60 10] ; [24  2],[61.25  8.75] ; [22.75  3.25],0
n2,1,0.386876,0.748739,[10  4] ; [7 1],[10.81818182  3.18181818] ; [6.18181818 1.81818182],0
n1,1,0.40227,0.701531,[6 8] ; [2 6],[5.09090909 8.90909091] ; [2.90909091 5.09090909],0
a3,1,0.443663,0.58679,[49 21] ; [21  6],[50.51546392 19.48453608] ; [19.48453608  7.51546392],0
n4,1,0.45302,0.563084,[52 18] ; [18  9],[50.51546392 19.48453608] ; [19.48453608  7.51546392],0
u1,1,0.455174,0.557735,[18 52] ; [ 5 22],[16.59793814 53.40206186] ; [ 6.40206186 20.59793814],0
u3,1,0.455924,0.555882,[14  7] ; [3 3],[13.22222222  7.77777778] ; [3.77777778 2.22222222],0
p9,1,0.461494,0.542269,[58 12] ; [24  3],[59.17525773 10.82474227] ; [22.82474227  4.17525773],0
s2,1,0.478383,0.502547,[48 21] ; [20  6],[49.38947368 19.61052632] ; [18.61052632  7.38947368],0
p11,1,0.488445,0.47995,[54 16] ; [19  8],[52.68041237 17.31958763] ; [20.31958763  6.68041237],0
s1,1,0.52857,0.39714,[ 5 65] ; [ 1 26],[ 4.32989691 65.67010309] ; [ 1.67010309 25.32989691],0
s3,1,0.61631,0.251088,[52 17] ; [19  8],[51.03125 17.96875] ; [19.96875  7.03125],0
d2,1,0.638258,0.221028,[40 30] ; [14 13],[38.96907216 31.03092784] ; [15.03092784 11.96907216],0
a6,1,0.66202,0.191079,[46 24] ; [19  8],[46.90721649 23.09278351] ; [18.09278351  8.90721649],0
a2,1,0.6964,0.152245,[18 52] ; [ 8 19],[18.7628866 51.2371134] ; [ 7.2371134 19.7628866],0
d1,1,0.750224,0.101343,[49 21] ; [18  9],[48.35051546 21.64948454] ; [18.64948454  8.35051546],0
u2,1,0.756158,0.096429,[ 9 12] ; [3 3],[ 9.33333333 11.66666667] ; [2.66666667 3.33333333],0
a4,1,0.772107,0.08388,[36 34] ; [13 14],[35.36082474 34.63917526] ; [13.63917526 13.36082474],0
p10,1,0.781866,0.076667,[58 12] ; [23  4],[58.45360825 11.54639175] ; [22.54639175  4.45360825],0
d5,1,0.799761,0.064341,[61  9] ; [23  4],[60.6185567  9.3814433] ; [23.3814433  3.6185567],0
v1,1,0.803343,0.062012,[37 33] ; [13 13],[36.45833333 33.54166667] ; [13.54166667 12.45833333],0
b3,1,0.805295,0.060762,[ 9 32] ; [ 4 12],[ 9.35087719 31.64912281] ; [ 3.64912281 12.35087719],0
b2,1,0.805295,0.060762,[ 9 32] ; [ 4 12],[ 9.35087719 31.64912281] ; [ 3.64912281 12.35087719],0
a8,1,0.807366,0.059451,[ 2 65] ; [ 1 24],[ 2.18478261 64.81521739] ; [ 0.81521739 24.18478261],0
p1,1,0.814921,0.054795,[ 9 61] ; [ 3 24],[ 8.65979381 61.34020619] ; [ 3.34020619 23.65979381],0
a5,1,0.830422,0.045865,[53 17] ; [21  6],[53.40206186 16.59793814] ; [20.59793814  6.40206186],0
b4,1,0.903231,0.014782,[45 25] ; [17 10],[44.74226804 25.25773196] ; [17.25773196  9.74226804],0
s5,1,0.904986,0.014248,[37 28] ; [14 10],[37.24719101 27.75280899] ; [13.75280899 10.24719101],0
s7,1,0.913167,0.011891,[43 24] ; [17  9],[43.22580645 23.77419355] ; [16.77419355  9.22580645],0
n5,1,0.932213,0.007235,[55 15] ; [21  6],[54.84536082 15.15463918] ; [21.15463918  5.84536082],0
r4,1,0.96475,0.001953,[62  8] ; [24  3],[62.06185567  7.93814433] ; [23.93814433  3.06185567],0
v2,1,0.965864,0.001831,[31 38] ; [12 15],[30.90625 38.09375] ; [12.09375 14.90625],0
r1,1,0.995207,3.6e-05,[57 13] ; [22  5],[57.01030928 12.98969072] ; [21.98969072  5.01030928],0
