Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,4e-05,16.858142,[ 4 24] ; [18  8],[11.40740741 16.59259259] ; [10.59259259 15.40740741],1
p11,1,0.006712,7.34842,[ 8 20] ; [17  9],[12.96296296 15.03703704] ; [12.03703704 13.96296296],0
p2,1,0.009542,6.718381,[ 6 22] ; [14 11],[10.56603774 17.43396226] ; [ 9.43396226 15.56603774],0
p7,1,0.012295,6.267857,[ 5 23] ; [13 13],[ 9.33333333 18.66666667] ; [ 8.66666667 17.33333333],0
p8,1,0.014621,5.961609,[ 2 25] ; [ 9 17],[ 5.60377358 21.39622642] ; [ 5.39622642 20.60377358],0
s8,1,0.015798,5.825221,[ 1 27] ; [ 7 19],[ 4.14814815 23.85185185] ; [ 3.85185185 22.14814815],0
r3,1,0.016919,5.704789,[11 17] ; [18  7],[15.32075472 12.67924528] ; [13.67924528 11.32075472],0
n6,1,0.019649,5.44284,[ 8 19] ; [16 10],[12.22641509 14.77358491] ; [11.77358491 14.22641509],0
n2,1,0.021985,5.246983,[ 5 12] ; [5 1],[7.39130435 9.60869565] ; [2.60869565 3.39130435],0
r4,1,0.025284,5.004333,[ 5 23] ; [12 14],[ 8.81481481 19.18518519] ; [ 8.18518519 17.81481481],0
n1,1,0.042844,4.10153,[ 6 11] ; [5 1],[8.13043478 8.86956522] ; [2.86956522 3.13043478],0
p4,1,0.04929,3.865439,[ 5 23] ; [11 15],[ 8.2962963 19.7037037] ; [ 7.7037037 18.2962963],0
p3,1,0.067501,3.342774,[ 3 25] ; [ 8 18],[ 5.7037037 22.2962963] ; [ 5.2962963 20.7037037],0
u2,1,0.125249,2.350427,[ 1 12] ; [3 6],[ 2.36363636 10.63636364] ; [1.63636364 7.36363636],0
u3,1,0.125249,2.350427,[ 1 12] ; [3 6],[ 2.36363636 10.63636364] ; [1.63636364 7.36363636],0
s6,1,0.134775,2.236622,[ 5 23] ; [ 9 16],[ 7.39622642 20.60377358] ; [ 6.60377358 18.39622642],0
p5,1,0.145841,2.115218,[ 1 26] ; [ 4 22],[ 2.54716981 24.45283019] ; [ 2.45283019 23.54716981],0
v1,1,0.16029,1.971487,[ 5 23] ; [ 9 17],[ 7.25925926 20.74074074] ; [ 6.74074074 19.25925926],0
a5,1,0.161305,1.961951,[13 15] ; [17  9],[15.55555556 12.44444444] ; [14.44444444 11.55555556],0
p6,1,0.183759,1.766961,[ 2 25] ; [ 5 20],[ 3.63461538 23.36538462] ; [ 3.36538462 21.63461538],0
s3,1,0.183922,1.765643,[ 5 22] ; [ 9 17],[ 7.13207547 19.86792453] ; [ 6.86792453 19.13207547],0
d1,1,0.23823,1.391038,[13 15] ; [ 8 18],[10.88888889 17.11111111] ; [10.11111111 15.88888889],0
b5,1,0.275973,1.186813,[12 16] ; [15 11],[14. 14.] ; [13. 13.],0
a8,1,0.31335,1.016504,[ 3 25] ; [ 5 19],[ 4.30769231 23.69230769] ; [ 3.69230769 20.30769231],0
v3,1,0.345859,0.888591,[ 3 25] ; [ 5 20],[ 4.22641509 23.77358491] ; [ 3.77358491 21.22641509],0
d5,1,0.358047,0.844732,[16 12] ; [18  8],[17.62962963 10.37037037] ; [16.37037037  9.62962963],0
p1,1,0.378732,0.774815,[ 3 25] ; [ 5 21],[ 4.14814815 23.85185185] ; [ 3.85185185 22.14814815],0
v2,1,0.439419,0.597799,[ 7 21] ; [ 9 17],[ 8.2962963 19.7037037] ; [ 7.7037037 18.2962963],0
a1,1,0.441105,0.593407,[ 4 24] ; [ 2 24],[ 3.11111111 24.88888889] ; [ 2.88888889 23.11111111],0
a2,1,0.441105,0.593407,[ 4 24] ; [ 2 24],[ 3.11111111 24.88888889] ; [ 2.88888889 23.11111111],0
a3,1,0.464557,0.534894,[15 12] ; [17  9],[16.30188679 10.69811321] ; [15.69811321 10.30188679],0
d4,1,0.487054,0.483027,[18 10] ; [19  7],[19.18518519  8.81481481] ; [17.81481481  8.18518519],0
n4,1,0.512593,0.42877,[17 11] ; [18  8],[18.14814815  9.85185185] ; [16.85185185  9.14814815],0
s4,1,0.609688,0.26063,[ 3 25] ; [ 4 22],[ 3.62962963 24.37037037] ; [ 3.37037037 22.62962963],0
d2,1,0.678273,0.172077,[14 13] ; [12 14],[13.24528302 13.75471698] ; [12.75471698 13.24528302],0
b4,1,0.722512,0.126099,[17 11] ; [17  9],[17.62962963 10.37037037] ; [16.37037037  9.62962963],0
d3,1,0.760748,0.09272,[13 15] ; [11 15],[12.44444444 15.55555556] ; [11.55555556 14.44444444],0
b3,1,0.801689,0.063082,[ 9 12] ; [ 7 11],[ 8.61538462 12.38461538] ; [ 7.38461538 10.61538462],0
b2,1,0.801689,0.063082,[ 9 12] ; [ 7 11],[ 8.61538462 12.38461538] ; [ 7.38461538 10.61538462],0
r2,1,0.812126,0.056494,[16 11] ; [14 11],[15.57692308 11.42307692] ; [14.42307692 10.57692308],0
r1,1,0.821339,0.050996,[11 17] ; [11 15],[11.40740741 16.59259259] ; [10.59259259 15.40740741],0
s5,1,0.857344,0.032312,[ 5 23] ; [ 4 21],[ 4.75471698 23.24528302] ; [ 4.24528302 20.75471698],0
a4,1,0.865331,0.028761,[11 16] ; [10 16],[10.69811321 16.30188679] ; [10.30188679 15.69811321],0
s7,1,0.892269,0.018342,[ 5 22] ; [ 5 20],[ 5.19230769 21.80769231] ; [ 4.80769231 20.19230769],0
p12,1,0.934857,0.006681,[ 1 27] ; [ 1 24],[ 1.05660377 26.94339623] ; [ 0.94339623 24.05660377],0
s1,1,0.938597,0.005934,[ 2 26] ; [ 2 24],[ 2.07407407 25.92592593] ; [ 1.92592593 24.07407407],0
n5,1,0.950503,0.003853,[17 11] ; [16 10],[17.11111111 10.88888889] ; [15.88888889 10.11111111],0
b1,1,0.967456,0.001665,[16 12] ; [15 11],[16.07407407 11.92592593] ; [14.92592593 11.07407407],0
a6,1,0.98386,0.000409,[13 15] ; [12 14],[12.96296296 15.03703704] ; [12.03703704 13.96296296],0
a7,1,1.0,0.0,[14 14] ; [13 13],[14. 14.] ; [13. 13.],0
