Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5e-05,16.441061,[39  7] ; [11 17],[31.08108108 14.91891892] ; [18.91891892  9.08108108],1
p2,1,0.001002,10.823933,[43  3] ; [17 10],[37.80821918  8.19178082] ; [22.19178082  4.80821918],0
r1,1,0.004029,8.270764,[38  7] ; [15 13],[32.67123288 12.32876712] ; [20.32876712  7.67123288],0
a5,1,0.007208,7.220444,[38  8] ; [15 13],[32.94594595 13.05405405] ; [20.05405405  7.94594595],0
d3,1,0.009545,6.717814,[35 11] ; [13 15],[29.83783784 16.16216216] ; [18.16216216  9.83783784],0
d1,1,0.009901,6.652669,[29 17] ; [ 9 19],[23.62162162 22.37837838] ; [14.37837838 13.62162162],0
d5,1,0.009928,6.647717,[41  5] ; [18 10],[36.67567568  9.32432432] ; [22.32432432  5.67567568],0
r4,1,0.023449,5.134967,[41  5] ; [19  9],[37.2972973  8.7027027] ; [22.7027027  5.2972973],0
b1,1,0.051088,3.805397,[24 22] ; [21  7],[27.97297297 18.02702703] ; [17.02702703 10.97297297],0
n1,1,0.056745,3.630051,[ 5 10] ; [6 2],[7.17391304 7.82608696] ; [3.82608696 4.17391304],0
d4,1,0.074795,3.174529,[38  8] ; [18 10],[34.81081081 11.18918919] ; [21.18918919  6.81081081],0
r2,1,0.104652,2.633172,[42  4] ; [21  6],[39.69863014  6.30136986] ; [23.30136986  3.69863014],0
v4,1,0.113169,2.509403,[43  3] ; [22  5],[40.95890411  5.04109589] ; [24.04109589  2.95890411],0
p6,1,0.125578,2.34634,[13 33] ; [12 14],[15.97222222 30.02777778] ; [ 9.02777778 16.97222222],0
p10,1,0.135022,2.233789,[34 12] ; [16 12],[31.08108108 14.91891892] ; [18.91891892  9.08108108],0
p9,1,0.18923,1.723602,[36 10] ; [18 10],[33.56756757 12.43243243] ; [20.43243243  7.56756757],0
u3,1,0.214193,1.542857,[13  2] ; [8 4],[11.66666667  3.33333333] ; [9.33333333 2.66666667],0
p11,1,0.234142,1.415519,[34 12] ; [17 11],[31.7027027 14.2972973] ; [19.2972973  8.7027027],0
v3,1,0.265803,1.238278,[14 29] ; [ 5 20],[12.01470588 30.98529412] ; [ 6.98529412 18.01470588],0
s3,1,0.281886,1.157975,[21 23] ; [17 11],[23.22222222 20.77777778] ; [14.77777778 13.22222222],0
s5,1,0.305629,1.049472,[ 9 36] ; [ 8 18],[10.77464789 34.22535211] ; [ 6.22535211 19.77464789],0
a2,1,0.317747,0.998196,[11 35] ; [ 4 24],[ 9.32432432 36.67567568] ; [ 5.67567568 22.32432432],0
s8,1,0.332677,0.93845,[20 26] ; [ 9 19],[18.02702703 27.97297297] ; [10.97297297 17.02702703],0
s4,1,0.342588,0.900721,[ 6 40] ; [ 6 22],[ 7.45945946 38.54054054] ; [ 4.54054054 23.45945946],0
a8,1,0.366459,0.815637,[ 2 37] ; [ 3 24],[ 2.95454545 36.04545455] ; [ 2.04545455 24.95454545],0
s7,1,0.414238,0.666604,[14 29] ; [11 15],[15.57971014 27.42028986] ; [ 9.42028986 16.57971014],0
v2,1,0.464651,0.534669,[24 18] ; [13 14],[22.52173913 19.47826087] ; [14.47826087 12.52173913],0
a3,1,0.487307,0.482466,[30 16] ; [16 12],[28.59459459 17.40540541] ; [17.40540541 10.59459459],0
p3,1,0.508599,0.436948,[25 21] ; [13 15],[23.62162162 22.37837838] ; [14.37837838 13.62162162],0
s2,1,0.516174,0.421532,[19 26] ; [14 14],[20.34246575 24.65753425] ; [12.65753425 15.34246575],0
p1,1,0.521653,0.410623,[ 3 43] ; [ 3 25],[ 3.72972973 42.27027027] ; [ 2.27027027 25.72972973],0
b5,1,0.537155,0.380839,[28 18] ; [15 13],[26.72972973 19.27027027] ; [16.27027027 11.72972973],0
p5,1,0.540368,0.374858,[ 3 42] ; [ 3 25],[ 3.69863014 41.30136986] ; [ 2.30136986 25.69863014],0
s6,1,0.559549,0.340485,[31 15] ; [17 11],[29.83783784 16.16216216] ; [18.16216216  9.83783784],0
v1,1,0.588972,0.291952,[18 27] ; [13 15],[19.10958904 25.89041096] ; [11.89041096 16.10958904],0
u2,1,0.594853,0.282828,[12  4] ; [10  2],[12.57142857  3.42857143] ; [9.42857143 2.57142857],0
s1,1,0.595163,0.282353,[ 2 43] ; [ 2 25],[ 2.5 42.5] ; [ 1.5 25.5],0
r3,1,0.606077,0.265927,[44  2] ; [26  2],[43.51351351  2.48648649] ; [26.48648649  1.51351351],0
p8,1,0.615412,0.252369,[23 22] ; [16 12],[24.04109589 20.95890411] ; [14.95890411 13.04109589],0
n4,1,0.631662,0.229814,[24 22] ; [13 15],[23. 23.] ; [14. 14.],0
b2,1,0.656278,0.198076,[10 21] ; [ 5 14],[ 9.3 21.7] ; [ 5.7 13.3],0
b3,1,0.656278,0.198076,[10 21] ; [ 5 14],[ 9.3 21.7] ; [ 5.7 13.3],0
p7,1,0.681187,0.168793,[32 14] ; [20  7],[32.76712329 13.23287671] ; [19.23287671  7.76712329],0
n3,1,0.807671,0.059259,[11  4] ; [7 2],[11.25  3.75] ; [6.75 2.25],0
b4,1,0.814526,0.055033,[25 21] ; [16 12],[25.48648649 20.51351351] ; [15.51351351 12.48648649],0
d2,1,0.863806,0.029423,[19 27] ; [11 17],[18.64864865 27.35135135] ; [11.35135135 16.64864865],0
a4,1,0.863806,0.029423,[19 27] ; [11 17],[18.64864865 27.35135135] ; [11.35135135 16.64864865],0
a1,1,0.869545,0.026973,[ 2 44] ; [ 1 27],[ 1.86486486 44.13513514] ; [ 1.13513514 26.86486486],0
n5,1,0.894269,0.017664,[20 25] ; [12 16],[19.7260274 25.2739726] ; [12.2739726 15.7260274],0
