Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.015975,5.805612,[18 28] ; [10  3],[21.83050847 24.16949153] ; [6.16949153 6.83050847],0
a8,1,0.037969,4.306428,[ 2 42] ; [ 3 10],[ 3.85964912 40.14035088] ; [ 1.14035088 11.85964912],0
p5,1,0.062867,3.460082,[ 1 43] ; [ 2 11],[ 2.31578947 41.68421053] ; [ 0.68421053 12.31578947],0
s3,1,0.064374,3.420936,[20 26] ; [ 2 11],[17.15254237 28.84745763] ; [4.84745763 8.15254237],0
b4,1,0.110822,2.542467,[22 24] ; [ 3 10],[19.49152542 26.50847458] ; [5.50847458 7.49152542],0
p4,1,0.113253,2.508225,[17 29] ; [8 5],[19.49152542 26.50847458] ; [5.50847458 7.49152542],0
p3,1,0.117952,2.444308,[11 35] ; [6 7],[13.25423729 32.74576271] ; [3.74576271 9.25423729],0
u2,1,0.11998,2.417582,[10 16] ; [5 2],[11.81818182 14.18181818] ; [3.18181818 3.81818182],0
p2,1,0.129697,2.29613,[28 17] ; [11  2],[30.25862069 14.74137931] ; [8.74137931 4.25862069],0
n1,1,0.146217,2.111278,[ 4 16] ; [3 3],[ 5.38461538 14.61538462] ; [1.61538462 4.38461538],0
b2,1,0.211128,1.563671,[ 2 16] ; [3 7],[ 3.21428571 14.78571429] ; [1.78571429 8.21428571],0
b3,1,0.211128,1.563671,[ 2 16] ; [3 7],[ 3.21428571 14.78571429] ; [1.78571429 8.21428571],0
v1,1,0.225982,1.465977,[15 31] ; [ 2 11],[13.25423729 32.74576271] ; [3.74576271 9.25423729],0
s8,1,0.225982,1.465977,[15 31] ; [ 2 11],[13.25423729 32.74576271] ; [3.74576271 9.25423729],0
a4,1,0.256296,1.288654,[ 5 41] ; [ 3 10],[ 6.23728814 39.76271186] ; [ 1.76271186 11.23728814],0
a2,1,0.33164,0.942484,[ 1 45] ; [ 1 12],[ 1.55932203 44.44067797] ; [ 0.44067797 12.55932203],0
s6,1,0.337628,0.919416,[21 25] ; [4 9],[19.49152542 26.50847458] ; [5.50847458 7.49152542],0
d2,1,0.38946,0.740627,[ 9 37] ; [4 9],[10.13559322 35.86440678] ; [ 2.86440678 10.13559322],0
v3,1,0.468937,0.524479,[ 7 38] ; [ 1 12],[ 6.20689655 38.79310345] ; [ 1.79310345 11.20689655],0
r4,1,0.48062,0.497455,[33 13] ; [8 5],[31.96610169 14.03389831] ; [9.03389831 3.96610169],0
p9,1,0.511091,0.431833,[32 13] ; [8 5],[31.03448276 13.96551724] ; [8.96551724 4.03448276],0
p8,1,0.586583,0.295712,[17 28] ; [6 7],[17.84482759 27.15517241] ; [5.15517241 7.84482759],0
s4,1,0.642097,0.21601,[ 8 38] ; [ 3 10],[ 8.57627119 37.42372881] ; [ 2.42372881 10.57627119],0
v4,1,0.676955,0.173574,[40  5] ; [11  2],[39.56896552  5.43103448] ; [11.43103448  1.56896552],0
b5,1,0.701445,0.146973,[22 24] ; [7 6],[22.61016949 23.38983051] ; [6.38983051 6.61016949],0
v2,1,0.710383,0.137895,[16 28] ; [4 9],[15.43859649 28.56140351] ; [4.56140351 8.43859649],0
p10,1,0.710383,0.137895,[28 16] ; [9 4],[28.56140351 15.43859649] ; [8.43859649 4.56140351],0
r2,1,0.732545,0.116788,[37  9] ; [11  2],[37.42372881  8.57627119] ; [10.57627119  2.42372881],0
u3,1,0.737139,0.112658,[13 13] ; [3 4],[12.60606061 13.39393939] ; [3.39393939 3.60606061],0
s7,1,0.805295,0.060762,[12 32] ; [4 9],[12.35087719 31.64912281] ; [3.64912281 9.35087719],0
s2,1,0.806749,0.05984,[16 30] ; [5 8],[16.37288136 29.62711864] ; [4.62711864 8.37288136],0
p11,1,0.806749,0.05984,[30 16] ; [8 5],[29.62711864 16.37288136] ; [8.37288136 4.62711864],0
n2,1,0.82176,0.050752,[15  6] ; [4 2],[14.77777778  6.22222222] ; [4.22222222 1.77777778],0
s5,1,0.827657,0.047397,[ 6 40] ; [ 2 11],[ 6.23728814 39.76271186] ; [ 1.76271186 11.23728814],0
r3,1,0.827657,0.047397,[40  6] ; [11  2],[39.76271186  6.23728814] ; [11.23728814  1.76271186],0
a6,1,0.863772,0.029438,[20 26] ; [6 7],[20.27118644 25.72881356] ; [5.72881356 7.27118644],0
a3,1,0.863772,0.029438,[20 26] ; [6 7],[20.27118644 25.72881356] ; [5.72881356 7.27118644],0
n5,1,0.910146,0.012736,[20 26] ; [5 7],[19.82758621 26.17241379] ; [5.17241379 6.82758621],0
d5,1,0.910146,0.012736,[20 26] ; [5 7],[19.82758621 26.17241379] ; [5.17241379 6.82758621],0
a7,1,0.910146,0.012736,[26 20] ; [7 5],[26.17241379 19.82758621] ; [6.82758621 5.17241379],0
r1,1,0.915095,0.011367,[22 24] ; [6 7],[21.83050847 24.16949153] ; [6.16949153 6.83050847],0
d3,1,0.916817,0.010909,[ 9 37] ; [2 9],[ 8.87719298 37.12280702] ; [2.12280702 8.87719298],0
n6,1,0.921071,0.009818,[29 17] ; [8 5],[28.84745763 17.15254237] ; [8.15254237 4.84745763],0
a5,1,0.965172,0.001907,[18 28] ; [5 8],[17.93220339 28.06779661] ; [5.06779661 7.93220339],0
