Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,45.109608,[105 125] ; [96 19],[134.  96.] ; [67. 48.],1
p4,1,0.0,41.673042,[ 99 131] ; [93 24],[127.26224784 102.73775216] ; [64.73775216 52.26224784],1
p3,1,0.0,27.918764,[ 83 148] ; [77 40],[106.20689655 124.79310345] ; [53.79310345 63.20689655],1
p8,1,3e-06,21.632204,[ 94 134] ; [78 37],[114.33236152 113.66763848] ; [57.66763848 57.33236152],1
s7,1,1.1e-05,19.324143,[ 46 175] ; [48 61],[ 62.95151515 158.04848485] ; [31.04848485 77.95151515],1
s8,1,7.8e-05,15.603561,[ 44 186] ; [45 71],[ 59.16184971 170.83815029] ; [29.83815029 86.16184971],1
p9,1,0.00074,11.385207,[170  56] ; [105  11],[181.7251462  44.2748538] ; [93.2748538 22.7251462],1
s2,1,0.001216,10.465339,[ 25 205] ; [28 88],[ 35.23121387 194.76878613] ; [17.76878613 98.23121387],0
v1,1,0.004438,8.095184,[101 126] ; [71 46],[113.5 113.5] ; [58.5 58.5],0
s6,1,0.005152,7.825442,[ 93 136] ; [64 49],[105.12573099 123.87426901] ; [51.87426901 61.12573099],0
v4,1,0.007284,7.201504,[214  18] ; [116   1],[219.36962751  12.63037249] ; [110.63037249   6.36962751],0
p2,1,0.008706,6.882099,[171  60] ; [101  16],[180.55172414  50.44827586] ; [91.44827586 25.55172414],0
s5,1,0.012515,6.236405,[ 46 182] ; [37 77],[ 55.33333333 172.66666667] ; [27.66666667 86.33333333],0
p10,1,0.015892,5.8148,[172  58] ; [99 16],[180.66666667  49.33333333] ; [90.33333333 24.66666667],0
r4,1,0.028626,4.789988,[192  40] ; [107  10],[198.76217765  33.23782235] ; [100.23782235  16.76217765],0
n4,1,0.060332,3.528242,[167  65] ; [95 22],[174.16618911  57.83381089] ; [87.83381089 29.16618911],0
r2,1,0.064541,3.416672,[203  26] ; [109   6],[207.69767442  21.30232558] ; [104.30232558  10.69767442],0
a7,1,0.078576,3.094114,[154  77] ; [88 28],[161.10086455  69.89913545] ; [80.89913545 35.10086455],0
u1,1,0.098315,2.73266,[ 30 202] ; [23 94],[ 35.23209169 196.76790831] ; [17.76790831 99.23209169],0
u3,1,0.098934,2.72264,[38 47] ; [22 14],[42.14876033 42.85123967] ; [17.85123967 18.14876033],0
v3,1,0.106375,2.607268,[ 74 150] ; [49 68],[ 80.79765396 143.20234604] ; [42.20234604 74.79765396],0
r3,1,0.132039,2.26837,[210  20] ; [112   5],[213.42939481  16.57060519] ; [108.57060519   8.42939481],0
d5,1,0.136332,2.218879,[178  54] ; [97 19],[183.33333333  48.66666667] ; [91.66666667 24.33333333],0
p5,1,0.146543,2.107869,[ 20 211] ; [ 16 101],[ 23.89655172 207.10344828] ; [ 12.10344828 104.89655172],0
v2,1,0.200265,1.640441,[116 110] ; [68 48],[121.59064327 104.40935673] ; [62.40935673 53.59064327],0
p1,1,0.210804,1.565895,[ 15 217] ; [ 12 105],[ 17.94842407 214.05157593] ; [  9.05157593 107.94842407],0
n2,1,0.222325,1.489298,[47 17] ; [17 11],[44.52173913 19.47826087] ; [19.47826087  8.52173913],0
p11,1,0.25272,1.308207,[178  54] ; [96 21],[182.14326648  49.85673352] ; [91.85673352 25.14326648],0
u2,1,0.266815,1.233046,[38 45] ; [21 16],[40.80833333 42.19166667] ; [18.19166667 18.80833333],0
d2,1,0.278417,1.1748,[106 123] ; [47 70],[101.26300578 127.73699422] ; [51.73699422 65.26300578],0
