Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.3e-05,18.977684,[29 38] ; [115  41],[43.26457399 23.73542601] ; [100.73542601  55.26457399],1
s5,1,0.000148,14.395651,[ 9 56] ; [61 91],[20.96774194 44.03225806] ; [ 49.03225806 102.96774194],1
v4,1,0.000534,11.994052,[51 13] ; [147   8],[57.8630137  6.1369863] ; [140.1369863  14.8630137],1
r3,1,0.000564,11.891223,[58  9] ; [150   3],[63.34545455  3.65454545] ; [144.65454545   8.34545455],1
r4,1,0.000657,11.607049,[48 19] ; [140  16],[56.48430493 10.51569507] ; [131.51569507  24.48430493],1
a2,1,0.002554,9.101745,[ 5 62] ; [ 39 117],[13.21973094 53.78026906] ; [ 30.78026906 125.21973094],0
n6,1,0.002571,9.089681,[40 27] ; [122  32],[49.11312217 17.88687783] ; [112.88687783  41.11312217],0
s7,1,0.004396,8.112586,[14 46] ; [68 85],[23.09859155 36.90140845] ; [58.90140845 94.09859155],0
s4,1,0.006888,7.301882,[ 7 60] ; [ 41 112],[14.61818182 52.38181818] ; [ 33.38181818 119.61818182],0
d5,1,0.006912,7.295758,[40 27] ; [120  35],[48.28828829 18.71171171] ; [111.71171171  43.28828829],0
a7,1,0.008636,6.896522,[41 26] ; [122  34],[48.97309417 18.02690583] ; [114.02690583  41.97309417],0
p4,1,0.008993,6.824175,[25 41] ; [89 67],[33.89189189 32.10810811] ; [80.10810811 75.89189189],0
p9,1,0.010122,6.613276,[43 24] ; [123  30],[50.55454545 16.44545455] ; [115.44545455  37.55454545],0
p6,1,0.012,6.310818,[11 55] ; [ 51 102],[18.68493151 47.31506849] ; [ 43.31506849 109.68493151],0
p2,1,0.01558,5.849696,[46 20] ; [131  25],[52.62162162 13.37837838] ; [124.37837838  31.62162162],0
r1,1,0.015584,5.849231,[45 22] ; [127  28],[51.90990991 15.09009009] ; [120.09009009  34.90990991],0
d4,1,0.016631,5.734921,[46 20] ; [130  25],[52.56108597 13.43891403] ; [123.43891403  31.56108597],0
b5,1,0.038262,4.293335,[33 34] ; [100  56],[39.95964126 27.04035874] ; [93.04035874 62.95964126],0
u3,1,0.042989,4.095827,[10 16] ; [32 19],[14.18181818 11.81818182] ; [27.81818182 23.18181818],0
v2,1,0.043165,4.088942,[23 40] ; [77 72],[29.71698113 33.28301887] ; [70.28301887 78.71698113],0
u1,1,0.043201,4.087512,[ 5 62] ; [ 28 128],[ 9.91479821 57.08520179] ; [ 23.08520179 132.91479821],0
n5,1,0.054142,3.708317,[39 27] ; [112  43],[45.09502262 20.90497738] ; [105.90497738  49.09502262],0
u2,1,0.063366,3.447024,[10 16] ; [31 20],[13.84415584 12.15584416] ; [27.15584416 23.84415584],0
p8,1,0.066437,3.368931,[20 46] ; [67 87],[26.1 39.9] ; [60.9 93.1],0
p12,1,0.073188,3.21003,[ 1 65] ; [ 12 144],[ 3.86486486 62.13513514] ; [  9.13513514 146.86486486],0
v3,1,0.083709,2.991375,[14 48] ; [ 53 100],[19.32093023 42.67906977] ; [ 47.67906977 105.32093023],0
r2,1,0.088948,2.893306,[59  7] ; [148   7],[61.81900452  4.18099548] ; [145.18099548   9.81900452],0
d1,1,0.092983,2.821956,[27 40] ; [82 74],[32.74887892 34.25112108] ; [76.25112108 79.74887892],0
p11,1,0.098031,2.737288,[42 25] ; [115  41],[47.17040359 19.82959641] ; [109.82959641  46.17040359],0
b4,1,0.126058,2.340385,[37 30] ; [103  53],[42.06278027 24.93721973] ; [97.93721973 58.06278027],0
p10,1,0.150179,2.070427,[43 23] ; [115  39],[47.4 18.6] ; [110.6  43.4],0
a4,1,0.157224,2.000721,[23 44] ; [69 86],[27.76576577 39.23423423] ; [64.23423423 90.76576577],0
p3,1,0.165242,1.925589,[23 42] ; [71 85],[27.64705882 37.35294118] ; [66.35294118 89.64705882],0
p5,1,0.19934,1.647205,[ 2 63] ; [ 12 144],[ 4.11764706 60.88235294] ; [  9.88235294 146.11764706],0
d3,1,0.216801,1.525419,[41 26] ; [108  47],[44.96846847 22.03153153] ; [104.03153153  50.96846847],0
n4,1,0.223317,1.482929,[44 23] ; [115  41],[47.77130045 19.22869955] ; [111.22869955  44.77130045],0
p7,1,0.233375,1.42017,[36 29] ; [96 54],[39.90697674 25.09302326] ; [92.09302326 57.90697674],0
n1,1,0.328768,0.953746,[10 12] ; [10 21],[ 8.30188679 13.69811321] ; [11.69811321 19.30188679],0
p1,1,0.387246,0.747573,[ 3 63] ; [ 12 143],[ 4.47963801 61.52036199] ; [ 10.52036199 144.47963801],0
n3,1,0.391039,0.73571,[14  7] ; [24  7],[15.34615385  5.65384615] ; [22.65384615  8.34615385],0
a5,1,0.418511,0.654493,[40 27] ; [102  54],[42.66367713 24.33632287] ; [99.33632287 56.66367713],0
a6,1,0.495052,0.465527,[40 27] ; [100  55],[42.25225225 24.74774775] ; [97.74774775 57.25225225],0
n2,1,0.497349,0.460589,[16  6] ; [25  6],[17.01886792  4.98113208] ; [23.98113208  7.01886792],0
b3,1,0.523115,0.407747,[12 24] ; [22 58],[10.55172414 25.44827586] ; [23.44827586 56.55172414],0
b2,1,0.523115,0.407747,[12 24] ; [22 58],[10.55172414 25.44827586] ; [23.44827586 56.55172414],0
s1,1,0.525589,0.402913,[ 5 62] ; [  8 144],[ 3.97716895 63.02283105] ; [  9.02283105 142.97716895],0
a3,1,0.577541,0.310227,[41 25] ; [103  53],[42.81081081 23.18918919] ; [101.18918919  54.81081081],0
a1,1,0.639187,0.219806,[ 4 63] ; [  7 149],[ 3.30493274 63.69506726] ; [  7.69506726 148.30493274],0
v1,1,0.667386,0.184675,[26 38] ; [67 86],[27.42857143 36.57142857] ; [65.57142857 87.42857143],0
b1,1,0.72744,0.121475,[27 40] ; [59 97],[25.83856502 41.16143498] ; [60.16143498 95.83856502],0
d2,1,0.773999,0.082454,[28 39] ; [68 87],[28.97297297 38.02702703] ; [67.02702703 87.97297297],0
a8,1,0.816153,0.054054,[ 7 56] ; [ 18 129],[ 7.5 55.5] ; [ 17.5 129.5],0
