Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,77.657545,[57 85] ; [504 148],[100.32997481  41.67002519] ; [460.67002519 191.32997481],1
n4,1,0.0,47.729578,[73 71] ; [514 139],[106.05771644  37.94228356] ; [480.94228356 172.05771644],1
p10,1,0.0,33.559532,[85 57] ; [531 116],[110.8643853  31.1356147] ; [505.1356147 141.8643853],1
p9,1,0.0,27.253852,[95 48] ; [548  96],[116.83481576  26.16518424] ; [526.16518424 117.83481576],1
p11,1,8e-06,19.845883,[92 52] ; [530 125],[112.10012516  31.89987484] ; [509.89987484 145.10012516],1
r2,1,0.000153,14.337431,[125  17] ; [622  26],[134.27088608   7.72911392] ; [612.72911392  35.27088608],1
r4,1,0.000155,14.313347,[119  25] ; [607  48],[130.84355444  13.15644556] ; [595.15644556  59.84355444],1
u1,1,0.000646,11.638894,[ 11 133] ; [128 527],[ 25.05131414 118.94868586] ; [113.94868586 541.05131414],1
p2,1,0.000755,11.34897,[102  41] ; [545 108],[116.23241206  26.76758794] ; [530.76758794 122.23241206],1
b1,1,0.001657,9.895124,[71 73] ; [231 424],[54.42803504 89.57196496] ; [247.57196496 407.42803504],0
s7,1,0.001802,9.741013,[44 90] ; [299 329],[60.3175853 73.6824147] ; [282.6824147 345.3175853],0
s6,1,0.003646,8.452339,[77 66] ; [429 214],[92.05852417 50.94147583] ; [413.94147583 229.05852417],0
v3,1,0.003749,8.401674,[34 99] ; [248 390],[48.6459144 84.3540856] ; [233.3540856 404.6459144],0
s8,1,0.004368,8.124093,[ 44 100] ; [283 368],[59.23018868 84.76981132] ; [267.76981132 383.23018868],0
v4,1,0.004732,7.979217,[127  14] ; [627  27],[133.72830189   7.27169811] ; [620.27169811  33.72830189],0
d1,1,0.006129,7.512101,[68 76] ; [391 264],[82.72340426 61.27659574] ; [376.27659574 278.72340426],0
u2,1,0.00722,7.217296,[37 15] ; [97 96],[28.44081633 23.55918367] ; [105.55918367  87.44081633],0
a4,1,0.008264,6.975401,[49 95] ; [301 352],[63.23713927 80.76286073] ; [286.76286073 366.23713927],0
a2,1,0.008987,6.825354,[ 22 122] ; [167 488],[ 34.06257822 109.93742178] ; [154.93742178 500.06257822],0
s5,1,0.010149,6.608588,[ 27 109] ; [196 439],[39.33592737 96.66407263] ; [183.66407263 451.33592737],0
a5,1,0.012167,6.286341,[91 53] ; [482 173],[103.26908636  40.73091364] ; [469.73091364 185.26908636],0
b3,1,0.016842,5.712813,[19 63] ; [141 240],[28.33693305 53.66306695] ; [131.66306695 249.33693305],0
b2,1,0.016842,5.712813,[19 63] ; [141 240],[28.33693305 53.66306695] ; [131.66306695 249.33693305],0
p4,1,0.01727,5.668763,[65 77] ; [370 282],[77.79596977 64.20403023] ; [357.20403023 294.79596977],0
v1,1,0.024204,5.07998,[59 81] ; [337 303],[71.07692308 68.92307692] ; [324.92307692 315.07692308],0
p3,1,0.027244,4.875305,[52 90] ; [306 348],[63.86432161 78.13567839] ; [294.13567839 359.86432161],0
d2,1,0.027702,4.846511,[56 87] ; [322 331],[67.90703518 75.09296482] ; [310.09296482 342.90703518],0
p6,1,0.031666,4.616478,[ 35 104] ; [224 423],[45.80279898 93.19720102] ; [213.19720102 433.80279898],0
s1,1,0.032607,4.566316,[  8 133] ; [ 15 630],[  4.1259542 136.8740458] ; [ 18.8740458 626.1259542],0
p7,1,0.033146,4.538238,[74 66] ; [401 240],[85.14724712 54.85275288] ; [389.85275288 251.14724712],0
d5,1,0.046055,3.979572,[107  36] ; [536 117],[115.5138191  27.4861809] ; [527.4861809 125.5138191],0
