Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.005488,7.711268,[ 8 35] ; [11 10],[12.765625 30.234375] ; [ 6.234375 14.765625],0
p7,1,0.013812,6.061957,[ 9 35] ; [11 11],[13.33333333 30.66666667] ; [ 6.66666667 15.33333333],0
d5,1,0.01967,5.440976,[23 21] ; [18  4],[27.33333333 16.66666667] ; [13.66666667  8.33333333],0
s6,1,0.024932,5.028571,[10 34] ; [11 11],[14. 30.] ; [ 7. 15.],0
r3,1,0.029913,4.714286,[24 20] ; [18  4],[28. 16.] ; [14.  8.],0
v4,1,0.033642,4.512821,[22 22] ; [17  5],[26. 18.] ; [13.  9.],0
p4,1,0.04655,3.961585,[ 8 36] ; [ 9 13],[11.33333333 32.66666667] ; [ 5.66666667 16.33333333],0
s2,1,0.04655,3.961585,[ 8 36] ; [ 9 13],[11.33333333 32.66666667] ; [ 5.66666667 16.33333333],0
u3,1,0.092838,2.824463,[ 4 14] ; [4 3],[ 5.76 12.24] ; [2.24 4.76],0
s4,1,0.102081,2.672727,[ 5 39] ; [ 6 16],[ 7.33333333 36.66666667] ; [ 3.66666667 18.33333333],0
d1,1,0.111103,2.538462,[15 29] ; [12 10],[18. 26.] ; [ 9. 13.],0
p6,1,0.116992,2.457138,[ 4 39] ; [ 5 16],[ 6.046875 36.953125] ; [ 2.953125 18.046875],0
a7,1,0.117185,2.454545,[19 25] ; [14  8],[22. 22.] ; [11. 11.],0
p3,1,0.13017,2.29048,[ 9 35] ; [ 8 13],[11.50769231 32.49230769] ; [ 5.49230769 15.50769231],0
n3,1,0.147758,2.095249,[ 7 10] ; [7 3],[8.81481481 8.18518519] ; [5.18518519 4.81481481],0
a2,1,0.157551,1.997579,[ 3 41] ; [ 4 18],[ 4.66666667 39.33333333] ; [ 2.33333333 19.66666667],0
p11,1,0.158869,1.984962,[16 28] ; [12 10],[18.66666667 25.33333333] ; [ 9.33333333 12.66666667],0
n2,1,0.159719,1.976886,[9 8] ; [8 2],[10.7037037  6.2962963] ; [6.2962963 3.7037037],0
d3,1,0.16296,1.946544,[18 26] ; [13  9],[20.66666667 23.33333333] ; [10.33333333 11.66666667],0
p10,1,0.181681,1.783816,[16 27] ; [12 10],[18.52307692 24.47692308] ; [ 9.47692308 12.52307692],0
s8,1,0.224839,1.473214,[ 5 39] ; [ 5 17],[ 6.66666667 37.33333333] ; [ 3.33333333 18.66666667],0
