Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-05,19.607962,[48 16] ; [ 1 11],[41.26315789 22.73684211] ; [7.73684211 4.26315789],1
s2,1,9.3e-05,15.27264,[44 20] ; [ 1 11],[37.89473684 26.10526316] ; [7.10526316 4.89473684],1
s7,1,0.001919,9.625668,[50 10] ; [5 7],[45.83333333 14.16666667] ; [9.16666667 2.83333333],0
p6,1,0.012431,6.248277,[44 18] ; [4 8],[40.21621622 21.78378378] ; [7.78378378 4.21621622],0
r4,1,0.01664,5.733929,[61  3] ; [9 3],[58.94736842  5.05263158] ; [11.05263158  0.94736842],0
r3,1,0.053879,3.716435,[62  2] ; [10  2],[60.63157895  3.36842105] ; [11.36842105  0.63157895],0
s8,1,0.072033,3.23608,[44 20] ; [5 7],[41.26315789 22.73684211] ; [7.73684211 4.26315789],0
n4,1,0.075022,3.169577,[59  5] ; [9 3],[57.26315789  6.73684211] ; [10.73684211  1.26315789],0
p8,1,0.146466,2.108679,[54 10] ; [8 4],[52.21052632 11.78947368] ; [9.78947368 2.21052632],0
b5,1,0.16063,1.968288,[30 34] ; [3 9],[27.78947368 36.21052632] ; [5.21052632 6.78947368],0
a6,1,0.162725,1.948718,[40 24] ; [10  2],[42.10526316 21.89473684] ; [7.89473684 4.10526316],0
v2,1,0.171688,1.86814,[38 25] ; [9 2],[40.01351351 22.98648649] ; [6.98648649 4.01351351],0
v1,1,0.181449,1.785714,[40 23] ; [10  2],[42. 21.] ; [8. 4.],0
u1,1,0.203583,1.616484,[16 48] ; [ 1 11],[14.31578947 49.68421053] ; [2.68421053 9.31578947],0
b4,1,0.256071,1.289875,[38 26] ; [5 7],[36.21052632 27.78947368] ; [6.78947368 5.21052632],0
p12,1,0.263892,1.248223,[21 43] ; [ 2 10],[19.36842105 44.63157895] ; [3.63157895 8.36842105],0
v3,1,0.331363,0.943566,[36 27] ; [8 3],[37.45945946 25.54054054] ; [6.54054054 4.45945946],0
r2,1,0.340682,0.907863,[58  5] ; [10  2],[57.12  5.88] ; [10.88  1.12],0
p7,1,0.368843,0.807559,[51 12] ; [11  1],[52.08 10.92] ; [9.92 2.08],0
n2,1,0.382733,0.761905,[11  3] ; [1 1],[10.5  3.5] ; [1.5 0.5],0
v4,1,0.395167,0.722983,[62  2] ; [11  1],[61.47368421  2.52631579] ; [11.52631579  0.47368421],0
d1,1,0.406388,0.689342,[40 24] ; [9 3],[41.26315789 22.73684211] ; [7.73684211 4.26315789],0
n5,1,0.450074,0.570466,[58  6] ; [10  2],[57.26315789  6.73684211] ; [10.73684211  1.26315789],0
s5,1,0.502335,0.45,[41 19] ; [7 5],[40. 20.] ; [8. 4.],0
r1,1,0.521753,0.410426,[53 11] ; [9 3],[52.21052632 11.78947368] ; [9.78947368 2.21052632],0
a5,1,0.533221,0.38825,[48 16] ; [10  2],[48.84210526 15.15789474] ; [9.15789474 2.84210526],0
p4,1,0.603744,0.269387,[61  3] ; [11  1],[60.63157895  3.36842105] ; [11.36842105  0.63157895],0
b2,1,0.610562,0.259358,[23 22] ; [6 4],[23.72727273 21.27272727] ; [5.27272727 4.72727273],0
b3,1,0.610562,0.259358,[23 22] ; [6 4],[23.72727273 21.27272727] ; [5.27272727 4.72727273],0
a8,1,0.617138,0.249911,[ 9 52] ; [ 1 10],[ 8.47222222 52.52777778] ; [1.52777778 9.47222222],0
d3,1,0.665393,0.187039,[44 20] ; [9 3],[44.63157895 19.36842105] ; [8.36842105 3.63157895],0
d2,1,0.666417,0.185822,[33 31] ; [7 5],[33.68421053 30.31578947] ; [6.31578947 5.68421053],0
a7,1,0.715058,0.133277,[46 18] ; [8 4],[45.47368421 18.52631579] ; [8.52631579 3.47368421],0
p9,1,0.789365,0.071362,[60  4] ; [11  1],[59.78947368  4.21052632] ; [11.21052632  0.78947368],0
p1,1,0.800825,0.063645,[19 45] ; [4 8],[19.36842105 44.63157895] ; [3.63157895 8.36842105],0
d4,1,0.813984,0.055361,[55  9] ; [10  2],[54.73684211  9.26315789] ; [10.26315789  1.73684211],0
a2,1,0.864351,0.029186,[12 52] ; [ 2 10],[11.78947368 52.21052632] ; [2.21052632 9.78947368],0
b1,1,0.865512,0.028684,[25 39] ; [5 7],[25.26315789 38.73684211] ; [4.73684211 7.26315789],0
a4,1,0.893707,0.017853,[28 36] ; [5 7],[27.78947368 36.21052632] ; [5.21052632 6.78947368],0
p10,1,0.896622,0.016882,[57  6] ; [11  1],[57.12  5.88] ; [10.88  1.12],0
s1,1,0.908834,0.013112,[ 6 58] ; [ 1 11],[ 5.89473684 58.10526316] ; [ 1.10526316 10.89473684],0
d5,1,0.927643,0.008247,[54 10] ; [10  2],[53.89473684 10.10526316] ; [10.10526316  1.89473684],0
p2,1,0.951041,0.00377,[59  5] ; [11  1],[58.94736842  5.05263158] ; [11.05263158  0.94736842],0
a3,1,0.964929,0.001933,[53 11] ; [10  2],[53.05263158 10.94736842] ; [9.94736842 2.05263158],0
