Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.020337,5.382762,[55  8] ; [10  6],[51.83544304 11.16455696] ; [13.16455696  2.83544304],0
p7,1,0.024078,5.08897,[41 19] ; [ 6 10],[37.10526316 22.89473684] ; [9.89473684 6.10526316],0
p9,1,0.024981,5.025198,[57  6] ; [11  5],[54.2278481  8.7721519] ; [13.7721519  2.2278481],0
a5,1,0.026859,4.899876,[49 14] ; [8 8],[45.4556962 17.5443038] ; [11.5443038  4.4556962],0
a8,1,0.040628,4.191468,[ 7 53] ; [ 5 10],[ 9.6 50.4] ; [ 2.4 12.6],0
s4,1,0.0621,3.480381,[18 45] ; [ 1 15],[15.15189873 47.84810127] ; [ 3.84810127 12.15189873],0
a2,1,0.096061,2.76975,[16 47] ; [ 1 15],[13.55696203 49.44303797] ; [ 3.44303797 12.55696203],0
v1,1,0.107775,2.586555,[24 36] ; [10  6],[26.84210526 33.15789474] ; [7.15789474 8.84210526],0
s7,1,0.111099,2.538522,[40 21] ; [7 9],[37.23376623 23.76623377] ; [9.76623377 6.23376623],0
d3,1,0.112055,2.524999,[48 15] ; [9 7],[45.4556962 17.5443038] ; [11.5443038  4.4556962],0
p6,1,0.153243,2.039673,[25 38] ; [ 3 12],[22.61538462 40.38461538] ; [5.38461538 9.61538462],0
s5,1,0.172493,1.861146,[25 36] ; [ 3 11],[22.77333333 38.22666667] ; [5.22666667 8.77333333],0
s3,1,0.172842,1.858121,[43 20] ; [8 8],[40.67088608 22.32911392] ; [10.32911392  5.67088608],0
d1,1,0.188538,1.729008,[39 24] ; [7 9],[36.6835443 26.3164557] ; [9.3164557 6.6835443],0
p11,1,0.209459,1.575165,[49 14] ; [10  6],[47.05063291 15.94936709] ; [11.94936709  4.05063291],0
a7,1,0.209459,1.575165,[49 14] ; [10  6],[47.05063291 15.94936709] ; [11.94936709  4.05063291],0
s2,1,0.216786,1.525517,[42 21] ; [8 8],[39.87341772 23.12658228] ; [10.12658228  5.87341772],0
d5,1,0.220329,1.502227,[52 11] ; [11  5],[50.24050633 12.75949367] ; [12.75949367  3.24050633],0
u2,1,0.263128,1.252222,[15  3] ; [3 2],[14.08695652  3.91304348] ; [3.91304348 1.08695652],0
p8,1,0.286239,1.137228,[29 34] ; [ 5 11],[27.11392405 35.88607595] ; [6.88607595 9.11392405],0
v4,1,0.289017,1.124195,[62  1] ; [15  1],[61.40506329  1.59493671] ; [15.59493671  0.40506329],0
r1,1,0.365998,0.817206,[50 13] ; [11  5],[48.64556962 14.35443038] ; [12.35443038  3.64556962],0
u1,1,0.387516,0.746721,[14 49] ; [ 2 14],[12.75949367 50.24050633] ; [ 3.24050633 12.75949367],0
d4,1,0.393222,0.728955,[53 10] ; [12  4],[51.83544304 11.16455696] ; [13.16455696  2.83544304],0
p2,1,0.393222,0.728955,[53 10] ; [12  4],[51.83544304 11.16455696] ; [13.16455696  2.83544304],0
a6,1,0.436644,0.605086,[42 21] ; [9 7],[40.67088608 22.32911392] ; [10.32911392  5.67088608],0
b4,1,0.436644,0.605086,[42 21] ; [9 7],[40.67088608 22.32911392] ; [10.32911392  5.67088608],0
n4,1,0.465068,0.533671,[29 34] ; [9 7],[30.30379747 32.69620253] ; [7.69620253 8.30379747],0
a3,1,0.488003,0.480925,[45 18] ; [10  6],[43.86075949 19.13924051] ; [11.13924051  4.86075949],0
b1,1,0.512907,0.428133,[22 41] ; [7 9],[23.12658228 39.87341772] ; [ 5.87341772 10.12658228],0
a4,1,0.69801,0.150551,[27 36] ; [ 6 10],[26.3164557 36.6835443] ; [6.6835443 9.3164557],0
p4,1,0.776361,0.080693,[34 29] ; [8 8],[33.49367089 29.50632911] ; [8.50632911 7.49367089],0
d2,1,0.864837,0.028975,[33 30] ; [8 8],[32.69620253 30.30379747] ; [8.30379747 7.69620253],0
n6,1,0.880856,0.022465,[40 22] ; [10  6],[39.74358974 22.25641026] ; [10.25641026  5.74358974],0
v2,1,0.907671,0.013451,[33 27] ; [8 7],[32.8 27.2] ; [8.2 6.8],0
b2,1,0.920451,0.009973,[15 28] ; [4 8],[14.85454545 28.14545455] ; [4.14545455 7.85454545],0
b3,1,0.920451,0.009973,[15 28] ; [4 8],[14.85454545 28.14545455] ; [4.14545455 7.85454545],0
v3,1,0.927231,0.008341,[21 40] ; [5 9],[21.14666667 39.85333333] ; [4.85333333 9.14666667],0
b5,1,0.941393,0.005405,[40 23] ; [10  6],[39.87341772 23.12658228] ; [10.12658228  5.87341772],0
p3,1,0.954781,0.003215,[31 32] ; [8 8],[31.10126582 31.89873418] ; [7.89873418 8.10126582],0
p1,1,0.965691,0.00185,[ 8 54] ; [ 2 14],[ 7.94871795 54.05128205] ; [ 2.05128205 13.94871795],0
r4,1,0.988388,0.000212,[59  4] ; [15  1],[59.01265823  3.98734177] ; [14.98734177  1.01265823],0
a1,1,0.988388,0.000212,[ 4 59] ; [ 1 15],[ 3.98734177 59.01265823] ; [ 1.01265823 14.98734177],0
