Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,4e-06,21.227629,[ 6 22] ; [66 28],[16.52459016 11.47540984] ; [55.47540984 38.52459016],1
p7,1,5.8e-05,16.174401,[11 17] ; [75 20],[19.57723577  8.42276423] ; [66.42276423 28.57723577],1
n5,1,0.000379,12.633593,[17 11] ; [85 10],[23.2195122  4.7804878] ; [78.7804878 16.2195122],1
n4,1,0.002858,8.896031,[19  9] ; [86  9],[23.90243902  4.09756098] ; [81.09756098 13.90243902],0
p3,1,0.006591,7.381155,[11 17] ; [65 31],[17.16129032 10.83870968] ; [58.83870968 37.16129032],0
p4,1,0.009106,6.801895,[12 16] ; [67 29],[17.83870968 10.16129032] ; [61.16129032 34.83870968],0
n6,1,0.010072,6.622106,[20  8] ; [86  9],[24.1300813  3.8699187] ; [81.8699187 13.1300813],0
p10,1,0.013515,6.100407,[19  8] ; [85 10],[23.01639344  3.98360656] ; [80.98360656 14.01639344],0
d4,1,0.021306,5.301627,[18 10] ; [80 15],[22.30894309  5.69105691] ; [75.69105691 19.30894309],0
s3,1,0.063945,3.431992,[17 11] ; [75 21],[20.77419355  7.22580645] ; [71.22580645 24.77419355],0
n2,1,0.072113,3.234256,[10  1] ; [14  9],[7.76470588 3.23529412] ; [16.23529412  6.76470588],0
p9,1,0.075058,3.168786,[21  6] ; [86  9],[23.68032787  3.31967213] ; [83.31967213 11.68032787],0
s4,1,0.077033,3.126412,[ 9 19] ; [16 79],[ 5.69105691 22.30894309] ; [19.30894309 75.69105691],0
s1,1,0.099623,2.711562,[ 3 25] ; [ 3 93],[ 1.35483871 26.64516129] ; [ 4.64516129 91.35483871],0
d3,1,0.115671,2.474984,[ 9 19] ; [47 49],[12.64516129 15.35483871] ; [43.35483871 52.64516129],0
d1,1,0.12162,2.39633,[12 16] ; [57 39],[15.58064516 12.41935484] ; [53.41935484 42.58064516],0
n1,1,0.132725,2.260334,[8 2] ; [12 11],[6.06060606 3.93939394] ; [13.93939394  9.06060606],0
s7,1,0.15533,2.019116,[19  8] ; [77 16],[21.6  5.4] ; [74.4 18.6],0
p6,1,0.199433,1.646519,[10 18] ; [47 48],[12.97560976 15.02439024] ; [44.02439024 50.97560976],0
b1,1,0.253612,1.303296,[18 10] ; [50 46],[15.35483871 12.64516129] ; [52.64516129 43.35483871],0
d5,1,0.273003,1.201596,[20  8] ; [77 18],[22.08130081  5.91869919] ; [74.91869919 20.08130081],0
v3,1,0.280597,1.164196,[11 15] ; [51 43],[13.43333333 12.56666667] ; [48.56666667 45.43333333],0
n3,1,0.284005,1.147826,[8 2] ; [14  9],[6.66666667 3.33333333] ; [15.33333333  7.66666667],0
p5,1,0.300153,1.073513,[ 2 24] ; [15 81],[ 3.62295082 22.37704918] ; [13.37704918 82.62295082],0
a3,1,0.321945,0.981027,[20  8] ; [77 19],[21.90322581  6.09677419] ; [75.09677419 20.90322581],0
r4,1,0.360916,0.834702,[26  2] ; [83 13],[24.61290323  3.38709677] ; [84.38709677 11.61290323],0
s2,1,0.383829,0.758403,[19  9] ; [73 23],[20.77419355  7.22580645] ; [71.22580645 24.77419355],0
u2,1,0.400659,0.706347,[6 2] ; [11  8],[5.03703704 2.96296296] ; [11.96296296  7.03703704],0
v2,1,0.432845,0.615178,[12 14] ; [51 42],[13.76470588 12.23529412] ; [49.23529412 43.76470588],0
b5,1,0.433906,0.612346,[14 14] ; [40 56],[12.19354839 15.80645161] ; [41.80645161 54.19354839],0
a5,1,0.46139,0.54252,[20  8] ; [75 21],[21.4516129  6.5483871] ; [73.5483871 22.4516129],0
b4,1,0.470663,0.52042,[15 13] ; [44 52],[13.32258065 14.67741935] ; [45.67741935 50.32258065],0
u1,1,0.480777,0.497101,[ 1 27] ; [ 7 89],[ 1.80645161 26.19354839] ; [ 6.19354839 89.80645161],0
a1,1,0.480777,0.497101,[ 1 27] ; [ 7 89],[ 1.80645161 26.19354839] ; [ 6.19354839 89.80645161],0
a2,1,0.511905,0.430172,[ 2 26] ; [11 85],[ 2.93548387 25.06451613] ; [10.06451613 85.93548387],0
s5,1,0.514336,0.425236,[10 16] ; [42 50],[11.45762712 14.54237288] ; [40.54237288 51.45762712],0
v4,1,0.526701,0.400752,[26  2] ; [91  4],[26.63414634  1.36585366] ; [90.36585366  4.63414634],0
d2,1,0.539463,0.376536,[17 11] ; [52 44],[15.58064516 12.41935484] ; [53.41935484 42.58064516],0
a8,1,0.549627,0.357985,[ 3 25] ; [14 78],[ 3.96666667 24.03333333] ; [13.03333333 78.96666667],0
p11,1,0.561674,0.336814,[22  6] ; [80 16],[23.03225806  4.96774194] ; [78.96774194 17.03225806],0
a4,1,0.62656,0.236755,[14 14] ; [43 53],[12.87096774 15.12903226] ; [44.12903226 51.87096774],0
s6,1,0.648169,0.208217,[22  5] ; [80 14],[22.76033058  4.23966942] ; [79.23966942 14.76033058],0
a6,1,0.707931,0.140352,[11 17] ; [34 62],[10.16129032 17.83870968] ; [34.83870968 61.16129032],0
b2,1,0.764651,0.089628,[12 13] ; [34 32],[12.63736264 12.36263736] ; [33.36263736 32.63736264],0
b3,1,0.764651,0.089628,[12 13] ; [34 32],[12.63736264 12.36263736] ; [33.36263736 32.63736264],0
p1,1,0.832957,0.044483,[ 3 25] ; [ 9 87],[ 2.70967742 25.29032258] ; [ 9.29032258 86.70967742],0
v1,1,0.874953,0.024765,[17 10] ; [57 36],[16.65 10.35] ; [57.35 35.65],0
r3,1,0.887963,0.019848,[27  1] ; [92  4],[26.87096774  1.12903226] ; [92.12903226  3.87096774],0
u4,1,0.887963,0.019848,[ 1 27] ; [ 4 92],[ 1.12903226 26.87096774] ; [ 3.87096774 92.12903226],0
p12,1,0.944252,0.00489,[ 3 24] ; [10 84],[ 2.90082645 24.09917355] ; [10.09917355 83.90082645],0
r2,1,0.956928,0.002917,[26  2] ; [87  7],[25.93442623  2.06557377] ; [87.06557377  6.93442623],0
r1,1,0.959833,0.002536,[22  6] ; [75 21],[21.90322581  6.09677419] ; [75.09677419 20.90322581],0
