Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,5e-06,20.927776,[ 1 27] ; [20 14],[ 9.48387097 18.51612903] ; [11.51612903 22.48387097],1
d5,1,1.8e-05,18.355969,[ 7 21] ; [27  7],[15.35483871 12.64516129] ; [18.64516129 15.35483871],1
d3,1,0.000655,11.612139,[ 6 22] ; [22 12],[12.64516129 15.35483871] ; [15.35483871 18.64516129],1
p3,1,0.001799,9.744523,[ 2 26] ; [14 19],[ 7.3442623 20.6557377] ; [ 8.6557377 24.3442623],0
a5,1,0.012148,6.289121,[10 18] ; [23 11],[14.90322581 13.09677419] ; [18.09677419 15.90322581],0
a3,1,0.030678,4.670896,[12 14] ; [25  9],[16.03333333  9.96666667] ; [20.96666667 13.03333333],0
a4,1,0.035716,4.410613,[ 6 21] ; [16 17],[ 9.9 17.1] ; [12.1 20.9],0
n5,1,0.047471,3.928607,[23  5] ; [20 14],[19.41935484  8.58064516] ; [23.58064516 10.41935484],0
b1,1,0.056306,3.642993,[14 14] ; [25  9],[17.61290323 10.38709677] ; [21.38709677 12.61290323],0
p4,1,0.108169,2.580765,[ 5 23] ; [12 21],[ 7.80327869 20.19672131] ; [ 9.19672131 23.80327869],0
r1,1,0.11742,2.451404,[ 7 21] ; [15 19],[ 9.93548387 18.06451613] ; [12.06451613 21.93548387],0
v2,1,0.133898,2.246715,[ 3 24] ; [ 9 25],[ 5.31147541 21.68852459] ; [ 6.68852459 27.31147541],0
n4,1,0.136941,2.212001,[20  8] ; [18 16],[17.16129032 10.83870968] ; [20.83870968 13.16129032],0
p1,1,0.160866,1.966069,[ 6 22] ; [ 3 31],[ 4.06451613 23.93548387] ; [ 4.93548387 29.06451613],0
u3,1,0.16962,1.886299,[ 3 13] ; [4 5],[ 4.48 11.52] ; [2.52 6.48],0
a7,1,0.233456,1.419677,[ 9 19] ; [16 18],[11.29032258 16.70967742] ; [13.70967742 20.29032258],0
n6,1,0.23434,1.414321,[11 17] ; [18 15],[13.31147541 14.68852459] ; [15.68852459 17.31147541],0
n1,1,0.284294,1.14645,[9 9] ; [4 9],[ 7.5483871 10.4516129] ; [5.4516129 7.5483871],0
d2,1,0.288898,1.124748,[ 9 19] ; [15 18],[11.01639344 16.98360656] ; [12.98360656 20.01639344],0
s5,1,0.292813,1.106642,[ 3 25] ; [ 7 27],[ 4.51612903 23.48387097] ; [ 5.48387097 28.51612903],0
p7,1,0.328782,0.953689,[ 8 20] ; [13 19],[ 9.8 18.2] ; [11.2 20.8],0
n3,1,0.347329,0.883191,[10  8] ; [5 8],[8.70967742 9.29032258] ; [6.29032258 6.70967742],0
r4,1,0.349047,0.876918,[ 2 26] ; [ 5 29],[ 3.16129032 24.83870968] ; [ 3.83870968 30.16129032],0
s7,1,0.355233,0.854677,[ 5 22] ; [ 3 27],[ 3.78947368 23.21052632] ; [ 4.21052632 25.78947368],0
p10,1,0.391781,0.733406,[ 9 18] ; [15 19],[10.62295082 16.37704918] ; [13.37704918 20.62295082],0
p2,1,0.444382,0.584941,[12 16] ; [11 22],[10.55737705 17.44262295] ; [12.44262295 20.55737705],0
s6,1,0.474664,0.511098,[ 6 22] ; [10 24],[ 7.22580645 20.77419355] ; [ 8.77419355 25.22580645],0
r2,1,0.496382,0.462662,[19  9] ; [19 13],[17.73333333 10.26666667] ; [20.26666667 11.73333333],0
s1,1,0.498839,0.457405,[ 4 24] ; [ 3 31],[ 3.16129032 24.83870968] ; [ 3.83870968 30.16129032],0
b4,1,0.515285,0.423319,[15 13] ; [21 13],[16.25806452 11.74193548] ; [19.74193548 14.25806452],0
n2,1,0.524116,0.405785,[9 9] ; [5 8],[8.12903226 9.87096774] ; [5.87096774 7.12903226],0
a2,1,0.540156,0.37525,[ 2 26] ; [ 4 30],[ 2.70967742 25.29032258] ; [ 3.29032258 30.70967742],0
v1,1,0.573073,0.317567,[ 8 20] ; [12 22],[ 9.03225806 18.96774194] ; [10.96774194 23.03225806],0
b5,1,0.574826,0.314674,[12 16] ; [17 17],[13.09677419 14.90322581] ; [15.90322581 18.09677419],0
v3,1,0.585058,0.298128,[ 5 23] ; [ 8 26],[ 5.87096774 22.12903226] ; [ 7.12903226 26.87096774],0
b2,1,0.626689,0.236578,[ 8 11] ; [ 8 15],[ 7.23809524 11.76190476] ; [ 8.76190476 14.23809524],0
b3,1,0.626689,0.236578,[ 8 11] ; [ 8 15],[ 7.23809524 11.76190476] ; [ 8.76190476 14.23809524],0
v4,1,0.644106,0.213412,[14 14] ; [19 15],[14.90322581 13.09677419] ; [18.09677419 15.90322581],0
p6,1,0.725945,0.122868,[ 4 23] ; [ 4 30],[ 3.54098361 23.45901639] ; [ 4.45901639 29.54098361],0
a1,1,0.737071,0.112718,[ 5 23] ; [ 5 29],[ 4.51612903 23.48387097] ; [ 5.48387097 28.51612903],0
s2,1,0.737071,0.112718,[ 5 23] ; [ 5 29],[ 4.51612903 23.48387097] ; [ 5.48387097 28.51612903],0
a6,1,0.740765,0.109456,[12 16] ; [16 18],[12.64516129 15.35483871] ; [15.35483871 18.64516129],0
p11,1,0.747894,0.103309,[ 8 20] ; [11 23],[ 8.58064516 19.41935484] ; [10.41935484 23.58064516],0
p9,1,0.758368,0.094633,[10 16] ; [14 19],[10.57627119 15.42372881] ; [13.42372881 19.57627119],0
p8,1,0.762951,0.090967,[ 7 20] ; [10 24],[ 7.52459016 19.47540984] ; [ 9.47540984 24.52459016],0
s4,1,0.786484,0.073375,[ 5 23] ; [ 7 27],[ 5.41935484 22.58064516] ; [ 6.58064516 27.41935484],0
p5,1,0.814421,0.055096,[ 2 25] ; [ 3 30],[ 2.25 24.75] ; [ 2.75 30.25],0
p12,1,0.888836,0.019538,[ 1 27] ; [ 1 33],[ 0.90322581 27.09677419] ; [ 1.09677419 32.90322581],0
s3,1,0.910146,0.012736,[ 5 20] ; [ 7 26],[ 5.17241379 19.82758621] ; [ 6.82758621 26.17241379],0
u2,1,0.914641,0.011489,[ 5 11] ; [3 6],[ 5.12 10.88] ; [2.88 6.12],0
a8,1,0.939516,0.005758,[ 1 26] ; [ 1 29],[ 0.94736842 26.05263158] ; [ 1.05263158 28.94736842],0
