Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2.1e-05,18.126732,[ 1 51] ; [5 7],[ 4.875 47.125] ; [ 1.125 10.875],1
p6,1,0.01643,5.756211,[ 2 48] ; [3 9],[ 4.03225806 45.96774194] ; [ 0.96774194 11.03225806],0
s4,1,0.03314,4.538513,[ 5 47] ; [4 8],[ 7.3125 44.6875] ; [ 1.6875 10.3125],0
r1,1,0.041167,4.169118,[14 37] ; [7 5],[17. 34.] ; [4. 8.],0
p10,1,0.05864,3.575437,[15 36] ; [7 5],[17.80952381 33.19047619] ; [4.19047619 7.80952381],0
s2,1,0.065784,3.385201,[ 9 43] ; [5 7],[11.375 40.625] ; [2.625 9.375],0
p4,1,0.071745,3.242647,[ 9 42] ; [5 7],[11.33333333 39.66666667] ; [2.66666667 9.33333333],0
p2,1,0.080923,3.046276,[16 35] ; [7 5],[18.61904762 32.38095238] ; [4.38095238 7.61904762],0
s3,1,0.096013,2.770546,[13 38] ; [6 6],[15.38095238 35.61904762] ; [3.61904762 8.38095238],0
u1,1,0.098169,2.735043,[ 2 50] ; [ 2 10],[ 3.25 48.75] ; [ 0.75 11.25],0
n6,1,0.107793,2.586285,[19 32] ; [7 4],[21.38709677 29.61290323] ; [4.61290323 6.38709677],0
n2,1,0.108665,2.573529,[10 15] ; [7 3],[12.14285714 12.85714286] ; [4.85714286 5.14285714],0
n4,1,0.131912,2.269853,[26 25] ; [9 3],[28.33333333 22.66666667] ; [6.66666667 5.33333333],0
v4,1,0.164742,1.930147,[27 24] ; [9 3],[29.14285714 21.85714286] ; [6.85714286 5.14285714],0
n5,1,0.164742,1.930147,[27 24] ; [9 3],[29.14285714 21.85714286] ; [6.85714286 5.14285714],0
b1,1,0.221464,1.494861,[29 23] ; [9 3],[30.875 21.125] ; [7.125 4.875],0
d3,1,0.221549,1.494307,[24 27] ; [8 4],[25.9047619 25.0952381] ; [6.0952381 5.9047619],0
v3,1,0.241855,1.369751,[12 39] ; [ 1 11],[10.52380952 40.47619048] ; [2.47619048 9.52380952],0
b4,1,0.297008,1.087582,[26 26] ; [4 8],[24.375 27.625] ; [5.625 6.375],0
p9,1,0.302834,1.061672,[17 33] ; [6 6],[18.5483871 31.4516129] ; [4.4516129 7.5483871],0
v1,1,0.334341,0.932012,[14 37] ; [5 7],[15.38095238 35.61904762] ; [3.61904762 8.38095238],0
p8,1,0.336238,0.924723,[ 7 44] ; [3 9],[ 8.0952381 42.9047619] ; [ 1.9047619 10.0952381],0
a2,1,0.33636,0.924256,[ 4 48] ; [ 2 10],[ 4.875 47.125] ; [ 1.125 10.875],0
s5,1,0.341963,0.903057,[ 5 47] ; [2 8],[ 5.87096774 46.12903226] ; [1.12903226 8.87096774],0
n1,1,0.343857,0.896,[ 6 19] ; [4 6],[ 7.14285714 17.85714286] ; [2.85714286 7.14285714],0
a3,1,0.359237,0.84056,[26 24] ; [8 4],[27.41935484 22.58064516] ; [6.58064516 5.41935484],0
a1,1,0.367095,0.813476,[10 42] ; [ 1 11],[ 8.9375 43.0625] ; [2.0625 9.9375],0
s6,1,0.369305,0.806,[11 41] ; [4 8],[12.1875 39.8125] ; [2.8125 9.1875],0
d4,1,0.381011,0.767436,[32 20] ; [9 3],[33.3125 18.6875] ; [7.6875 4.3125],0
s1,1,0.496116,0.463235,[ 5 46] ; [ 2 10],[ 5.66666667 45.33333333] ; [ 1.33333333 10.66666667],0
d1,1,0.555193,0.348096,[17 35] ; [5 7],[17.875 34.125] ; [4.125 7.875],0
a7,1,0.561477,0.337153,[26 25] ; [5 7],[25.0952381 25.9047619] ; [5.9047619 6.0952381],0
v2,1,0.56354,0.333612,[12 37] ; [ 2 10],[11.24590164 37.75409836] ; [2.75409836 9.24590164],0
a6,1,0.628257,0.234432,[22 30] ; [6 6],[22.75 29.25] ; [5.25 6.75],0
a4,1,0.665183,0.187289,[16 35] ; [3 9],[15.38095238 35.61904762] ; [3.61904762 8.38095238],0
r3,1,0.679944,0.170189,[18 33] ; [5 7],[18.61904762 32.38095238] ; [4.38095238 7.61904762],0
r2,1,0.682814,0.166976,[30 19] ; [6 5],[29.4 19.6] ; [6.6 4.4],0
d5,1,0.688343,0.160885,[27 25] ; [7 5],[27.625 24.375] ; [6.375 5.625],0
a5,1,0.71744,0.130959,[23 29] ; [6 6],[23.5625 28.4375] ; [5.4375 6.5625],0
p7,1,0.804667,0.061163,[14 35] ; [3 9],[13.6557377 35.3442623] ; [3.3442623 8.6557377],0
b5,1,0.809817,0.057919,[28 24] ; [6 6],[27.625 24.375] ; [6.375 5.625],0
n3,1,0.824899,0.048951,[ 9 16] ; [4 6],[ 9.28571429 15.71428571] ; [3.71428571 6.28571429],0
b3,1,0.855494,0.033165,[14 16] ; [3 4],[13.78378378 16.21621622] ; [3.21621622 3.78378378],0
b2,1,0.855494,0.033165,[14 16] ; [3 4],[13.78378378 16.21621622] ; [3.21621622 3.78378378],0
p1,1,0.890762,0.018862,[ 5 47] ; [ 1 11],[ 4.875 47.125] ; [ 1.125 10.875],0
u2,1,0.900807,0.015536,[ 7 18] ; [1 3],[ 6.89655172 18.10344828] ; [1.10344828 2.89655172],0
p3,1,0.91354,0.011788,[ 9 41] ; [ 2 10],[ 8.87096774 41.12903226] ; [2.12903226 9.87096774],0
u3,1,0.932534,0.007167,[ 6 20] ; [1 3],[ 6.06666667 19.93333333] ; [0.93333333 3.06666667],0
d2,1,0.975243,0.000963,[21 30] ; [5 7],[21.04761905 29.95238095] ; [4.95238095 7.04761905],0
