Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.000249,13.416667,[ 2 21] ; [25 21],[ 9. 14.] ; [18. 28.],1
d5,1,0.000249,13.416667,[ 7 16] ; [35 11],[14.  9.] ; [28. 18.],1
d2,1,0.007883,7.05992,[ 5 18] ; [25 20],[10.14705882 12.85294118] ; [19.85294118 25.14705882],0
n5,1,0.008888,6.845238,[19  4] ; [23 23],[14.  9.] ; [28. 18.],0
d3,1,0.010583,6.534091,[ 6 17] ; [27 19],[11. 12.] ; [22. 24.],0
r3,1,0.014389,5.989836,[ 9 13] ; [33 13],[13.58823529  8.41176471] ; [28.41176471 17.58823529],0
a1,1,0.024098,5.087558,[ 5 18] ; [ 2 44],[ 2.33333333 20.66666667] ; [ 4.66666667 41.33333333],0
a3,1,0.03791,4.309034,[ 9 13] ; [31 15],[12.94117647  9.05882353] ; [27.05882353 18.94117647],0
r4,1,0.039027,4.259694,[ 3 20] ; [17 29],[ 6.66666667 16.33333333] ; [13.33333333 32.66666667],0
v2,1,0.068778,3.311934,[ 5 17] ; [21 25],[ 8.41176471 13.58823529] ; [17.58823529 28.41176471],0
b4,1,0.078975,3.085868,[11 12] ; [32 14],[14.33333333  8.66666667] ; [28.66666667 17.33333333],0
r1,1,0.082996,3.005226,[ 6 17] ; [22 24],[ 9.33333333 13.66666667] ; [18.66666667 27.33333333],0
p11,1,0.087018,2.928693,[ 7 16] ; [24 22],[10.33333333 12.66666667] ; [20.66666667 25.33333333],0
s5,1,0.095485,2.779378,[ 1 21] ; [ 9 36],[ 3.28358209 18.71641791] ; [ 6.71641791 38.28358209],0
u2,1,0.121573,2.396939,[ 2 12] ; [6 9],[ 3.86206897 10.13793103] ; [ 4.13793103 10.86206897],0
s3,1,0.122436,2.385883,[ 6 17] ; [20 24],[ 8.92537313 14.07462687] ; [17.07462687 26.92537313],0
a5,1,0.170976,1.874363,[10 13] ; [28 18],[12.66666667 10.33333333] ; [25.33333333 20.66666667],0
n2,1,0.274006,1.196581,[5 7] ; [10  6],[6.42857143 5.57142857] ; [8.57142857 7.42857143],0
n4,1,0.283549,1.15,[17  6] ; [28 18],[15.  8.] ; [30. 16.],0
p1,1,0.287531,1.131148,[ 4 19] ; [ 4 42],[ 2.66666667 20.33333333] ; [ 5.33333333 40.66666667],0
a4,1,0.335021,0.929392,[ 6 17] ; [17 28],[ 7.77941176 15.22058824] ; [15.22058824 29.77941176],0
s7,1,0.335178,0.928787,[ 4 18] ; [12 29],[ 5.58730159 16.41269841] ; [10.41269841 30.58730159],0
n3,1,0.343446,0.897527,[5 7] ; [9 6],[6.22222222 5.77777778] ; [7.77777778 7.22222222],0
s4,1,0.352287,0.865204,[ 5 18] ; [ 6 40],[ 3.66666667 19.33333333] ; [ 7.33333333 38.66666667],0
s1,1,0.364763,0.821429,[ 3 20] ; [ 3 43],[ 2. 21.] ; [ 4. 42.],0
p6,1,0.447276,0.577546,[ 5 17] ; [ 7 39],[ 3.88235294 18.11764706] ; [ 8.11764706 37.88235294],0
s6,1,0.497785,0.459655,[ 6 16] ; [16 29],[ 7.2238806 14.7761194] ; [14.7761194 30.2238806],0
v3,1,0.50693,0.4404,[ 4 19] ; [11 34],[ 5.07352941 17.92647059] ; [ 9.92647059 35.07352941],0
r2,1,0.516075,0.421729,[12 11] ; [26 17],[13.24242424  9.75757576] ; [24.75757576 18.24242424],0
a6,1,0.609185,0.261364,[10 13] ; [23 23],[11. 12.] ; [22. 24.],0
v1,1,0.618705,0.247691,[ 8 15] ; [13 32],[ 7.10294118 15.89705882] ; [13.89705882 31.10294118],0
p12,1,0.623556,0.240902,[ 1 22] ; [ 1 44],[ 0.67647059 22.32352941] ; [ 1.32352941 43.67647059],0
n6,1,0.667268,0.184815,[11 12] ; [24 21],[11.83823529 11.16176471] ; [23.16176471 21.83823529],0
u1,1,0.715657,0.132692,[ 1 22] ; [ 3 43],[ 1.33333333 21.66666667] ; [ 2.66666667 43.33333333],0
a8,1,0.726845,0.122028,[ 3 20] ; [ 7 36],[ 3.48484848 19.51515152] ; [ 6.51515152 36.48484848],0
n1,1,0.742787,0.107692,[6 6] ; [7 9],[5.57142857 6.42857143] ; [7.42857143 8.57142857],0
a2,1,0.790325,0.070697,[ 3 20] ; [ 5 41],[ 2.66666667 20.33333333] ; [ 5.33333333 40.66666667],0
p3,1,0.848865,0.036316,[ 6 17] ; [13 33],[ 6.33333333 16.66666667] ; [12.66666667 33.33333333],0
p7,1,0.851169,0.035204,[ 7 16] ; [13 33],[ 6.66666667 16.33333333] ; [13.33333333 32.66666667],0
p4,1,0.851169,0.035204,[ 7 16] ; [13 33],[ 6.66666667 16.33333333] ; [13.33333333 32.66666667],0
p9,1,0.861742,0.030331,[11 11] ; [21 23],[10.66666667 11.33333333] ; [21.33333333 22.66666667],0
p2,1,0.863078,0.029741,[10 13] ; [19 27],[ 9.66666667 13.33333333] ; [19.33333333 26.66666667],0
b1,1,0.864118,0.029287,[13 10] ; [25 21],[12.66666667 10.33333333] ; [25.33333333 20.66666667],0
a7,1,0.864798,0.028992,[11 12] ; [23 23],[11.33333333 11.66666667] ; [22.66666667 23.33333333],0
