Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,28.37026,[ 6 17] ; [57 10],[16.1  6.9] ; [46.9 20.1],1
a5,1,0.011057,6.456209,[12 12] ; [52 15],[16.87912088  7.12087912] ; [47.12087912 19.87912088],0
n6,1,0.015659,5.84076,[14  9] ; [56 10],[18.08988764  4.91011236] ; [51.91011236 14.08988764],0
s4,1,0.03128,4.637508,[10 14] ; [13 54],[ 6.06593407 17.93406593] ; [16.93406593 50.06593407],0
d2,1,0.051605,3.78852,[ 9 15] ; [40 26],[13.06666667 10.93333333] ; [35.93333333 30.06666667],0
a4,1,0.065695,3.38743,[ 8 16] ; [37 30],[11.86813187 12.13186813] ; [33.13186813 33.86813187],0
a7,1,0.072251,3.231131,[21  3] ; [46 21],[17.67032967  6.32967033] ; [49.32967033 17.67032967],0
u2,1,0.075529,3.158571,[5 1] ; [ 7 10],[3.13043478 2.86956522] ; [8.86956522 8.13043478],0
u3,1,0.080824,3.048259,[6 1] ; [8 9],[4.08333333 2.91666667] ; [9.91666667 7.08333333],0
n1,1,0.105528,2.619943,[4 8] ; [16 10],[6.31578947 5.68421053] ; [13.68421053 12.31578947],0
v3,1,0.14368,2.138097,[ 5 17] ; [26 39],[ 7.83908046 14.16091954] ; [23.16091954 41.83908046],0
d1,1,0.150849,2.063643,[11 13] ; [42 25],[13.97802198 10.02197802] ; [39.02197802 27.97802198],0
u1,1,0.166933,1.910273,[ 4 20] ; [21 46],[ 6.59340659 17.40659341] ; [18.40659341 48.59340659],0
r1,1,0.190026,1.717419,[18  6] ; [58  9],[20.04395604  3.95604396] ; [55.95604396 11.04395604],0
s2,1,0.199644,1.644976,[15  9] ; [51 16],[17.40659341  6.59340659] ; [48.59340659 18.40659341],0
s3,1,0.229908,1.441429,[14 10] ; [48 19],[16.35164835  7.64835165] ; [45.64835165 21.35164835],0
n2,1,0.240183,1.379522,[7 5] ; [20  6],[8.52631579 3.47368421] ; [18.47368421  7.52631579],0
b3,1,0.277776,1.177938,[5 5] ; [13 28],[3.52941176 6.47058824] ; [14.47058824 26.52941176],0
b2,1,0.277776,1.177938,[5 5] ; [13 28],[3.52941176 6.47058824] ; [14.47058824 26.52941176],0
p7,1,0.368532,0.80861,[ 9 14] ; [33 33],[10.85393258 12.14606742] ; [31.14606742 34.85393258],0
d3,1,0.388446,0.743802,[16  8] ; [50 16],[17.6  6.4] ; [48.4 17.6],0
