Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.001029,10.774279,[28 83] ; [10  5],[33.47619048 77.52380952] ; [ 4.52380952 10.47619048],0
b3,1,0.013154,6.148221,[22 51] ; [7 3],[25.5060241 47.4939759] ; [3.4939759 6.5060241],0
b2,1,0.013154,6.148221,[22 51] ; [7 3],[25.5060241 47.4939759] ; [3.4939759 6.5060241],0
p2,1,0.028851,4.776475,[49 64] ; [11  4],[52.96875 60.03125] ; [7.03125 7.96875],0
r4,1,0.077031,3.126454,[72 41] ; [13  2],[75.0390625 37.9609375] ; [9.9609375 5.0390625],0
d2,1,0.095511,2.778942,[55 56] ; [ 4 11],[51.97619048 59.02380952] ; [7.02380952 7.97619048],0
v4,1,0.105854,2.615051,[82 28] ; [14  1],[84.48 25.52] ; [11.52  3.48],0
r3,1,0.109001,2.568642,[83 28] ; [14  1],[85.45238095 25.54761905] ; [11.54761905  3.45238095],0
v2,1,0.12996,2.29298,[36 72] ; [8 7],[38.63414634 69.36585366] ; [5.36585366 9.63414634],0
n6,1,0.130126,2.291002,[67 45] ; [12  3],[69.66929134 42.33070866] ; [9.33070866 5.66929134],0
n2,1,0.203038,1.620384,[27 21] ; [5 1],[28.44444444 19.55555556] ; [3.55555556 2.44444444],0
s7,1,0.225806,1.467085,[24 80] ; [5 8],[25.77777778 78.22222222] ; [3.22222222 9.77777778],0
p11,1,0.250162,1.322396,[50 63] ; [9 6],[52.0859375 60.9140625] ; [6.9140625 8.0859375],0
v1,1,0.253909,1.301668,[36 77] ; [7 8],[37.9609375 75.0390625] ; [5.0390625 9.9609375],0
d1,1,0.267233,1.230893,[47 66] ; [ 4 11],[45.0234375 67.9765625] ; [5.9765625 9.0234375],0
r2,1,0.298533,1.080734,[92 19] ; [14  1],[93.38095238 17.61904762] ; [12.61904762  2.38095238],0
a8,1,0.311165,1.025724,[ 7 98] ; [ 2 12],[ 7.94117647 97.05882353] ; [ 1.05882353 12.94117647],0
a2,1,0.35038,0.872079,[19 94] ; [ 4 11],[20.3046875 92.6953125] ; [ 2.6953125 12.3046875],0
u3,1,0.359515,0.839587,[25 22] ; [2 4],[23.94339623 23.05660377] ; [3.05660377 2.94339623],0
v3,1,0.374398,0.789015,[34 75] ; [ 3 12],[32.52419355 76.47580645] ; [ 4.47580645 10.52419355],0
p3,1,0.380496,0.7691,[26 87] ; [ 5 10],[27.3671875 85.6328125] ; [ 3.6328125 11.3671875],0
a7,1,0.427124,0.630631,[62 49] ; [10  5],[63.42857143 47.57142857] ; [8.57142857 6.42857143],0
d5,1,0.436486,0.605503,[79 34] ; [9 6],[77.6875 35.3125] ; [10.3125  4.6875],0
n5,1,0.442828,0.588943,[64 48] ; [7 8],[62.61417323 49.38582677] ; [8.38582677 6.61417323],0
s3,1,0.466415,0.530457,[41 70] ; [7 8],[42.28571429 68.71428571] ; [5.71428571 9.28571429],0
b4,1,0.477018,0.505672,[71 42] ; [8 7],[69.7421875 43.2578125] ; [9.2578125 5.7421875],0
a4,1,0.523454,0.407082,[46 66] ; [7 7],[47.11111111 64.88888889] ; [5.88888889 8.11111111],0
b5,1,0.527465,0.399273,[58 55] ; [9 6],[59.1484375 53.8515625] ; [7.8515625 7.1484375],0
s2,1,0.555032,0.348379,[29 82] ; [ 5 10],[29.95238095 81.04761905] ; [ 4.04761905 10.95238095],0
n4,1,0.574524,0.315171,[74 38] ; [11  4],[74.96062992 37.03937008] ; [10.03937008  4.96062992],0
a5,1,0.593707,0.284593,[61 52] ; [7 8],[60.03125 52.96875] ; [7.96875 7.03125],0
a6,1,0.660007,0.193515,[61 52] ; [9 6],[61.796875 51.203125] ; [8.203125 6.796875],0
s6,1,0.6788,0.17148,[42 71] ; [6 8],[42.70866142 70.29133858] ; [5.29133858 8.70866142],0
s5,1,0.696039,0.152625,[21 92] ; [ 3 10],[21.52380952 91.47619048] ; [ 2.47619048 10.52380952],0
r1,1,0.703079,0.145288,[80 32] ; [10  5],[79.37007874 32.62992126] ; [10.62992126  4.37007874],0
n1,1,0.714062,0.134254,[15 32] ; [2 3],[15.36538462 31.63461538] ; [1.63461538 3.36538462],0
s8,1,0.732503,0.116826,[20 93] ; [ 3 11],[20.46456693 92.53543307] ; [ 2.53543307 11.46456693],0
u2,1,0.797262,0.065994,[20 25] ; [3 3],[20.29411765 24.70588235] ; [2.70588235 3.29411765],0
p10,1,0.809839,0.057904,[21 91] ; [ 3 11],[21.33333333 90.66666667] ; [ 2.66666667 11.33333333],0
d3,1,0.833339,0.044277,[56 57] ; [7 8],[55.6171875 57.3828125] ; [7.3828125 7.6171875],0
s1,1,0.881605,0.022182,[ 10 102] ; [ 1 12],[  9.856 102.144] ; [ 1.144 11.856],0
d4,1,0.8881,0.019799,[76 35] ; [10  5],[75.76190476 35.23809524] ; [10.23809524  4.76190476],0
u1,1,0.917276,0.010788,[14 99] ; [ 2 13],[14.125 98.875] ; [ 1.875 13.125],0
p4,1,0.934353,0.006785,[31 81] ; [ 4 11],[30.86614173 81.13385827] ; [ 4.13385827 10.86614173],0
a3,1,0.936835,0.00628,[66 46] ; [9 6],[66.14173228 45.85826772] ; [8.85826772 6.14173228],0
p1,1,0.946187,0.004556,[  8 104] ; [ 1 14],[  7.93700787 104.06299213] ; [ 1.06299213 13.93700787],0
b1,1,0.962213,0.002245,[61 52] ; [8 7],[60.9140625 52.0859375] ; [8.0859375 6.9140625],0
