Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.002351,9.253125,[13  4] ; [140 216],[ 6.97319035 10.02680965] ; [146.02680965 209.97319035],0
s5,1,0.022099,5.237958,[10  8] ; [102 239],[ 5.61559889 12.38440111] ; [106.38440111 234.61559889],0
p10,1,0.031351,4.633617,[16  1] ; [248 107],[12.06451613  4.93548387] ; [251.93548387 103.06451613],0
d3,1,0.043711,4.0677,[17  1] ; [261  96],[13.344  4.656] ; [264.656  92.344],0
p3,1,0.044248,4.047087,[10  8] ; [116 240],[ 6.06417112 11.93582888] ; [119.93582888 236.06417112],0
p9,1,0.064768,3.410882,[17  1] ; [265  86],[13.75609756  4.24390244] ; [268.24390244  82.75609756],0
d2,1,0.093212,2.818009,[13  5] ; [184 170],[9.53225806 8.46774194] ; [187.46774194 166.53225806],0
a2,1,0.115916,2.471652,[ 2 16] ; [100 257],[ 4.896 13.104] ; [ 97.104 259.896],0
d5,1,0.138745,2.191822,[13  5] ; [304  53],[15.216  2.784] ; [301.784  55.216],0
v1,1,0.145939,2.114191,[11  7] ; [151 195],[8.01098901 9.98901099] ; [153.98901099 192.01098901],0
s2,1,0.19811,1.656255,[ 6 12] ; [173 181],[8.66129032 9.33870968] ; [170.33870968 183.66129032],0
b1,1,0.20032,1.640043,[10  8] ; [144 213],[ 7.392 10.608] ; [146.608 210.392],0
n5,1,0.216488,1.527499,[14  4] ; [224 129],[11.54716981  6.45283019] ; [226.45283019 126.54716981],0
r2,1,0.218445,1.514558,[15  3] ; [321  29],[16.43478261  1.56521739] ; [319.56521739  30.43478261],0
p2,1,0.248109,1.333918,[14  3] ; [247 110],[11.86363636  5.13636364] ; [249.13636364 107.86363636],0
p7,1,0.284193,1.146928,[9 8] ; [140 211],[ 6.88315217 10.11684783] ; [142.11684783 208.88315217],0
a4,1,0.289322,1.122774,[ 7 11] ; [184 172],[9.19251337 8.80748663] ; [181.80748663 174.19251337],0
p1,1,0.299179,1.077851,[ 2 16] ; [ 19 337],[ 1.01069519 16.98930481] ; [ 19.98930481 336.01069519],0
