Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.008038,7.02509,[3 1] ; [ 6 30],[0.9 3.1] ; [ 8.1 27.9],0
p8,1,0.077858,3.109056,[2 2] ; [ 5 30],[0.71794872 3.28205128] ; [ 6.28205128 28.71794872],0
n2,1,0.091167,2.853648,[3 1] ; [ 5 12],[1.52380952 2.47619048] ; [ 6.47619048 10.52380952],0
p3,1,0.113846,2.5,[2 2] ; [ 6 30],[0.8 3.2] ; [ 7.2 28.8],0
n4,1,0.132026,2.268519,[1 3] ; [23 13],[2.4 1.6] ; [21.6 14.4],0
n3,1,0.148795,2.084559,[3 1] ; [ 6 11],[1.71428571 2.28571429] ; [7.28571429 9.71428571],0
p2,1,0.16503,1.927519,[2 2] ; [ 7 29],[0.9 3.1] ; [ 8.1 27.9],0
b4,1,0.203628,1.616162,[1 3] ; [21 15],[2.2 1.8] ; [19.8 16.2],0
r4,1,0.223543,1.481481,[2 2] ; [ 8 28],[1. 3.] ; [ 9. 27.],0
p4,1,0.223543,1.481481,[2 2] ; [ 8 28],[1. 3.] ; [ 9. 27.],0
v2,1,0.28809,1.128527,[2 2] ; [ 9 27],[1.1 2.9] ; [ 9.9 26.1],0
s6,1,0.28809,1.128527,[2 2] ; [ 9 27],[1.1 2.9] ; [ 9.9 26.1],0
b5,1,0.291841,1.111111,[3 1] ; [17 19],[2. 2.] ; [18. 18.],0
a7,1,0.291841,1.111111,[3 1] ; [17 19],[2. 2.] ; [18. 18.],0
d2,1,0.316443,1.00359,[3 1] ; [17 18],[2.05128205 1.94871795] ; [17.94871795 17.05128205],0
b1,1,0.342178,0.902256,[3 1] ; [18 18],[2.1 1.9] ; [18.9 17.1],0
u2,1,0.347465,0.882692,[1 1] ; [ 3 12],[0.47058824 1.52941176] ; [ 3.52941176 11.47058824],0
s3,1,0.379041,0.77381,[2 2] ; [10 25],[1.23076923 2.76923077] ; [10.76923077 24.23076923],0
d3,1,0.396704,0.718294,[1 3] ; [17 19],[1.8 2.2] ; [16.2 19.8],0
s5,1,0.425556,0.634921,[1 3] ; [ 4 32],[0.5 3.5] ; [ 4.5 31.5],0
a2,1,0.425556,0.634921,[1 3] ; [ 4 32],[0.5 3.5] ; [ 4.5 31.5],0
p1,1,0.425556,0.634921,[1 3] ; [ 4 32],[0.5 3.5] ; [ 4.5 31.5],0
s1,1,0.425556,0.634921,[1 3] ; [ 4 32],[0.5 3.5] ; [ 4.5 31.5],0
r2,1,0.531257,0.391986,[3 1] ; [20 14],[2.42105263 1.57894737] ; [20.57894737 13.42105263],0
n1,1,0.548893,0.359304,[1 3] ; [ 7 10],[1.52380952 2.47619048] ; [ 6.47619048 10.52380952],0
s4,1,0.554916,0.348584,[1 3] ; [ 5 31],[0.6 3.4] ; [ 5.4 30.6],0
d1,1,0.586214,0.296296,[2 2] ; [13 23],[1.5 2.5] ; [13.5 22.5],0
a4,1,0.616573,0.250714,[2 2] ; [13 22],[1.53846154 2.46153846] ; [13.46153846 21.53846154],0
s7,1,0.635256,0.225,[1 3] ; [ 5 27],[0.66666667 3.33333333] ; [ 5.33333333 26.66666667],0
d5,1,0.666955,0.185185,[2 2] ; [22 14],[2.4 1.6] ; [21.6 14.4],0
a3,1,0.700098,0.14837,[2 2] ; [21 14],[2.35897436 1.64102564] ; [20.64102564 14.35897436],0
d4,1,0.73568,0.11396,[3 1] ; [24 12],[2.7 1.3] ; [24.3 11.7],0
r1,1,0.749085,0.102302,[2 2] ; [15 21],[1.7 2.3] ; [15.3 20.7],0
s2,1,0.792147,0.069444,[1 3] ; [ 7 29],[0.8 3.2] ; [ 7.2 28.8],0
p9,1,0.814514,0.05504,[1 3] ; [ 7 28],[0.82051282 3.17948718] ; [ 7.17948718 27.82051282],0
p11,1,0.818075,0.05291,[1 3] ; [11 25],[1.2 2.8] ; [10.8 25.2],0
a5,1,0.915946,0.011139,[2 2] ; [19 17],[2.1 1.9] ; [18.9 17.1],0
a6,1,0.915946,0.011139,[2 2] ; [19 17],[2.1 1.9] ; [18.9 17.1],0
v1,1,0.923233,0.009286,[1 3] ; [ 8 27],[0.92307692 3.07692308] ; [ 8.07692308 26.92307692],0
