Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,3.4e-05,17.189965,[142 110] ; [57 11],[156.7125  95.2875] ; [42.2875 25.7125],1
p9,1,0.002501,9.139951,[161  83] ; [57 10],[171.03536977  72.96463023] ; [46.96463023 20.03536977],0
p4,1,0.007356,7.183941,[ 78 173] ; [33 35],[ 87.33855799 163.66144201] ; [23.66144201 44.33855799],0
p10,1,0.00739,7.175755,[152  95] ; [53 14],[161.25796178  85.74203822] ; [43.74203822 23.25796178],0
p5,1,0.023691,5.117076,[ 11 238] ; [ 8 60],[ 14.92429022 234.07570978] ; [ 4.07570978 63.92429022],0
b1,1,0.03416,4.486696,[106 146] ; [19 49],[ 98.4375 153.5625] ; [26.5625 41.4375],0
r4,1,0.055441,3.668769,[187  65] ; [58 10],[192.9375  59.0625] ; [52.0625 15.9375],0
p1,1,0.061858,3.48686,[ 16 235] ; [ 9 59],[ 19.67084639 231.32915361] ; [ 5.32915361 62.67084639],0
v4,1,0.071281,3.253271,[211  40] ; [63  5],[215.59247649  35.40752351] ; [58.40752351  9.59247649],0
s4,1,0.077933,3.107499,[ 44 206] ; [ 6 62],[ 39.3081761 210.6918239] ; [10.6918239 57.3081761],0
p3,1,0.094532,2.795454,[ 61 191] ; [23 44],[ 66.35736677 185.64263323] ; [17.64263323 49.35736677],0
a3,1,0.098637,2.72745,[166  85] ; [37 30],[160.22955975  90.77044025] ; [42.77044025 24.22955975],0
a1,1,0.111436,2.533737,[ 16 236] ; [ 1 67],[ 13.3875 238.6125] ; [ 3.6125 64.3875],0
n3,1,0.131091,2.279532,[58 33] ; [7 9],[55.28037383 35.71962617] ; [9.71962617 6.28037383],0
a4,1,0.131645,2.272998,[108 143] ; [22 45],[102.61006289 148.38993711] ; [27.38993711 39.61006289],0
u2,1,0.141911,2.157116,[39 46] ; [19 12],[42.5 42.5] ; [15.5 15.5],0
v1,1,0.143855,2.136231,[ 94 150] ; [32 34],[ 99.17419355 144.82580645] ; [26.82580645 39.17419355],0
v2,1,0.150659,2.06557,[ 99 139] ; [34 32],[104.125 133.875] ; [28.875 37.125],0
p11,1,0.151807,2.054,[158  94] ; [49 19],[163.0125  88.9875] ; [43.9875 24.0125],0
d5,1,0.173777,1.850056,[191  61] ; [46 22],[186.6375  65.3625] ; [50.3625 17.6375],0
r3,1,0.176933,1.823197,[212  38] ; [62  6],[215.40880503  34.59119497] ; [58.59119497  9.40880503],0
n6,1,0.180219,1.795818,[183  68] ; [55 13],[187.26645768  63.73354232] ; [50.73354232 17.26645768],0
s5,1,0.206865,1.593231,[ 56 185] ; [10 53],[ 52.32236842 188.67763158] ; [13.67763158 49.32236842],0
a5,1,0.208118,1.584472,[161  91] ; [49 19],[165.375  86.625] ; [44.625 23.375],0
d2,1,0.285118,1.142532,[117 132] ; [27 41],[113.11041009 135.88958991] ; [30.88958991 37.11041009],0
v3,1,0.288919,1.124653,[ 70 167] ; [24 42],[ 73.52475248 163.47524752] ; [20.47524752 45.52475248],0
a7,1,0.296681,1.089054,[164  87] ; [49 19],[167.59561129  83.40438871] ; [45.40438871 22.59561129],0
s7,1,0.421994,0.644756,[ 75 162] ; [24 41],[ 77.69205298 159.30794702] ; [21.30794702 43.69205298],0
a8,1,0.461116,0.543184,[ 21 215] ; [ 7 51],[ 22.47619048 213.52380952] ; [ 5.52380952 52.47619048],0
r2,1,0.463555,0.537297,[220  30] ; [62  6],[221.69811321  28.30188679] ; [60.30188679  7.69811321],0
r1,1,0.467797,0.527175,[177  74] ; [51 17],[179.39811912  71.60188088] ; [48.60188088 19.39811912],0
s2,1,0.488357,0.480145,[ 94 155] ; [28 38],[ 96.43809524 152.56190476] ; [25.56190476 40.43809524],0
a2,1,0.494761,0.466155,[ 50 202] ; [11 57],[ 48.0375 203.9625] ; [12.9625 55.0375],0
b5,1,0.494784,0.466106,[156  96] ; [39 29],[153.5625  98.4375] ; [41.4375 26.5625],0
s1,1,0.504094,0.446308,[ 12 237] ; [ 2 66],[ 10.99684543 238.00315457] ; [ 3.00315457 64.99684543],0
p12,1,0.556063,0.346566,[ 16 234] ; [ 3 64],[ 14.98422713 235.01577287] ; [ 4.01577287 62.98422713],0
s8,1,0.565651,0.330014,[ 70 182] ; [21 46],[ 71.88714734 180.11285266] ; [19.11285266 47.88714734],0
n5,1,0.633465,0.227391,[162  89] ; [46 22],[163.66144201  87.33855799] ; [44.33855799 23.66144201],0
b3,1,0.635977,0.224043,[52 90] ; [12 25],[50.77094972 91.22905028] ; [13.22905028 23.77094972],0
b2,1,0.635977,0.224043,[52 90] ; [12 25],[50.77094972 91.22905028] ; [13.22905028 23.77094972],0
d3,1,0.661647,0.19153,[152 100] ; [43 25],[153.5625  98.4375] ; [41.4375 26.5625],0
n1,1,0.679492,0.170698,[36 58] ; [7 9],[36.74545455 57.25454545] ; [6.25454545 9.74545455],0
u1,1,0.708152,0.14013,[ 34 218] ; [ 8 60],[ 33.075 218.925] ; [ 8.925 59.075],0
d4,1,0.750228,0.101339,[191  60] ; [53 15],[191.98746082  59.01253918] ; [52.01253918 15.98746082],0
n4,1,0.795179,0.067388,[170  82] ; [47 21],[170.8875  81.1125] ; [46.1125 21.8875],0
d1,1,0.829585,0.046325,[126 126] ; [33 35],[125.2125 126.7875] ; [33.7875 34.2125],0
s3,1,0.834178,0.043826,[113 136] ; [29 37],[112.24761905 136.75238095] ; [29.75238095 36.24761905],0
b4,1,0.840341,0.040585,[159  93] ; [42 26],[158.2875  93.7125] ; [42.7125 25.2875],0
a6,1,0.853407,0.034141,[160  92] ; [44 24],[160.65  91.35] ; [43.35 24.65],0
n2,1,0.891638,0.018559,[63 31] ; [11  5],[63.23636364 30.76363636] ; [10.76363636  5.23636364],0
u3,1,0.89712,0.016718,[46 40] ; [17 14],[46.30769231 39.69230769] ; [16.69230769 14.30769231],0
s6,1,0.980395,0.000604,[133 117] ; [35 31],[132.91139241 117.08860759] ; [35.08860759 30.91139241],0
