Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,68.319838,[108  27] ; [22 68],[78. 57.] ; [52. 38.],1
n6,1,0.000745,11.373768,[98 36] ; [46 44],[86.14285714 47.85714286] ; [57.85714286 32.14285714],1
a5,1,0.000978,10.868885,[96 39] ; [45 46],[84.22566372 50.77433628] ; [56.77433628 34.22566372],1
a8,1,0.001368,10.248372,[ 16 101] ; [ 1 86],[  9.75 107.25] ; [ 7.25 79.75],0
n1,1,0.001615,9.942702,[25 22] ; [ 9 34],[17.75555556 29.24444444] ; [16.24444444 26.75555556],0
s7,1,0.010474,6.552404,[57 65] ; [24 59],[48.20487805 73.79512195] ; [32.79512195 50.20487805],0
a3,1,0.011644,6.364247,[95 37] ; [50 40],[86.21621622 45.78378378] ; [58.78378378 31.21621622],0
a4,1,0.013355,6.121457,[66 67] ; [30 61],[57. 76.] ; [39. 52.],0
p6,1,0.016128,5.788814,[43 89] ; [16 73],[35.239819 96.760181] ; [23.760181 65.239819],0
v3,1,0.028089,4.822607,[47 83] ; [19 67],[39.72222222 90.27777778] ; [26.27777778 59.72222222],0
s4,1,0.02896,4.769998,[ 22 112] ; [26 65],[ 28.58666667 105.41333333] ; [19.41333333 71.58666667],0
u3,1,0.032761,4.558214,[14 26] ; [23 16],[18.73417722 21.26582278] ; [18.26582278 20.73417722],0
d2,1,0.047497,3.927702,[72 61] ; [37 54],[64.71875 68.28125] ; [44.28125 46.71875],0
u1,1,0.057372,3.611767,[ 24 111] ; [ 8 83],[ 19.11504425 115.88495575] ; [12.88495575 78.11504425],0
u2,1,0.065541,3.391304,[12 27] ; [20 19],[16. 23.] ; [16. 23.],0
a2,1,0.072486,3.225817,[36 99] ; [15 76],[ 30.46460177 104.53539823] ; [20.53539823 70.46460177],0
n2,1,0.088037,2.909907,[35 13] ; [24 19],[31.12087912 16.87912088] ; [27.87912088 15.12087912],0
v4,1,0.127126,2.327259,[108  27] ; [79 11],[112.2  22.8] ; [74.8 15.2],0
p3,1,0.13704,2.210884,[52 83] ; [26 64],[46.8 88.2] ; [31.2 58.8],0
s8,1,0.143098,2.144319,[45 89] ; [22 68],[40.08035714 93.91964286] ; [26.91964286 63.08035714],0
r1,1,0.155303,2.019375,[96 38] ; [57 34],[91.12 42.88] ; [61.88 29.12],0
v2,1,0.177931,1.814823,[64 69] ; [33 52],[59.17889908 73.82110092] ; [37.82110092 47.17889908],0
p2,1,0.187125,1.740109,[86 49] ; [50 41],[81.23893805 53.76106195] ; [54.76106195 36.23893805],0
b2,1,0.235979,1.404453,[27 46] ; [11 31],[24.12173913 48.87826087] ; [13.87826087 28.12173913],0
b3,1,0.235979,1.404453,[27 46] ; [11 31],[24.12173913 48.87826087] ; [13.87826087 28.12173913],0
b5,1,0.236738,1.399916,[80 55] ; [61 30],[84.22566372 50.77433628] ; [56.77433628 34.22566372],0
b1,1,0.26176,1.259424,[77 58] ; [45 46],[72.87610619 62.12389381] ; [49.12389381 41.87610619],0
a1,1,0.266385,1.235269,[ 11 124] ; [ 4 87],[  8.96017699 126.03982301] ; [ 6.03982301 84.96017699],0
d1,1,0.289735,1.12085,[72 63] ; [42 49],[68.09734513 66.90265487] ; [45.90265487 45.09734513],0
a6,1,0.318185,0.996392,[84 50] ; [51 40],[80.4 53.6] ; [54.6 36.4],0
p7,1,0.328716,0.953949,[62 71] ; [36 54],[58.44843049 74.55156951] ; [39.55156951 50.44843049],0
s5,1,0.370752,0.801142,[38 90] ; [21 66],[35.1255814 92.8744186] ; [23.8744186 63.1255814],0
p10,1,0.394712,0.724378,[71 63] ; [41 46],[67.90950226 66.09049774] ; [44.09049774 42.90950226],0
p1,1,0.396898,0.717703,[  8 127] ; [ 8 82],[  9.6 125.4] ; [ 6.4 83.6],0
r3,1,0.402364,0.701249,[104  30] ; [74 16],[106.48214286  27.51785714] ; [71.51785714 18.48214286],0
p9,1,0.404357,0.69533,[79 53] ; [46 39],[76.03686636 55.96313364] ; [48.96313364 36.03686636],0
r2,1,0.419768,0.650963,[117  14] ; [78 13],[115.06756757  15.93243243] ; [79.93243243 11.06756757],0
r4,1,0.469499,0.523155,[98 37] ; [62 29],[95.57522124 39.42477876] ; [64.42477876 26.57522124],0
v1,1,0.472058,0.517154,[55 80] ; [32 57],[52.43303571 82.56696429] ; [34.56696429 54.43303571],0
d4,1,0.50644,0.441415,[99 35] ; [70 20],[101.09821429  32.90178571] ; [67.90178571 22.09821429],0
p12,1,0.536648,0.381787,[  3 132] ; [ 1 89],[  2.4 132.6] ; [ 1.6 88.4],0
s1,1,0.595678,0.281563,[  8 126] ; [ 7 83],[  8.97321429 125.02678571] ; [ 6.02678571 83.97321429],0
d3,1,0.595941,0.281162,[86 48] ; [54 35],[84.12556054 49.87443946] ; [55.87443946 33.12556054],0
b4,1,0.609668,0.260658,[71 64] ; [51 40],[72.87610619 62.12389381] ; [49.12389381 41.87610619],0
a7,1,0.643043,0.214784,[89 46] ; [62 28],[90.6 44.4] ; [60.4 29.6],0
s2,1,0.692944,0.155917,[61 73] ; [39 52],[59.55555556 74.44444444] ; [40.44444444 50.55555556],0
n3,1,0.699914,0.148562,[29 16] ; [26 17],[28.125 16.875] ; [26.875 16.125],0
s6,1,0.715088,0.133248,[73 59] ; [47 42],[71.67420814 60.32579186] ; [48.32579186 40.67420814],0
d5,1,0.775225,0.081537,[102  32] ; [67 23],[101.09821429  32.90178571] ; [67.90178571 22.09821429],0
p8,1,0.829388,0.046434,[39 95] ; [25 65],[38.28571429 95.71428571] ; [25.71428571 64.28571429],0
p4,1,0.875962,0.024364,[54 79] ; [36 55],[53.4375 79.5625] ; [36.5625 54.4375],0
s3,1,0.944402,0.004863,[63 69] ; [43 48],[62.74439462 69.25560538] ; [43.25560538 47.74439462],0
