Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.012851,6.189474,[ 1 15] ; [4 4],[ 3.33333333 12.66666667] ; [1.66666667 6.33333333],0
b2,1,0.012851,6.189474,[ 1 15] ; [4 4],[ 3.33333333 12.66666667] ; [1.66666667 6.33333333],0
s8,1,0.014378,5.991153,[ 4 19] ; [6 4],[ 6.96969697 16.03030303] ; [3.03030303 6.96969697],0
s5,1,0.022807,5.183152,[ 3 20] ; [5 5],[ 5.57575758 17.42424242] ; [2.42424242 7.57575758],0
d5,1,0.052821,3.749565,[10 13] ; [8 2],[12.54545455 10.45454545] ; [5.45454545 4.54545455],0
b5,1,0.06187,3.486522,[15  8] ; [3 7],[12.54545455 10.45454545] ; [5.45454545 4.54545455],0
n3,1,0.071031,3.259028,[7 1] ; [2 3],[5.53846154 2.46153846] ; [3.46153846 1.53846154],0
s6,1,0.085681,2.95371,[11 12] ; [8 2],[13.24242424  9.75757576] ; [5.75757576 4.24242424],0
a4,1,0.094245,2.800321,[ 9 14] ; [1 9],[ 6.96969697 16.03030303] ; [3.03030303 6.96969697],0
p10,1,0.094245,2.800321,[14  9] ; [9 1],[16.03030303  6.96969697] ; [6.96969697 3.03030303],0
p3,1,0.102959,2.659095,[ 9 14] ; [7 3],[11.15151515 11.84848485] ; [4.84848485 5.15151515],0
p8,1,0.10924,2.565182,[11 11] ; [8 2],[13.0625  8.9375] ; [5.9375 4.0625],0
r1,1,0.110175,2.551706,[ 7 16] ; [6 4],[ 9.06060606 13.93939394] ; [3.93939394 6.06060606],0
a5,1,0.132725,2.260334,[12 11] ; [8 2],[13.93939394  9.06060606] ; [6.06060606 3.93939394],0
p9,1,0.141815,2.158152,[15  8] ; [9 1],[16.72727273  6.27272727] ; [7.27272727 2.72727273],0
s4,1,0.163687,1.939826,[ 4 19] ; [4 6],[ 5.57575758 17.42424242] ; [2.42424242 7.57575758],0
p6,1,0.180503,1.793478,[ 6 17] ; [5 5],[ 7.66666667 15.33333333] ; [3.33333333 6.66666667],0
r3,1,0.208082,1.584717,[16  7] ; [9 1],[17.42424242  5.57575758] ; [7.57575758 2.42424242],0
a6,1,0.239731,1.382174,[11 12] ; [7 3],[12.54545455 10.45454545] ; [5.45454545 4.54545455],0
v1,1,0.268509,1.224348,[ 9 14] ; [6 4],[10.45454545 12.54545455] ; [4.54545455 5.45454545],0
v3,1,0.279044,1.171739,[ 5 18] ; [4 6],[ 6.27272727 16.72727273] ; [2.72727273 7.27272727],0
v4,1,0.284005,1.147826,[14  9] ; [8 2],[15.33333333  7.66666667] ; [6.66666667 3.33333333],0
d4,1,0.284005,1.147826,[14  9] ; [8 2],[15.33333333  7.66666667] ; [6.66666667 3.33333333],0
p4,1,0.284005,1.147826,[14  9] ; [8 2],[15.33333333  7.66666667] ; [6.66666667 3.33333333],0
n6,1,0.340987,0.906718,[12 11] ; [7 3],[13.24242424  9.75757576] ; [5.75757576 4.24242424],0
n4,1,0.340987,0.906718,[12 11] ; [7 3],[13.24242424  9.75757576] ; [5.75757576 4.24242424],0
p12,1,0.360505,0.836132,[ 2 21] ; [2 8],[ 2.78787879 20.21212121] ; [1.21212121 8.78787879],0
d1,1,0.421671,0.645652,[ 5 18] ; [1 9],[ 4.18181818 18.81818182] ; [1.81818182 8.18181818],0
p5,1,0.453508,0.56187,[ 4 18] ; [3 7],[ 4.8125 17.1875] ; [2.1875 7.8125],0
b4,1,0.466473,0.530318,[10 13] ; [3 7],[ 9.06060606 13.93939394] ; [3.93939394 6.06060606],0
d3,1,0.520171,0.413555,[12 11] ; [4 6],[11.15151515 11.84848485] ; [4.84848485 5.15151515],0
u1,1,0.531725,0.391094,[ 1 22] ; [1 9],[ 1.39393939 21.60606061] ; [0.60606061 9.39393939],0
a8,1,0.554628,0.349091,[ 4 18] ; [1 9],[ 3.4375 18.5625] ; [1.5625 8.4375],0
s3,1,0.561496,0.33712,[ 9 14] ; [5 5],[ 9.75757576 13.24242424] ; [4.24242424 5.75757576],0
n5,1,0.616311,0.251087,[14  9] ; [7 3],[14.63636364  8.36363636] ; [6.36363636 3.63636364],0
a3,1,0.678187,0.172174,[12 11] ; [6 4],[12.54545455 10.45454545] ; [5.45454545 4.54545455],0
s2,1,0.774622,0.081988,[ 8 15] ; [4 6],[ 8.36363636 14.63636364] ; [3.63636364 6.36363636],0
d2,1,0.788821,0.071739,[ 8 15] ; [3 7],[ 7.66666667 15.33333333] ; [3.33333333 6.66666667],0
a7,1,0.908575,0.013187,[11 12] ; [5 5],[11.15151515 11.84848485] ; [4.84848485 5.15151515],0
n2,1,0.928177,0.008125,[5 3] ; [3 2],[4.92307692 3.07692308] ; [3.07692308 1.92307692],0
n1,1,0.928177,0.008125,[3 5] ; [2 3],[3.07692308 4.92307692] ; [1.92307692 3.07692308],0
v2,1,0.962527,0.002207,[ 9 14] ; [4 6],[ 9.06060606 13.93939394] ; [3.93939394 6.06060606],0
r4,1,0.962527,0.002207,[ 9 14] ; [4 6],[ 9.06060606 13.93939394] ; [3.93939394 6.06060606],0
b1,1,0.962527,0.002207,[14  9] ; [6 4],[13.93939394  9.06060606] ; [6.06060606 3.93939394],0
