Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,23.447058,[28  2] ; [22 34],[17.44186047 12.55813953] ; [32.55813953 23.44186047],1
d5,1,7.5e-05,15.681958,[28  2] ; [29 28],[19.65517241 10.34482759] ; [37.34482759 19.65517241],1
a2,1,0.000151,14.355582,[11 19] ; [ 3 54],[ 4.82758621 25.17241379] ; [ 9.17241379 47.82758621],1
a6,1,0.000491,12.14867,[27  3] ; [30 27],[19.65517241 10.34482759] ; [37.34482759 19.65517241],1
d2,1,0.002189,9.38407,[16 14] ; [12 45],[ 9.65517241 20.34482759] ; [18.34482759 38.65517241],0
a5,1,0.005509,7.704288,[23  7] ; [26 31],[16.89655172 13.10344828] ; [32.10344828 24.89655172],0
a4,1,0.005537,7.695175,[15 15] ; [12 45],[ 9.31034483 20.68965517] ; [17.68965517 39.31034483],0
a3,1,0.008142,7.00208,[24  6] ; [29 28],[18.27586207 11.72413793] ; [34.72413793 22.27586207],0
n3,1,0.012649,6.217575,[5 9] ; [17  5],[8.55555556 5.44444444] ; [13.44444444  8.55555556],0
s5,1,0.03071,4.669101,[10 19] ; [ 8 48],[ 6.14117647 22.85882353] ; [11.85882353 44.14117647],0
u1,1,0.031983,4.599389,[ 5 25] ; [ 2 55],[ 2.4137931 27.5862069] ; [ 4.5862069 52.4137931],0
n2,1,0.048398,3.896104,[8 6] ; [19  3],[10.5  3.5] ; [16.5  5.5],0
u3,1,0.071944,3.238095,[5 1] ; [12 16],[3. 3.] ; [14. 14.],0
s2,1,0.074277,3.185879,[16 13] ; [20 37],[12.13953488 16.86046512] ; [23.86046512 33.13953488],0
b3,1,0.078708,3.091373,[11 12] ; [ 5 17],[ 8.17777778 14.82222222] ; [ 7.82222222 14.17777778],0
b2,1,0.078708,3.091373,[11 12] ; [ 5 17],[ 8.17777778 14.82222222] ; [ 7.82222222 14.17777778],0
r1,1,0.082252,3.019837,[23  7] ; [33 24],[19.31034483 10.68965517] ; [36.68965517 20.31034483],0
r2,1,0.082619,3.012607,[28  2] ; [45 12],[25.17241379  4.82758621] ; [47.82758621  9.17241379],0
v1,1,0.093928,2.805738,[18 12] ; [23 33],[14.30232558 15.69767442] ; [26.69767442 29.30232558],0
u2,1,0.100271,2.701224,[5 1] ; [13 15],[3.17647059 2.82352941] ; [14.82352941 13.17647059],0
b5,1,0.1162,2.467801,[22  8] ; [32 25],[18.62068966 11.37931034] ; [35.37931034 21.62068966],0
s8,1,0.118968,2.430851,[14 16] ; [17 40],[10.68965517 19.31034483] ; [20.31034483 36.68965517],0
r4,1,0.120476,2.411123,[26  4] ; [41 16],[23.10344828  6.89655172] ; [43.89655172 13.10344828],0
r3,1,0.153464,2.037473,[28  2] ; [46 10],[25.81395349  4.18604651] ; [48.18604651  7.81395349],0
s6,1,0.158141,1.991916,[20 10] ; [29 28],[16.89655172 13.10344828] ; [32.10344828 24.89655172],0
a7,1,0.205233,1.604742,[22  8] ; [34 23],[19.31034483 10.68965517] ; [36.68965517 20.31034483],0
p6,1,0.227843,1.454275,[10 20] ; [12 44],[ 7.6744186 22.3255814] ; [14.3255814 41.6744186],0
s3,1,0.255851,1.291069,[17 13] ; [25 32],[14.48275862 15.51724138] ; [27.51724138 29.48275862],0
