Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4.1e-05,16.810782,[30 18] ; [ 7 31],[20.65116279 27.34883721] ; [16.34883721 21.65116279],1
b3,1,0.00019,13.926946,[ 3 29] ; [10  7],[ 8.48979592 23.51020408] ; [ 4.51020408 12.48979592],1
b2,1,0.00019,13.926946,[ 3 29] ; [10  7],[ 8.48979592 23.51020408] ; [ 4.51020408 12.48979592],1
p8,1,0.000629,11.689477,[23 24] ; [ 5 32],[15.66666667 31.33333333] ; [12.33333333 24.66666667],1
b1,1,0.001226,10.450368,[32 16] ; [12 26],[24.55813953 23.44186047] ; [19.44186047 18.55813953],0
p6,1,0.013072,6.159316,[16 31] ; [ 4 33],[11.19047619 35.80952381] ; [ 8.80952381 28.19047619],0
r2,1,0.017065,5.689703,[37  9] ; [37  1],[40.52380952  5.47619048] ; [33.47619048  4.52380952],0
b5,1,0.045028,4.017581,[33 15] ; [18 20],[28.46511628 19.53488372] ; [22.53488372 15.46511628],0
p1,1,0.065357,3.395946,[ 2 46] ; [ 6 32],[ 4.46511628 43.53488372] ; [ 3.53488372 34.46511628],0
n1,1,0.07077,3.265079,[ 4 12] ; [10  8],[6.58823529 9.41176471] ; [ 7.41176471 10.58823529],0
v1,1,0.084368,2.978687,[15 31] ; [19 18],[18.84337349 27.15662651] ; [15.15662651 21.84337349],0
p11,1,0.109315,2.564101,[31 17] ; [18 20],[27.34883721 20.65116279] ; [21.65116279 16.34883721],0
p2,1,0.150929,2.062841,[36 12] ; [23 15],[32.93023256 15.06976744] ; [26.06976744 11.93023256],0
a2,1,0.160847,1.966248,[ 7 41] ; [ 2 36],[ 5.02325581 42.97674419] ; [ 3.97674419 34.02325581],0
n5,1,0.222384,1.48892,[24 24] ; [14 24],[21.20930233 26.79069767] ; [16.79069767 21.20930233],0
u2,1,0.255146,1.294904,[16  3] ; [8 4],[14.70967742  4.29032258] ; [9.29032258 2.70967742],0
u1,1,0.261808,1.259173,[ 4 44] ; [ 1 37],[ 2.79069767 45.20930233] ; [ 2.20930233 35.79069767],0
n2,1,0.270773,1.212829,[15  2] ; [14  5],[13.69444444  3.30555556] ; [15.30555556  3.69444444],0
s6,1,0.272818,1.202521,[34 14] ; [22 15],[31.62352941 16.37647059] ; [24.37647059 12.62352941],0
r3,1,0.273405,1.199582,[45  3] ; [33  5],[43.53488372  4.46511628] ; [34.46511628  3.53488372],0
r4,1,0.28869,1.125722,[33 15] ; [30  8],[35.1627907 12.8372093] ; [27.8372093 10.1627907],0
