Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.1e-05,19.298462,[23 27] ; [ 9 69],[12.5 37.5] ; [19.5 58.5],1
p2,1,0.000746,11.371268,[37 15] ; [32 46],[27.6 24.4] ; [41.4 36.6],1
p3,1,0.001032,10.769231,[24 28] ; [15 63],[15.6 36.4] ; [23.4 54.6],0
s3,1,0.003303,8.632308,[30 22] ; [24 52],[21.9375 30.0625] ; [32.0625 43.9375],0
p6,1,0.003534,8.508971,[17 35] ; [ 9 68],[10.48062016 41.51937984] ; [15.51937984 61.48062016],0
a4,1,0.004548,8.050929,[13 39] ; [38 38],[20.71875 31.28125] ; [30.28125 45.71875],0
p4,1,0.01762,5.633568,[23 29] ; [19 59],[16.8 35.2] ; [25.2 52.8],0
a2,1,0.032322,4.581331,[ 4 48] ; [17 61],[ 8.4 43.6] ; [12.6 65.4],0
b5,1,0.058164,3.58899,[36 16] ; [41 37],[30.8 21.2] ; [46.2 31.8],0
r3,1,0.060943,3.51154,[43  9] ; [53 25],[38.4 13.6] ; [57.6 20.4],0
p11,1,0.070008,3.282828,[27 25] ; [28 50],[22. 30.] ; [33. 45.],0
a3,1,0.072665,3.221766,[24 27] ; [48 28],[28.91338583 22.08661417] ; [43.08661417 32.91338583],0
n2,1,0.079863,3.067695,[13  5] ; [19 21],[9.93103448 8.06896552] ; [22.06896552 17.93103448],0
p5,1,0.084333,2.979355,[ 6 45] ; [ 3 75],[ 3.55813953 47.44186047] ; [ 5.44186047 72.55813953],0
v4,1,0.089192,2.888889,[44  8] ; [56 22],[40. 12.] ; [60. 18.],0
r4,1,0.090029,2.873847,[40 12] ; [49 29],[35.6 16.4] ; [53.4 24.6],0
a6,1,0.091089,2.855022,[23 28] ; [47 31],[27.6744186 23.3255814] ; [42.3255814 35.6744186],0
n3,1,0.103006,2.658373,[12  6] ; [16 21],[9.16363636 8.83636364] ; [18.83636364 18.16363636],0
d1,1,0.119216,2.427591,[15 37] ; [33 45],[19.2 32.8] ; [28.8 49.2],0
a1,1,0.122623,2.383499,[ 2 50] ; [ 9 69],[ 4.4 47.6] ; [ 6.6 71.4],0
n4,1,0.158633,1.987212,[29 23] ; [53 25],[32.8 19.2] ; [49.2 28.8],0
b2,1,0.168201,1.898902,[ 7 24] ; [20 34],[ 9.84705882 21.15294118] ; [17.15294118 36.84705882],0
b3,1,0.168201,1.898902,[ 7 24] ; [20 34],[ 9.84705882 21.15294118] ; [17.15294118 36.84705882],0
p1,1,0.18189,1.78211,[ 2 49] ; [ 8 69],[ 3.984375 47.015625] ; [ 6.015625 70.984375],0
s2,1,0.243115,1.36244,[17 35] ; [18 59],[14.10852713 37.89147287] ; [20.89147287 56.10852713],0
d5,1,0.260028,1.268609,[29 22] ; [52 26],[32.02325581 18.97674419] ; [48.97674419 29.02325581],0
u1,1,0.262402,1.256039,[ 4 48] ; [11 67],[ 6. 46.] ; [ 9. 69.],0
d3,1,0.26516,1.241613,[23 28] ; [43 35],[26.09302326 24.90697674] ; [39.90697674 38.09302326],0
u2,1,0.30832,1.037859,[13 15] ; [10 20],[11.10344828 16.89655172] ; [11.89655172 18.10344828],0
b4,1,0.31325,1.016922,[26 26] ; [46 32],[28.8 23.2] ; [43.2 34.8],0
s6,1,0.32152,0.982755,[23 27] ; [29 49],[20.3125 29.6875] ; [31.6875 46.3125],0
p9,1,0.362196,0.830266,[18 31] ; [22 54],[15.68 33.32] ; [24.32 51.68],0
a5,1,0.388125,0.744808,[26 26] ; [45 33],[28.4 23.6] ; [42.6 35.4],0
u3,1,0.424962,0.636553,[16 12] ; [14 16],[14.48275862 13.51724138] ; [15.51724138 14.48275862],0
s5,1,0.506576,0.441133,[ 9 42] ; [10 65],[ 7.69047619 43.30952381] ; [11.30952381 63.69047619],0
v3,1,0.561193,0.337643,[ 8 43] ; [15 61],[ 9.23622047 41.76377953] ; [13.76377953 62.23622047],0
s4,1,0.584106,0.299643,[ 8 43] ; [15 62],[ 9.1640625 41.8359375] ; [13.8359375 63.1640625],0
d2,1,0.584989,0.298238,[22 29] ; [37 40],[23.5078125 27.4921875] ; [35.4921875 41.5078125],0
n1,1,0.611935,0.257366,[ 6 11] ; [17 23],[ 6.85964912 10.14035088] ; [16.14035088 23.85964912],0
n5,1,0.661003,0.192308,[30 22] ; [48 30],[31.2 20.8] ; [46.8 31.2],0
n6,1,0.668452,0.183418,[32 19] ; [46 32],[30.8372093 20.1627907] ; [47.1627907 30.8372093],0
s7,1,0.698187,0.150365,[12 38] ; [19 51],[12.91666667 37.08333333] ; [18.08333333 51.91666667],0
v1,1,0.75379,0.098374,[13 38] ; [18 60],[12.25581395 38.74418605] ; [18.74418605 59.25581395],0
s8,1,0.775555,0.081291,[ 8 42] ; [14 64],[ 8.59375 41.40625] ; [13.40625 64.59375],0
p12,1,0.778281,0.079276,[ 1 51] ; [ 1 76],[ 0.80620155 51.19379845] ; [ 1.19379845 75.80620155],0
a8,1,0.787382,0.072744,[ 5 43] ; [ 9 66],[ 5.46341463 42.53658537] ; [ 8.53658537 66.46341463],0
r1,1,0.815783,0.054276,[31 20] ; [49 29],[31.62790698 19.37209302] ; [48.37209302 29.62790698],0
r2,1,0.908229,0.013288,[42 10] ; [62 14],[42.25  9.75] ; [61.75 14.25],0
s1,1,0.933477,0.006967,[ 5 46] ; [ 8 70],[ 5.13953488 45.86046512] ; [ 7.86046512 70.13953488],0
d4,1,0.936967,0.006254,[33 18] ; [51 27],[33.20930233 17.79069767] ; [50.79069767 27.20930233],0
a7,1,0.942578,0.005188,[29 23] ; [43 35],[28.8 23.2] ; [43.2 34.8],0
