Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,46.77362,[173 138] ; [134  19],[205.76939655 105.23060345] ; [101.23060345  51.76939655],1
s2,1,0.0,40.524278,[130 181] ; [112  41],[162.20258621 148.79741379] ; [79.79741379 73.20258621],1
s3,1,0.0,28.399847,[143 166] ; [109  41],[169.64705882 139.35294118] ; [82.35294118 67.64705882],1
s7,1,1e-06,23.368421,[120 176] ; [96 52],[144. 152.] ; [72. 76.],1
s8,1,2e-06,22.383439,[120 192] ; [95 59],[143.94849785 168.05150215] ; [71.05150215 82.94849785],1
s4,1,9e-06,19.751738,[ 35 276] ; [ 42 110],[ 51.72138229 259.27861771] ; [ 25.27861771 126.72138229],1
p3,1,0.000819,11.19875,[133 177] ; [92 63],[150. 160.] ; [75. 80.],1
p10,1,0.001032,10.769602,[233  76] ; [137  18],[246.40086207  62.59913793] ; [123.59913793  31.40086207],0
a5,1,0.001817,9.725602,[249  64] ; [141  14],[260.83333333  52.16666667] ; [129.16666667  25.83333333],0
p6,1,0.001884,9.659509,[ 97 210] ; [71 82],[112.12173913 194.87826087] ; [55.87826087 97.12173913],0
n1,1,0.003555,8.498081,[20 57] ; [19 16],[26.8125 50.1875] ; [12.1875 22.8125],0
p7,1,0.005029,7.869117,[178 130] ; [107  43],[191.65938865 116.34061135] ; [93.34061135 56.65938865],0
p4,1,0.010188,6.601659,[175 135] ; [106  48],[187.73706897 122.26293103] ; [93.26293103 60.73706897],0
a3,1,0.012075,6.29981,[236  76] ; [132  22],[246.38626609  65.61373391] ; [121.61373391  32.38626609],0
a7,1,0.014442,5.98331,[253  60] ; [109  45],[242.62526767  70.37473233] ; [119.37473233  34.62526767],0
a4,1,0.014923,5.925557,[170 141] ; [103  52],[182.19527897 128.80472103] ; [90.80472103 64.19527897],0
p9,1,0.014935,5.924084,[245  62] ; [136  17],[254.27608696  52.72391304] ; [126.72391304  26.27608696],0
v1,1,0.01729,5.666667,[150 156] ; [93 60],[162. 144.] ; [81. 72.],0
a2,1,0.033925,4.498467,[102 211] ; [66 89],[112.35897436 200.64102564] ; [55.64102564 99.35897436],0
u1,1,0.046835,3.95132,[ 74 239] ; [ 50 105],[ 82.93162393 230.06837607] ; [ 41.06837607 113.93162393],0
p1,1,0.060201,3.531825,[ 16 296] ; [ 15 139],[ 20.75536481 291.24463519] ; [ 10.24463519 143.75536481],0
b2,1,0.060458,3.524784,[ 62 124] ; [45 56],[ 69.34494774 116.65505226] ; [37.65505226 63.34494774],0
b3,1,0.060458,3.524784,[ 62 124] ; [45 56],[ 69.34494774 116.65505226] ; [37.65505226 63.34494774],0
n2,1,0.073152,3.210831,[46 31] ; [27  8],[50.1875 26.8125] ; [22.8125 12.1875],0
p12,1,0.073274,3.208109,[ 15 296] ; [ 14 140],[ 19.39569892 291.60430108] ; [  9.60430108 144.39569892],0
n6,1,0.074086,3.190079,[258  55] ; [135  17],[264.53548387  48.46451613] ; [128.46451613  23.53548387],0
p2,1,0.094116,2.802522,[247  64] ; [133  22],[253.60515021  57.39484979] ; [126.39484979  28.60515021],0
r4,1,0.135672,2.226378,[277  36] ; [144  11],[281.56623932  31.43376068] ; [139.43376068  15.56623932],0
n5,1,0.147625,2.096622,[223  89] ; [119  34],[229.47096774  82.52903226] ; [112.52903226  40.47096774],0
a6,1,0.176829,1.824074,[237  75] ; [108  46],[230.98712446  81.01287554] ; [114.01287554  39.98712446],0
d2,1,0.197064,1.663997,[218  93] ; [116  37],[223.86637931  87.13362069] ; [110.13362069  42.86637931],0
u4,1,0.219887,1.505108,[ 10 303] ; [  2 153],[  8.02564103 304.97435897] ; [  3.97435897 151.02564103],0
r1,1,0.240707,1.376451,[258  54] ; [133  20],[262.3483871  49.6516129] ; [128.6516129  24.3483871],0
p8,1,0.244614,1.353804,[151 156] ; [83 68],[156.85152838 150.14847162] ; [77.14847162 73.85152838],0
a8,1,0.247555,1.337051,[ 39 238] ; [ 14 125],[ 35.29086538 241.70913462] ; [ 17.70913462 121.29086538],0
n3,1,0.280803,1.163197,[51 26] ; [26  8],[53.41441441 23.58558559] ; [23.58558559 10.41441441],0
u2,1,0.29832,1.081689,[48 29] ; [11 11],[45.88888889 31.11111111] ; [13.11111111  8.88888889],0
s1,1,0.302231,1.064322,[  7 303] ; [  6 146],[  8.72294372 301.27705628] ; [  4.27705628 147.72294372],0
b5,1,0.338613,0.915676,[202 111] ; [93 62],[197.29700855 115.70299145] ; [97.70299145 57.29700855],0
d4,1,0.392426,0.73141,[306   5] ; [152   1],[306.97844828   4.02155172] ; [151.02155172   1.97844828],0
u3,1,0.394309,0.725612,[46 31] ; [16  7],[47.74 29.26] ; [14.26  8.74],0
d3,1,0.513712,0.426499,[280  32] ; [136  19],[277.92719486  34.07280514] ; [138.07280514  16.92719486],0
a1,1,0.520004,0.413886,[ 14 299] ; [  5 150],[ 12.70726496 300.29273504] ; [  6.29273504 148.70726496],0
p11,1,0.549052,0.359019,[244  69] ; [117  38],[241.43803419  71.56196581] ; [119.56196581  35.43803419],0
b4,1,0.552345,0.353133,[189 124] ; [98 57],[191.9465812 121.0534188] ; [95.0534188 59.9465812],0
n4,1,0.573311,0.317174,[247  66] ; [118  36],[244.6359743  68.3640257] ; [120.3640257  33.6359743],0
v4,1,0.581293,0.304149,[294  18] ; [147   7],[295.26180258  16.73819742] ; [145.73819742   8.26180258],0
r3,1,0.782749,0.076031,[299  14] ; [147   6],[299.56652361  13.43347639] ; [146.43347639   6.56652361],0
b1,1,0.833138,0.044385,[114 199] ; [58 97],[115.03418803 197.96581197] ; [56.96581197 98.03418803],0
d5,1,0.835939,0.042887,[305   7] ; [151   3],[305.30472103   6.69527897] ; [150.69527897   3.30472103],0
v2,1,0.849333,0.036088,[184 118] ; [90 60],[183.07079646 118.92920354] ; [90.92920354 59.07079646],0
v3,1,0.99817,5e-06,[120 175] ; [61 89],[119.98876404 175.01123596] ; [61.01123596 88.98876404],0
