Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,6.8e-05,15.868421,[26  3] ; [11 17],[18.8245614 10.1754386] ; [18.1754386  9.8245614],1
d3,1,0.001891,9.652094,[18 11] ; [ 6 22],[12.21052632 16.78947368] ; [11.78947368 16.21052632],0
a7,1,0.002138,9.427045,[19 10] ; [ 7 21],[13.22807018 15.77192982] ; [12.77192982 15.22807018],0
v2,1,0.003557,8.49702,[15 14] ; [ 4 23],[ 9.83928571 19.16071429] ; [ 9.16071429 17.83928571],0
a6,1,0.004809,7.949903,[18 11] ; [ 7 21],[12.71929825 16.28070175] ; [12.28070175 15.71929825],0
u2,1,0.014372,5.991873,[10  5] ; [ 3 11],[6.72413793 8.27586207] ; [6.27586207 7.72413793],0
s6,1,0.033733,4.508168,[14 15] ; [ 6 22],[10.1754386 18.8245614] ; [ 9.8245614 18.1754386],0
u3,1,0.038807,4.269295,[6 9] ; [ 1 13],[ 3.62068966 11.37931034] ; [ 3.37931034 10.62068966],0
a5,1,0.04662,3.959044,[18 11] ; [10 18],[14.24561404 14.75438596] ; [13.75438596 14.24561404],0
v3,1,0.078556,3.09452,[ 7 22] ; [ 2 26],[ 4.57894737 24.42105263] ; [ 4.42105263 23.57894737],0
v4,1,0.083357,2.998194,[17 12] ; [10 18],[13.73684211 15.26315789] ; [13.26315789 14.73684211],0
p3,1,0.131355,2.276423,[10 18] ; [ 5 23],[ 7.5 20.5] ; [ 7.5 20.5],0
p4,1,0.134418,2.240722,[15 14] ; [ 9 19],[12.21052632 16.78947368] ; [11.78947368 16.21052632],0
p6,1,0.140358,2.174026,[ 6 22] ; [ 2 25],[ 4.07272727 23.92727273] ; [ 3.92727273 23.07272727],0
s1,1,0.148189,2.090792,[ 1 28] ; [ 4 24],[ 2.54385965 26.45614035] ; [ 2.45614035 25.54385965],0
d2,1,0.15415,2.0307,[10 19] ; [ 5 23],[ 7.63157895 21.36842105] ; [ 7.36842105 20.63157895],0
s7,1,0.155619,2.016285,[ 9 16] ; [ 5 22],[ 6.73076923 18.26923077] ; [ 7.26923077 19.73076923],0
a2,1,0.17263,1.859952,[ 4 25] ; [ 1 27],[ 2.54385965 26.45614035] ; [ 2.45614035 25.54385965],0
v1,1,0.189715,1.719828,[12 17] ; [ 7 21],[ 9.66666667 19.33333333] ; [ 9.33333333 18.66666667],0
a4,1,0.272855,1.202338,[10 19] ; [ 6 22],[ 8.14035088 20.85964912] ; [ 7.85964912 20.14035088],0
p12,1,0.316916,1.001632,[ 3 26] ; [ 1 27],[ 2.03508772 26.96491228] ; [ 1.96491228 26.03508772],0
p11,1,0.356727,0.849384,[17 12] ; [13 15],[15.26315789 13.73684211] ; [14.73684211 13.26315789],0
b4,1,0.358621,0.842716,[18 11] ; [14 14],[16.28070175 12.71929825] ; [15.71929825 12.28070175],0
n4,1,0.358621,0.842716,[18 11] ; [14 14],[16.28070175 12.71929825] ; [15.71929825 12.28070175],0
s5,1,0.413423,0.668937,[ 4 25] ; [ 2 26],[ 3.05263158 25.94736842] ; [ 2.94736842 25.05263158],0
n6,1,0.440109,0.595998,[18 11] ; [14 13],[16.57142857 12.42857143] ; [15.42857143 11.57142857],0
r3,1,0.440109,0.595998,[18 11] ; [14 13],[16.57142857 12.42857143] ; [15.42857143 11.57142857],0
b2,1,0.442068,0.590909,[ 7 14] ; [ 4 14],[ 5.92307692 15.07692308] ; [ 5.07692308 12.92307692],0
b3,1,0.442068,0.590909,[ 7 14] ; [ 4 14],[ 5.92307692 15.07692308] ; [ 5.07692308 12.92307692],0
n1,1,0.48338,0.491228,[3 9] ; [ 6 10],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
s3,1,0.496346,0.46274,[ 9 18] ; [ 7 21],[ 7.85454545 19.14545455] ; [ 8.14545455 19.85454545],0
b5,1,0.50916,0.435792,[16 13] ; [13 15],[14.75438596 14.24561404] ; [14.24561404 13.75438596],0
p7,1,0.516166,0.421547,[10 19] ; [12 16],[11.19298246 17.80701754] ; [10.80701754 17.19298246],0
a8,1,0.607005,0.26456,[ 2 25] ; [ 3 23],[ 2.54716981 24.45283019] ; [ 2.45283019 23.54716981],0
p1,1,0.610492,0.259459,[ 2 27] ; [ 3 25],[ 2.54385965 26.45614035] ; [ 2.45614035 25.54385965],0
a1,1,0.610492,0.259459,[ 2 27] ; [ 3 25],[ 2.54385965 26.45614035] ; [ 2.45614035 25.54385965],0
r1,1,0.61224,0.256925,[ 9 20] ; [ 7 21],[ 8.14035088 20.85964912] ; [ 7.85964912 20.14035088],0
n5,1,0.66051,0.192905,[17 12] ; [18 10],[17.80701754 11.19298246] ; [17.19298246 10.80701754],0
s4,1,0.688815,0.160371,[ 5 24] ; [ 6 22],[ 5.59649123 23.40350877] ; [ 5.40350877 22.59649123],0
p10,1,0.693612,0.155203,[12 16] ; [13 14],[12.72727273 15.27272727] ; [12.27272727 14.72727273],0
p2,1,0.704703,0.143626,[18 11] ; [16 12],[17.29824561 11.70175439] ; [16.70175439 11.29824561],0
s2,1,0.762838,0.091057,[ 8 20] ; [ 7 21],[ 7.5 20.5] ; [ 7.5 20.5],0
a3,1,0.789137,0.07152,[14 15] ; [14 13],[14.5 14.5] ; [13.5 13.5],0
n2,1,0.823218,0.049911,[7 5] ; [10  6],[7.28571429 4.71428571] ; [9.71428571 6.28571429],0
p8,1,0.865688,0.028608,[ 8 21] ; [ 8 19],[ 8.28571429 20.71428571] ; [ 7.71428571 19.28571429],0
n3,1,0.912219,0.012153,[7 5] ; [9 7],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
b1,1,0.916353,0.011031,[18 11] ; [17 11],[17.80701754 11.19298246] ; [17.19298246 10.80701754],0
s8,1,0.94546,0.00468,[ 6 23] ; [ 6 22],[ 6.10526316 22.89473684] ; [ 5.89473684 22.10526316],0
p9,1,1.0,0.0,[14 13] ; [14 13],[14. 13.] ; [14. 13.],0
