Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,4.6e-05,16.593812,[219  84] ; [73 66],[200.1719457 102.8280543] ; [91.8280543 47.1719457],1
p5,1,0.000245,13.448826,[ 64 239] ; [ 10 130],[ 50.61399549 252.38600451] ; [ 23.38600451 116.61399549],1
p12,1,0.001352,10.269745,[ 41 263] ; [  5 136],[ 31.4247191 272.5752809] ; [ 14.5752809 126.4247191],0
p10,1,0.002929,8.851284,[274  30] ; [111  28],[264.1986456  39.8013544] ; [120.8013544  18.1986456],0
p9,1,0.003896,8.331701,[278  26] ; [114  25],[269.00225734  34.99774266] ; [122.99774266  16.00225734],0
n4,1,0.008552,6.914172,[264  41] ; [108  33],[254.39461883  50.60538117] ; [117.60538117  23.39461883],0
p6,1,0.01368,6.078925,[162 140] ; [57 82],[149.97278912 152.02721088] ; [69.02721088 69.97278912],0
u1,1,0.019097,5.492567,[ 83 222] ; [ 24 117],[ 73.17264574 231.82735426] ; [ 33.82735426 107.17264574],0
p7,1,0.022389,5.215326,[235  67] ; [94 45],[225.3015873  76.6984127] ; [103.6984127  35.3015873],0
a3,1,0.038228,4.294855,[235  69] ; [96 45],[226.12134831  77.87865169] ; [104.87865169  36.12134831],0
v3,1,0.048322,3.898749,[142 150] ; [51 82],[132.60235294 159.39764706] ; [60.39764706 72.60235294],0
b1,1,0.057733,3.601346,[126 179] ; [45 96],[116.93946188 188.06053812] ; [54.06053812 86.93946188],0
s7,1,0.07648,3.138167,[171 113] ; [70 67],[162.57482185 121.42517815] ; [78.42517815 58.57482185],0
s5,1,0.079159,3.082076,[123 170] ; [45 91],[114.74125874 178.25874126] ; [53.25874126 82.74125874],0
p11,1,0.089155,2.889564,[258  47] ; [110  31],[251.65919283  53.34080717] ; [116.34080717  24.65919283],0
n6,1,0.095723,2.775396,[273  31] ; [118  22],[267.71171171  36.28828829] ; [123.28828829  16.71171171],0
n5,1,0.135887,2.223932,[253  51] ; [109  32],[247.2988764  56.7011236] ; [114.7011236  26.2988764],0
b5,1,0.145545,2.118336,[168 137] ; [88 53],[175.06726457 129.93273543] ; [80.93273543 60.06726457],0
u4,1,0.156522,2.007514,[ 12 293] ; [  2 139],[  9.57399103 295.42600897] ; [  4.42600897 136.57399103],0
v2,1,0.161635,1.958861,[186 108] ; [77 60],[179.40139211 114.59860789] ; [83.59860789 53.40139211],0
s8,1,0.181221,1.787585,[163 139] ; [66 74],[156.46606335 145.53393665] ; [72.53393665 67.46606335],0
s1,1,0.191363,1.707096,[  8 295] ; [  7 131],[ 10.30612245 292.69387755] ; [  4.69387755 133.30612245],0
p1,1,0.207056,1.591891,[ 38 264] ; [ 12 129],[ 34.08577878 267.91422122] ; [ 15.91422122 125.08577878],0
d2,1,0.215799,1.532088,[176 129] ; [72 68],[169.97752809 135.02247191] ; [78.02247191 61.97752809],0
r4,1,0.252521,1.309302,[298   7] ; [135   6],[296.10986547   8.89013453] ; [136.89013453   4.10986547],0
a1,1,0.253037,1.306459,[ 16 289] ; [  4 137],[ 13.67713004 291.32286996] ; [  6.32286996 134.67713004],0
d1,1,0.293234,1.104713,[210  95] ; [90 51],[205.15695067  99.84304933] ; [94.84304933 46.15695067],0
a6,1,0.303019,1.060859,[218  87] ; [94 47],[213.3632287  91.6367713] ; [98.6367713 42.3632287],0
b3,1,0.313352,1.016496,[ 81 116] ; [31 58],[ 77.14685315 119.85314685] ; [34.85314685 54.14685315],0
b2,1,0.313352,1.016496,[ 81 116] ; [31 58],[ 77.14685315 119.85314685] ; [34.85314685 54.14685315],0
d3,1,0.313957,1.013958,[229  76] ; [112  29],[233.19506726  71.80493274] ; [107.80493274  33.19506726],0
a2,1,0.323592,0.974374,[ 94 211] ; [ 37 104],[ 89.58520179 215.41479821] ; [41.41479821 99.58520179],0
n3,1,0.328854,0.953405,[35 10] ; [21 10],[33.15789474 11.84210526] ; [22.84210526  8.15789474],0
s6,1,0.3435,0.897325,[229  69] ; [101  38],[225.03432494  72.96567506] ; [104.96567506  34.03432494],0
