Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000243,13.467767,[ 2 11] ; [24  8],[7.51111111 5.48888889] ; [18.48888889 13.51111111],1
n5,1,0.005541,7.693924,[4 9] ; [24  8],[8.08888889 4.91111111] ; [19.91111111 12.08888889],0
v1,1,0.012402,6.252404,[ 2 11] ; [18 14],[5.77777778 7.22222222] ; [14.22222222 17.77777778],0
p6,1,0.065976,3.380409,[ 3 10] ; [17 15],[5.77777778 7.22222222] ; [14.22222222 17.77777778],0
s7,1,0.067915,3.332701,[ 1 10] ; [12 19],[3.4047619 7.5952381] ; [ 9.5952381 21.4047619],0
s6,1,0.071494,3.248372,[5 8] ; [21 10],[7.68181818 5.31818182] ; [18.31818182 12.68181818],0
p3,1,0.081872,3.02735,[4 9] ; [19 13],[6.64444444 6.35555556] ; [16.35555556 15.64444444],0
p9,1,0.103382,2.652581,[7 6] ; [25  7],[9.24444444 3.75555556] ; [22.75555556  9.24444444],0
v4,1,0.103534,2.65024,[10  3] ; [30  2],[11.55555556  1.44444444] ; [28.44444444  3.55555556],0
s8,1,0.146375,2.109624,[ 2 11] ; [12 20],[4.04444444 8.95555556] ; [ 9.95555556 22.04444444],0
p11,1,0.156469,2.00802,[6 7] ; [22 10],[8.08888889 4.91111111] ; [19.91111111 12.08888889],0
u2,1,0.163187,1.944444,[4 2] ; [ 5 10],[2.57142857 3.42857143] ; [6.42857143 8.57142857],0
p4,1,0.234929,1.410765,[5 8] ; [18 13],[6.79545455 6.20454545] ; [16.20454545 14.79545455],0
p5,1,0.353598,0.860505,[ 1 12] ; [ 6 26],[ 2.02222222 10.97777778] ; [ 4.97777778 27.02222222],0
p10,1,0.366511,0.815459,[8 5] ; [24  8],[9.24444444 3.75555556] ; [22.75555556  9.24444444],0
r4,1,0.379394,0.772665,[9 4] ; [26  6],[10.11111111  2.88888889] ; [24.88888889  7.11111111],0
v2,1,0.382519,0.762589,[6 6] ; [20 11],[7.25581395 4.74418605] ; [18.74418605 12.25581395],0
n1,1,0.386916,0.748611,[1 2] ; [5 3],[1.63636364 1.36363636] ; [4.36363636 3.63636364],0
v3,1,0.460106,0.545638,[6 7] ; [11 21],[4.91111111 8.08888889] ; [12.08888889 19.91111111],0
a6,1,0.460106,0.545638,[7 6] ; [21 11],[8.08888889 4.91111111] ; [19.91111111 12.08888889],0
a2,1,0.478001,0.503421,[ 1 12] ; [ 5 27],[ 1.73333333 11.26666667] ; [ 4.26666667 27.73333333],0
d3,1,0.481924,0.494505,[8 5] ; [16 16],[6.93333333 6.06666667] ; [17.06666667 14.93333333],0
a7,1,0.536527,0.382015,[9 4] ; [19 13],[8.08888889 4.91111111] ; [19.91111111 12.08888889],0
b4,1,0.53835,0.378606,[6 7] ; [18 14],[6.93333333 6.06666667] ; [17.06666667 14.93333333],0
s2,1,0.546328,0.363937,[5 8] ; [15 16],[5.90909091 7.09090909] ; [14.09090909 16.90909091],0
r3,1,0.553436,0.351197,[10  3] ; [27  5],[10.68888889  2.31111111] ; [26.31111111  5.68888889],0
s1,1,0.560962,0.338041,[ 2 11] ; [ 3 29],[ 1.44444444 11.55555556] ; [ 3.55555556 28.44444444],0
r2,1,0.586282,0.296189,[11  2] ; [28  3],[11.52272727  1.47727273] ; [27.47727273  3.52272727],0
d1,1,0.606689,0.265024,[5 8] ; [15 17],[5.77777778 7.22222222] ; [14.22222222 17.77777778],0
a4,1,0.617387,0.249557,[4 9] ; [12 19],[4.72727273 8.27272727] ; [11.27272727 19.72727273],0
p1,1,0.641838,0.216346,[ 1 12] ; [ 4 28],[ 1.44444444 11.55555556] ; [ 3.55555556 28.44444444],0
a5,1,0.641838,0.216346,[8 5] ; [22 10],[8.66666667 4.33333333] ; [21.33333333 10.66666667],0
d4,1,0.668999,0.182775,[9 4] ; [20 12],[8.37777778 4.62222222] ; [20.62222222 11.37777778],0
p7,1,0.706749,0.141546,[7 5] ; [20 11],[7.53488372 4.46511628] ; [19.46511628 11.53488372],0
s3,1,0.709406,0.138871,[4 9] ; [11 19],[4.53488372 8.46511628] ; [10.46511628 19.53488372],0
d5,1,0.744764,0.105983,[8 5] ; [18 14],[7.51111111 5.48888889] ; [18.48888889 13.51111111],0
a8,1,0.786601,0.073293,[ 1 12] ; [ 3 26],[ 1.23809524 11.76190476] ; [ 2.76190476 26.23809524],0
b5,1,0.815032,0.054728,[7 6] ; [16 16],[6.64444444 6.35555556] ; [16.35555556 15.64444444],0
r1,1,0.816099,0.054087,[9 4] ; [21 11],[8.66666667 4.33333333] ; [21.33333333 10.66666667],0
d2,1,0.816099,0.054087,[4 9] ; [11 21],[4.33333333 8.66666667] ; [10.66666667 21.33333333],0
u1,1,0.857327,0.03232,[ 1 12] ; [ 3 29],[ 1.15555556 11.84444444] ; [ 2.84444444 29.15555556],0
u3,1,0.890106,0.019091,[3 3] ; [8 7],[3.14285714 2.85714286] ; [7.85714286 7.14285714],0
a3,1,0.951895,0.003639,[7 6] ; [17 14],[7.09090909 5.90909091] ; [16.90909091 14.09090909],0
b1,1,0.951917,0.003636,[5 8] ; [12 20],[4.91111111 8.08888889] ; [12.08888889 19.91111111],0
b2,1,0.968346,0.001575,[2 5] ; [ 5 13],[1.96 5.04] ; [ 5.04 12.96],0
b3,1,0.968346,0.001575,[2 5] ; [ 5 13],[1.96 5.04] ; [ 5.04 12.96],0
