Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,127.10578,[38 67] ; [340  45],[81. 24.] ; [297.  88.],1
n6,1,0.0,48.324699,[64 40] ; [345  39],[87.16393443 16.83606557] ; [321.83606557  62.16393443],1
s7,1,1e-06,23.528238,[45 56] ; [263 110],[65.62869198 35.37130802] ; [242.37130802 130.62869198],1
p11,1,8e-06,19.861537,[67 39] ; [321  65],[83.59349593 22.40650407] ; [304.40650407  81.59349593],1
a5,1,9.2e-05,15.296549,[61 45] ; [296  90],[76.91463415 29.08536585] ; [280.08536585 105.91463415],1
p3,1,0.000558,11.910815,[39 66] ; [215 168],[54.65163934 50.34836066] ; [199.34836066 183.65163934],1
s4,1,0.000574,11.857224,[37 69] ; [ 73 309],[23.89344262 82.10655738] ; [ 86.10655738 295.89344262],1
p6,1,0.000585,11.821766,[25 78] ; [163 217],[40.09109731 62.90890269] ; [147.90890269 232.09109731],1
a3,1,0.000666,11.583176,[63 42] ; [295  90],[76.71428571 28.28571429] ; [281.28571429 103.71428571],1
a8,1,0.001011,10.807288,[ 4 96] ; [ 61 299],[14.13043478 85.86956522] ; [ 50.86956522 309.13043478],0
p5,1,0.001909,9.634657,[  4 101] ; [ 58 323],[13.39506173 91.60493827] ; [ 48.60493827 332.39506173],0
p4,1,0.002736,8.975409,[52 53] ; [251 132],[65.19467213 39.80532787] ; [237.80532787 145.19467213],0
u1,1,0.003638,8.456142,[10 96] ; [ 85 301],[20.46747967 85.53252033] ; [ 74.53252033 311.46747967],0
v3,1,0.006446,7.421178,[29 71] ; [164 208],[40.88983051 59.11016949] ; [152.11016949 219.88983051],0
r1,1,0.00684,7.314574,[78 27] ; [329  56],[87.21428571 17.78571429] ; [319.78571429  65.21428571],0
p2,1,0.007491,7.151325,[81 25] ; [334  50],[89.7755102 16.2244898] ; [325.2244898  58.7755102],0
a4,1,0.008577,6.908946,[36 70] ; [186 199],[47.92668024 58.07331976] ; [174.07331976 210.92668024],0
d1,1,0.010332,6.576683,[53 53] ; [246 140],[64.41869919 41.58130081] ; [234.58130081 151.41869919],0
r4,1,0.014149,6.019472,[93 13] ; [365  21],[98.67479675  7.32520325] ; [359.32520325  26.67479675],0
d5,1,0.019698,5.438503,[77 29] ; [317  66],[85.40695297 20.59304703] ; [308.59304703  74.40695297],0
p8,1,0.021572,5.279968,[45 60] ; [212 170],[55.41067762 49.58932238] ; [201.58932238 180.41067762],0
p10,1,0.023897,5.102077,[78 25] ; [326  57],[85.62139918 17.37860082] ; [318.37860082  64.62139918],0
n1,1,0.027209,4.877524,[11 28] ; [35 35],[16.4587156 22.5412844] ; [29.5412844 40.4587156],0
s8,1,0.028043,4.825423,[52 54] ; [234 150],[61.86938776 44.13061224] ; [224.13061224 159.86938776],0
a2,1,0.031354,4.633493,[18 88] ; [105 281],[26.5 79.5] ; [ 96.5 289.5],0
p12,1,0.036465,4.375224,[  5 100] ; [ 45 338],[10.75819672 94.24180328] ; [ 39.24180328 343.75819672],0
b1,1,0.038744,4.272045,[33 73] ; [163 223],[42.22764228 63.77235772] ; [153.77235772 232.22764228],0
p9,1,0.055024,3.681363,[82 20] ; [337  47],[87.9382716 14.0617284] ; [331.0617284  52.9382716],0
d2,1,0.05769,3.602582,[45 61] ; [203 181],[53.64897959 52.35102041] ; [194.35102041 189.64897959],0
p7,1,0.118975,2.430769,[59 39] ; [257 118],[65.47145877 32.52854123] ; [250.52854123 124.47145877],0
r2,1,0.137902,2.201216,[101   5] ; [374   8],[103.17622951   2.82377049] ; [371.82377049  10.17622951],0
v1,1,0.179627,1.80071,[50 51] ; [212 160],[55.94503171 45.05496829] ; [206.05496829 165.94503171],0
s6,1,0.291997,1.110393,[85 20] ; [322  56],[88.47826087 16.52173913] ; [318.52173913  59.47826087],0
n2,1,0.304138,1.05596,[30 10] ; [59 12],[32.07207207  7.92792793] ; [56.92792793 14.07207207],0
u3,1,0.307383,1.041886,[29 12] ; [56 35],[26.40151515 14.59848485] ; [58.59848485 32.40151515],0
s1,1,0.352651,0.863894,[  3 102] ; [ 19 362],[  4.75308642 100.24691358] ; [ 17.24691358 363.75308642],0
u4,1,0.370975,0.800396,[  2 104] ; [ 14 372],[  3.44715447 102.55284553] ; [ 12.55284553 373.44715447],0
s2,1,0.379087,0.773661,[81 25] ; [310  76],[84.2398374 21.7601626] ; [306.7601626  79.2398374],0
v2,1,0.410332,0.677837,[50 47] ; [208 162],[53.5888651 43.4111349] ; [204.4111349 165.5888651],0
d3,1,0.412469,0.671674,[71 35] ; [273 111],[74.41632653 31.58367347] ; [269.58367347 114.41632653],0
a7,1,0.495652,0.464233,[79 27] ; [274 111],[76.20773931 29.79226069] ; [276.79226069 108.20773931],0
b3,1,0.504503,0.445452,[18 35] ; [ 96 151],[20.14 32.86] ; [ 93.86 153.14],0
b2,1,0.504503,0.445452,[18 35] ; [ 96 151],[20.14 32.86] ; [ 93.86 153.14],0
a6,1,0.520729,0.41245,[73 33] ; [251 132],[70.23312883 35.76687117] ; [253.76687117 129.23312883],0
d4,1,0.530619,0.393205,[87 19] ; [324  59],[89.09202454 16.90797546] ; [321.90797546  61.09202454],0
a1,1,0.694011,0.154777,[  5 101] ; [ 22 364],[  5.81707317 100.18292683] ; [ 21.18292683 364.81707317],0
b5,1,0.699029,0.149484,[64 42] ; [225 161],[62.26422764 43.73577236] ; [226.73577236 159.26422764],0
b4,1,0.699029,0.149484,[64 42] ; [225 161],[62.26422764 43.73577236] ; [226.73577236 159.26422764],0
u2,1,0.726541,0.122311,[23 18] ; [54 37],[23.91666667 17.08333333] ; [53.08333333 37.91666667],0
p1,1,0.740677,0.109532,[ 9 96] ; [ 37 347],[ 9.87730061 95.12269939] ; [ 36.12269939 347.87730061],0
n3,1,0.839365,0.04109,[30 10] ; [52 19],[29.54954955 10.45045045] ; [52.45045045 18.54954955],0
r3,1,0.891068,0.018756,[102   3] ; [373  12],[101.78571429   3.21428571] ; [373.21428571  11.78571429],0
s5,1,0.968467,0.001563,[42 59] ; [153 213],[42.17344754 58.82655246] ; [152.82655246 213.17344754],0
