Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,31.526823,[ 86 197] ; [122  99],[116.79365079 166.20634921] ; [ 91.20634921 129.79365079],1
n5,1,0.000518,12.049246,[178 111] ; [171  54],[196.22762646  92.77237354] ; [152.77237354  72.22762646],1
r1,1,0.00117,10.537064,[208  83] ; [189  37],[223.45647969  67.54352031] ; [173.54352031  52.45647969],0
s5,1,0.001548,10.020256,[ 71 211] ; [ 84 135],[ 87.24550898 194.75449102] ; [ 67.75449102 151.24550898],0
a3,1,0.002943,8.842723,[179 113] ; [168  60],[194.85384615  97.14615385] ; [152.14615385  75.85384615],0
s8,1,0.003687,8.431722,[ 90 202] ; [ 98 129],[105.77263969 186.22736031] ; [ 82.22736031 144.77263969],0
a5,1,0.004127,8.227288,[186 106] ; [172  56],[201.03076923  90.96923077] ; [156.96923077  71.03076923],0
p9,1,0.004373,8.122127,[221  69] ; [194  31],[233.68932039  56.31067961] ; [181.31067961  43.68932039],0
s6,1,0.005695,7.644337,[170 118] ; [158  65],[184.86105675 103.13894325] ; [143.13894325  79.86105675],0
p3,1,0.006966,7.281629,[111 180] ; [113 113],[126.08123791 164.91876209] ; [ 97.91876209 128.08123791],0
p6,1,0.008561,6.912133,[ 89 202] ; [ 92 128],[103.07436399 187.92563601] ; [ 77.92563601 142.07436399],0
b3,1,0.010529,6.543092,[ 41 108] ; [62 87],[51.5 97.5] ; [51.5 97.5],0
b2,1,0.010529,6.543092,[ 41 108] ; [62 87],[51.5 97.5] ; [51.5 97.5],0
p10,1,0.011826,6.336807,[209  81] ; [182  41],[221.0331384  68.9668616] ; [169.9668616  53.0331384],0
p4,1,0.015691,5.837132,[148 143] ; [139  87],[161.54158607 129.45841393] ; [125.45841393 100.54158607],0
n4,1,0.015984,5.804663,[191 101] ; [170  56],[203.4980695  88.5019305] ; [157.5019305  68.4980695],0
u3,1,0.018157,5.580897,[55 56] ; [41 19],[62.31578947 48.68421053] ; [33.68421053 26.31578947],0
b5,1,0.038284,4.292341,[166 126] ; [150  78],[177.44615385 114.55384615] ; [138.55384615  89.44615385],0
a2,1,0.045583,3.996921,[ 52 240] ; [ 57 171],[ 61.20769231 230.79230769] ; [ 47.79230769 180.20769231],0
a4,1,0.046673,3.957151,[111 181] ; [106 121],[122.08863198 169.91136802] ; [ 94.91136802 132.08863198],0
n2,1,0.04802,3.909275,[59 29] ; [39  8],[63.88148148 24.11851852] ; [34.11851852 12.88148148],0
v4,1,0.084217,2.981583,[267  24] ; [215  10],[271.8255814  19.1744186] ; [210.1744186  14.8255814],0
u1,1,0.087515,2.919501,[ 39 253] ; [ 43 185],[ 46.04615385 245.95384615] ; [ 35.95384615 192.04615385],0
p7,1,0.096338,2.765144,[164 123] ; [143  79],[173.1021611 113.8978389] ; [133.8978389  88.1021611],0
n1,1,0.113733,2.501572,[29 59] ; [22 25],[33.24444444 54.75555556] ; [17.75555556 29.24444444],0
a8,1,0.121662,2.395793,[ 31 246] ; [ 33 173],[ 36.70393375 240.29606625] ; [ 27.29606625 178.70393375],0
p8,1,0.162627,1.949627,[132 159] ; [115 108],[139.8385214 151.1614786] ; [107.1614786 115.8385214],0
b1,1,0.169911,1.883724,[121 171] ; [ 81 147],[113.43076923 178.56923077] ; [ 88.56923077 139.43076923],0
r2,1,0.171563,1.869231,[263  26] ; [212  13],[267.07198444  21.92801556] ; [207.92801556  17.07198444],0
p2,1,0.173787,1.849969,[231  60] ; [190  36],[236.96518375  54.03481625] ; [184.03481625  41.96518375],0
s2,1,0.18088,1.790382,[127 164] ; [112 114],[134.52417795 156.47582205] ; [104.47582205 121.52417795],0
s7,1,0.19069,1.712279,[111 173] ; [ 97 119],[118.144 165.856] ; [ 89.856 126.144],0
p12,1,0.197295,1.662284,[ 10 281] ; [ 13 211],[ 12.9961165 278.0038835] ; [ 10.0038835 213.9961165],0
p5,1,0.245057,1.351267,[ 18 274] ; [ 20 206],[ 21.42084942 270.57915058] ; [ 16.57915058 209.42084942],0
r4,1,0.335463,0.927695,[256  36] ; [206  22],[259.43076923  32.56923077] ; [202.56923077  25.43076923],0
d4,1,0.381162,0.766951,[227  64] ; [185  43],[231.00578035  59.99421965] ; [180.99421965  47.00578035],0
n6,1,0.408767,0.682384,[233  59] ; [186  39],[236.64990329  55.35009671] ; [182.35009671  42.64990329],0
d5,1,0.435143,0.609058,[224  67] ; [182  46],[227.6416185  63.3583815] ; [178.3583815  49.6416185],0
u4,1,0.464485,0.535066,[  2 290] ; [  3 225],[  2.80769231 289.19230769] ; [  2.19230769 225.80769231],0
