Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3.6e-05,17.060128,[ 7 40] ; [19 13],[15.46835443 31.53164557] ; [10.53164557 21.46835443],1
a3,1,0.022894,5.176504,[28 19] ; [26  5],[32.53846154 14.46153846] ; [21.46153846  9.53846154],0
s5,1,0.035478,4.42204,[ 5 41] ; [ 9 21],[ 8.47368421 37.52631579] ; [ 5.52631579 24.47368421],0
u1,1,0.045702,3.992541,[ 5 42] ; [ 9 23],[ 8.32911392 38.67088608] ; [ 5.67088608 26.32911392],0
u3,1,0.046906,3.948774,[ 7 12] ; [5 1],[9.12 9.88] ; [2.88 3.12],0
p3,1,0.0808,3.04874,[23 24] ; [22 10],[26.7721519 20.2278481] ; [18.2278481 13.7721519],0
r3,1,0.080862,3.047481,[45  2] ; [27  5],[42.83544304  4.16455696] ; [29.16455696  2.83544304],0
a8,1,0.100188,2.702543,[ 3 41] ; [ 5 20],[ 5.10144928 38.89855072] ; [ 2.89855072 22.10144928],0
u2,1,0.12182,2.393769,[ 9 10] ; [5 1],[10.64  8.36] ; [3.36 2.64],0
v3,1,0.141655,2.159888,[15 30] ; [16 16],[18.11688312 26.88311688] ; [12.88311688 19.11688312],0
s4,1,0.179062,1.805392,[ 4 43] ; [ 6 26],[ 5.94936709 41.05063291] ; [ 4.05063291 27.94936709],0
a4,1,0.19279,1.696166,[18 29] ; [17 15],[20.82278481 26.17721519] ; [14.17721519 17.82278481],0
p10,1,0.193511,1.690684,[32 15] ; [26  6],[34.50632911 12.49367089] ; [23.49367089  8.50632911],0
s2,1,0.19577,1.673649,[10 37] ; [11 21],[12.49367089 34.50632911] ; [ 8.50632911 23.49367089],0
a2,1,0.238428,1.389862,[ 8 39] ; [ 9 23],[10.11392405 36.88607595] ; [ 6.88607595 25.11392405],0
p4,1,0.294671,1.098156,[30 17] ; [24  8],[32.12658228 14.87341772] ; [21.87341772 10.12658228],0
d4,1,0.328432,0.955071,[32 15] ; [25  7],[33.91139241 13.08860759] ; [23.08860759  8.91139241],0
a5,1,0.34936,0.87578,[29 18] ; [23  9],[30.93670886 16.06329114] ; [21.06329114 10.93670886],0
