Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0006,11.776088,[49 12] ; [14 17],[41.77173913 19.22826087] ; [21.22826087  9.77173913],1
p2,1,0.001315,10.321636,[50 10] ; [16 15],[43.51648352 16.48351648] ; [22.48351648  8.51648352],0
p10,1,0.001957,9.589247,[48 12] ; [15 16],[41.53846154 18.46153846] ; [21.46153846  9.53846154],0
v2,1,0.002724,8.983755,[33 25] ; [ 7 23],[26.36363636 31.63636364] ; [13.63636364 16.36363636],0
p11,1,0.003108,8.743131,[48 13] ; [15 16],[41.77173913 19.22826087] ; [21.22826087  9.77173913],0
r3,1,0.003443,8.556649,[57  4] ; [22  9],[52.38043478  8.61956522] ; [26.61956522  4.38043478],0
r4,1,0.003864,8.34645,[52  9] ; [18 13],[46.41304348 14.58695652] ; [23.58695652  7.41304348],0
n4,1,0.00425,8.173703,[49 12] ; [16 15],[43.09782609 17.90217391] ; [21.90217391  9.09782609],0
b3,1,0.004683,7.997852,[22 19] ; [ 2 14],[17.26315789 23.73684211] ; [6.73684211 9.26315789],0
b2,1,0.004683,7.997852,[22 19] ; [ 2 14],[17.26315789 23.73684211] ; [6.73684211 9.26315789],0
p8,1,0.006392,7.436283,[28 33] ; [ 5 25],[22.12087912 38.87912088] ; [10.87912088 19.12087912],0
n5,1,0.006534,7.396885,[46 15] ; [14 16],[40.21978022 20.78021978] ; [19.78021978 10.21978022],0
s1,1,0.006618,7.373701,[ 1 60] ; [ 5 25],[ 4.02197802 56.97802198] ; [ 1.97802198 28.02197802],0
p4,1,0.01342,6.112852,[33 28] ; [ 8 22],[27.48351648 33.51648352] ; [13.51648352 16.48351648],0
u3,1,0.01678,5.719233,[ 6 15] ; [8 3],[ 9.1875 11.8125] ; [4.8125 6.1875],0
b1,1,0.02775,4.843528,[19 42] ; [17 14],[23.86956522 37.13043478] ; [12.13043478 18.86956522],0
s8,1,0.028272,4.811387,[21 40] ; [ 4 27],[16.57608696 44.42391304] ; [ 8.42391304 22.57608696],0
s5,1,0.031191,4.64243,[12 45] ; [ 1 28],[ 8.61627907 48.38372093] ; [ 4.38372093 24.61627907],0
r2,1,0.03201,4.597953,[57  2] ; [26  5],[54.41111111  4.58888889] ; [28.58888889  2.41111111],0
d1,1,0.033089,4.541176,[34 27] ; [10 21],[29.17391304 31.82608696] ; [14.82608696 16.17391304],0
u2,1,0.033922,4.498633,[ 7 14] ; [8 3],[ 9.84375 11.15625] ; [5.15625 5.84375],0
d5,1,0.037875,4.310642,[43 18] ; [15 16],[38.45652174 22.54347826] ; [19.54347826 11.45652174],0
p3,1,0.048919,3.878123,[29 31] ; [ 8 22],[24.66666667 35.33333333] ; [12.33333333 17.66666667],0
v1,1,0.060961,3.511033,[30 29] ; [ 9 21],[25.85393258 33.14606742] ; [13.14606742 16.85393258],0
v4,1,0.076725,3.132954,[54  6] ; [22  7],[51.23595506  8.76404494] ; [24.76404494  4.23595506],0
u1,1,0.093117,2.819651,[ 9 52] ; [ 1 30],[ 6.63043478 54.36956522] ; [ 3.36956522 27.63043478],0
a2,1,0.093117,2.819651,[ 9 52] ; [ 1 30],[ 6.63043478 54.36956522] ; [ 3.36956522 27.63043478],0
n1,1,0.10247,2.666667,[8 4] ; [4 8],[6. 6.] ; [6. 6.],0
a7,1,0.105395,2.621951,[42 19] ; [16 15],[38.45652174 22.54347826] ; [19.54347826 11.45652174],0
p7,1,0.13189,2.270118,[39 21] ; [14 15],[35.73033708 24.26966292] ; [17.26966292 11.73033708],0
p6,1,0.140573,2.171681,[19 42] ; [ 5 25],[16.08791209 44.91208791] ; [ 7.91208791 22.08791209],0
n3,1,0.2253,1.470289,[10  2] ; [8 5],[8.64 3.36] ; [9.36 3.64],0
v3,1,0.238359,1.390273,[20 36] ; [ 7 23],[17.58139535 38.41860465] ; [ 9.41860465 20.58139535],0
s4,1,0.247927,1.33495,[ 5 56] ; [ 5 26],[ 6.63043478 54.36956522] ; [ 3.36956522 27.63043478],0
s7,1,0.353016,0.862585,[22 37] ; [ 7 19],[20.12941176 38.87058824] ; [ 8.87058824 17.12941176],0
r1,1,0.37352,0.791921,[43 18] ; [19 12],[41.10869565 19.89130435] ; [20.89130435 10.10869565],0
a1,1,0.382168,0.763716,[ 3 58] ; [ 3 28],[ 3.97826087 57.02173913] ; [ 2.02173913 28.97826087],0
a4,1,0.387153,0.747864,[20 41] ; [13 18],[21.88043478 39.11956522] ; [11.11956522 19.88043478],0
n2,1,0.472607,0.515873,[10  2] ; [10  4],[9.23076923 2.76923077] ; [10.76923077  3.23076923],0
p1,1,0.491638,0.472939,[ 2 58] ; [ 2 29],[ 2.63736264 57.36263736] ; [ 1.36263736 29.63736264],0
s2,1,0.508155,0.437864,[32 29] ; [14 17],[30.5 30.5] ; [15.5 15.5],0
d4,1,0.535032,0.384825,[43 18] ; [23  7],[44.24175824 16.75824176] ; [21.75824176  8.24175824],0
d2,1,0.599046,0.276436,[26 35] ; [15 16],[27.18478261 33.81521739] ; [13.81521739 17.18478261],0
d3,1,0.685549,0.163946,[40 21] ; [19 12],[39.11956522 21.88043478] ; [19.88043478 11.11956522],0
a5,1,0.685549,0.163946,[40 21] ; [19 12],[39.11956522 21.88043478] ; [19.88043478 11.11956522],0
a6,1,0.694319,0.154449,[38 23] ; [18 13],[37.13043478 23.86956522] ; [18.86956522 12.13043478],0
b4,1,0.707338,0.14095,[34 27] ; [16 15],[33.15217391 27.84782609] ; [16.84782609 14.15217391],0
b5,1,0.711901,0.136385,[29 32] ; [16 15],[29.83695652 31.16304348] ; [15.16304348 15.83695652],0
p12,1,0.728847,0.120173,[ 3 58] ; [ 1 29],[ 2.68131868 58.31868132] ; [ 1.31868132 28.68131868],0
a3,1,0.837456,0.042086,[40 20] ; [20 11],[39.56043956 20.43956044] ; [20.43956044 10.56043956],0
a8,1,1.0,0.0,[ 6 52] ; [ 3 26],[ 6. 52.] ; [ 3. 26.],0
