Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,22.161071,[89 47] ; [ 63 102],[68.67774086 67.32225914] ; [83.32225914 81.67774086],1
s2,1,0.00101,10.808972,[75 63] ; [ 61 110],[60.73786408 77.26213592] ; [75.26213592 95.73786408],0
v3,1,0.003233,8.670867,[56 79] ; [ 42 123],[44.1 90.9] ; [ 53.9 111.1],0
s6,1,0.003392,8.583536,[94 45] ; [88 84],[81.34405145 57.65594855] ; [100.65594855  71.34405145],0
p4,1,0.007746,7.091245,[72 71] ; [ 61 111],[60.37777778 82.62222222] ; [72.62222222 99.37777778],0
p2,1,0.011456,6.393194,[109  34] ; [109  64],[98.65189873 44.34810127] ; [119.34810127  53.65189873],0
v4,1,0.012548,6.231784,[136   6] ; [152  21],[129.82857143  12.17142857] ; [158.17142857  14.82857143],0
a5,1,0.018659,5.533153,[107  36] ; [108  65],[97.2943038 45.7056962] ; [117.7056962  55.2943038],0
p5,1,0.028589,4.792189,[ 12 129] ; [  5 168],[  7.63375796 133.36624204] ; [  9.36624204 163.63375796],0
p3,1,0.034595,4.465035,[52 90] ; [ 44 128],[43.41401274 98.58598726] ; [ 52.58598726 119.41401274],0
p9,1,0.038632,4.276983,[114  26] ; [122  49],[106.23794212  33.76205788] ; [129.76205788  41.23794212],0
u2,1,0.068752,3.312579,[30 16] ; [29 32],[25.36448598 20.63551402] ; [33.63551402 27.36448598],0
s7,1,0.068953,3.30778,[57 77] ; [ 53 111],[49.46308725 84.53691275] ; [ 60.53691275 103.46308725],0
r2,1,0.070909,3.261848,[136   7] ; [155  18],[131.68670886  11.31329114] ; [159.31329114  13.68670886],0
u3,1,0.071173,3.255768,[32 15] ; [31 30],[27.41666667 19.58333333] ; [35.58333333 25.41666667],0
r1,1,0.073152,3.210838,[114  29] ; [122  50],[107.13650794  35.86349206] ; [128.86349206  43.13650794],0
s8,1,0.10293,2.659541,[53 88] ; [ 50 123],[46.25159236 94.74840764] ; [ 56.74840764 116.25159236],0
p12,1,0.104929,2.628989,[ 13 128] ; [  8 165],[  9.42993631 131.57006369] ; [ 11.57006369 161.42993631],0
p6,1,0.113187,2.509144,[ 26 114] ; [ 21 152],[ 21.02236422 118.97763578] ; [ 25.97763578 147.02236422],0
s3,1,0.127341,2.324625,[74 66] ; [76 96],[67.30769231 72.69230769] ; [82.69230769 89.30769231],0
n4,1,0.148561,2.086963,[105  38] ; [114  59],[99.10443038 43.89556962] ; [119.89556962  53.10443038],0
b5,1,0.155871,2.01383,[97 46] ; [104  69],[90.95886076 52.04113924] ; [110.04113924  62.95886076],0
b4,1,0.156504,2.007687,[84 59] ; [115  58],[90.05379747 52.94620253] ; [108.94620253  64.05379747],0
r4,1,0.163308,1.943327,[129  14] ; [147  26],[124.89873418  18.10126582] ; [151.10126582  21.89873418],0
p8,1,0.214906,1.538063,[ 40 102] ; [ 38 134],[ 35.27388535 106.72611465] ; [ 42.72611465 129.27388535],0
s5,1,0.223658,1.480743,[36 96] ; [ 35 130],[ 31.55555556 100.44444444] ; [ 39.44444444 125.55555556],0
b3,1,0.225667,1.467968,[35 52] ; [27 59],[31.17919075 55.82080925] ; [30.82080925 55.17919075],0
b2,1,0.225667,1.467968,[35 52] ; [27 59],[31.17919075 55.82080925] ; [30.82080925 55.17919075],0
a4,1,0.23773,1.394007,[69 74] ; [ 72 101],[63.80696203 79.19303797] ; [77.19303797 95.80696203],0
n2,1,0.242584,1.365517,[28  8] ; [42 21],[25.45454545 10.54545455] ; [44.54545455 18.45454545],0
n5,1,0.252084,1.31172,[97 46] ; [106  66],[92.15555556 50.84444444] ; [110.84444444  61.15555556],0
a2,1,0.256138,1.289513,[ 33 110] ; [ 31 142],[ 28.96202532 114.03797468] ; [ 35.03797468 137.96202532],0
p11,1,0.261897,1.258701,[105  38] ; [117  56],[100.46202532  42.53797468] ; [121.53797468  51.46202532],0
a8,1,0.272545,1.203894,[ 15 112] ; [ 13 150],[ 12.26206897 114.73793103] ; [ 15.73793103 147.26206897],0
s1,1,0.280186,1.166187,[  4 138] ; [  9 162],[  5.89776358 136.10223642] ; [  7.10223642 163.89776358],0
p10,1,0.404167,0.695893,[101  40] ; [115  56],[97.61538462 43.38461538] ; [118.38461538  52.61538462],0
d5,1,0.466229,0.5309,[114  29] ; [132  41],[111.32278481  31.67721519] ; [134.67721519  38.32278481],0
b1,1,0.509768,0.434544,[47 96] ; [ 63 110],[49.77848101 93.22151899] ; [ 60.22151899 112.77848101],0
u4,1,0.522747,0.40847,[  4 139] ; [  3 170],[  3.16772152 139.83227848] ; [  3.83227848 169.16772152],0
d1,1,0.538024,0.379214,[81 62] ; [92 81],[78.28797468 64.71202532] ; [94.71202532 78.28797468],0
s4,1,0.561831,0.336544,[ 21 119] ; [ 30 142],[ 22.88461538 117.11538462] ; [ 28.11538462 143.88461538],0
a6,1,0.655304,0.199279,[96 47] ; [112  61],[94.12658228 48.87341772] ; [113.87341772  59.12658228],0
a3,1,0.655304,0.199279,[96 47] ; [112  61],[94.12658228 48.87341772] ; [113.87341772  59.12658228],0
n3,1,0.693745,0.155061,[24 12] ; [43 18],[24.86597938 11.13402062] ; [42.13402062 18.86597938],0
d3,1,0.734354,0.115151,[96 47] ; [113  60],[94.57911392 48.42088608] ; [114.42088608  58.57911392],0
n1,1,0.767366,0.087511,[14 22] ; [26 36],[14.69387755 21.30612245] ; [25.30612245 36.69387755],0
p1,1,0.807973,0.059069,[ 11 132] ; [ 12 160],[ 10.44126984 132.55873016] ; [ 12.55873016 159.44126984],0
a7,1,0.855374,0.033221,[103  40] ; [123  50],[102.2721519  40.7278481] ; [123.7278481  49.2721519],0
d4,1,0.862587,0.029957,[116  27] ; [139  34],[115.39556962  27.60443038] ; [139.60443038  33.39556962],0
d2,1,0.888432,0.019681,[68 74] ; [81 91],[67.38216561 74.61783439] ; [81.61783439 90.38216561],0
n6,1,0.955165,0.003161,[112  30] ; [136  37],[111.7968254  30.2031746] ; [136.2031746  36.7968254],0
u1,1,0.95666,0.002953,[ 22 121] ; [ 27 146],[ 22.17405063 120.82594937] ; [ 26.82594937 146.17405063],0
a1,1,0.960559,0.002446,[  4 139] ; [  5 168],[  4.07278481 138.92721519] ; [  4.92721519 168.07278481],0
