Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2e-06,23.006013,[34 11] ; [39 77],[20.40372671 24.59627329] ; [52.59627329 63.40372671],1
p3,1,3e-06,21.999358,[35 17] ; [37 89],[21.03370787 30.96629213] ; [50.96629213 75.03370787],1
p7,1,7e-06,20.08165,[36 15] ; [42 83],[22.60227273 28.39772727] ; [55.39772727 69.60227273],1
p4,1,6.8e-05,15.863923,[36 16] ; [46 80],[23.95505618 28.04494382] ; [58.04494382 67.95505618],1
u1,1,0.000129,14.661264,[19 33] ; [ 15 112],[ 9.87709497 42.12290503] ; [ 24.12290503 102.87709497],1
p9,1,0.000309,13.016482,[43  9] ; [65 56],[32.46242775 19.53757225] ; [75.53757225 45.46242775],1
d2,1,0.000939,10.943211,[40 12] ; [63 63],[30.08988764 21.91011236] ; [72.91011236 53.08988764],1
s2,1,0.000964,10.894948,[35 17] ; [51 76],[24.98324022 27.01675978] ; [61.01675978 65.98324022],1
p2,1,0.00154,10.030076,[42 10] ; [70 56],[32.71910112 19.28089888] ; [79.28089888 46.71910112],0
s8,1,0.001686,9.863831,[29 22] ; [40 87],[19.76966292 31.23033708] ; [49.23033708 77.76966292],0
p10,1,0.002258,9.327265,[38 14] ; [59 64],[28.82285714 23.17714286] ; [68.17714286 54.82285714],0
d1,1,0.002452,9.175715,[43  9] ; [75 52],[34.27932961 17.72067039] ; [83.72067039 43.27932961],0
a4,1,0.007374,7.179537,[35 17] ; [57 69],[26.87640449 25.12359551] ; [65.12359551 60.87640449],0
p8,1,0.008714,6.880524,[23 29] ; [31 96],[15.68715084 36.31284916] ; [38.31284916 88.68715084],0
v2,1,0.01012,6.613718,[33 19] ; [51 70],[25.24855491 26.75144509] ; [58.75144509 62.24855491],0
n3,1,0.013137,6.150523,[15  1] ; [31 20],[10.98507463  5.01492537] ; [35.01492537 15.98507463],0
n4,1,0.015134,5.900758,[40 12] ; [72 53],[32.9039548 19.0960452] ; [79.0960452 45.9039548],0
