Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.030887,[1 3] ; [52  2],[3.65517241 0.34482759] ; [49.34482759  4.65517241],1
r3,1,0.000234,13.536019,[1 3] ; [49  5],[3.44827586 0.55172414] ; [46.55172414  7.44827586],1
n6,1,0.00305,8.777491,[1 3] ; [46  8],[3.24137931 0.75862069] ; [43.75862069 10.24137931],0
a2,1,0.006955,7.284425,[2 2] ; [ 4 50],[0.4137931 3.5862069] ; [ 5.5862069 48.4137931],0
d1,1,0.014357,5.993717,[1 3] ; [ 1 53],[0.13793103 3.86206897] ; [ 1.86206897 52.13793103],0
p2,1,0.052687,3.75381,[1 3] ; [38 15],[2.73684211 1.26315789] ; [36.26315789 16.73684211],0
v2,1,0.066764,3.360849,[1 3] ; [37 16],[2.66666667 1.33333333] ; [35.33333333 17.66666667],0
p7,1,0.129076,2.303579,[1 3] ; [33 19],[2.42857143 1.57142857] ; [31.57142857 20.42857143],0
p1,1,0.14083,2.168868,[2 2] ; [10 43],[0.84210526 3.15789474] ; [11.15789474 41.84210526],0
s1,1,0.14426,2.13192,[1 3] ; [ 3 50],[0.28070175 3.71929825] ; [ 3.71929825 49.28070175],0
p4,1,0.167011,1.909573,[1 3] ; [32 21],[2.31578947 1.68421053] ; [30.68421053 22.31578947],0
d2,1,0.170324,1.880089,[2 2] ; [11 43],[0.89655172 3.10344828] ; [12.10344828 41.89655172],0
b1,1,0.181866,1.782312,[3 1] ; [22 32],[1.72413793 2.27586207] ; [23.27586207 30.72413793],0
s3,1,0.189016,1.725273,[1 3] ; [30 21],[2.25454545 1.74545455] ; [28.74545455 22.25454545],0
a4,1,0.210314,1.569264,[2 2] ; [12 42],[0.96551724 3.03448276] ; [13.03448276 40.96551724],0
p10,1,0.220296,1.502445,[2 2] ; [41 12],[3.01754386 0.98245614] ; [39.98245614 13.01754386],0
p3,1,0.221063,1.497454,[1 3] ; [30 23],[2.1754386 1.8245614] ; [28.8245614 24.1754386],0
p8,1,0.25105,1.317453,[1 3] ; [29 24],[2.10526316 1.89473684] ; [27.89473684 25.10526316],0
a8,1,0.259025,1.273959,[1 3] ; [ 4 46],[0.37037037 3.62962963] ; [ 4.62962963 45.37037037],0
s7,1,0.377062,0.780258,[1 3] ; [23 25],[1.84615385 2.15384615] ; [22.15384615 25.84615385],0
v1,1,0.472403,0.516349,[3 1] ; [30 23],[2.31578947 1.68421053] ; [30.68421053 22.31578947],0
n4,1,0.500538,0.453796,[3 1] ; [47  7],[3.44827586 0.55172414] ; [46.55172414  7.44827586],0
a3,1,0.534622,0.385599,[3 1] ; [32 22],[2.4137931 1.5862069] ; [32.5862069 21.4137931],0
s2,1,0.543783,0.368573,[1 3] ; [21 31],[1.57142857 2.42857143] ; [20.42857143 31.57142857],0
a5,1,0.551926,0.353878,[2 2] ; [35 19],[2.55172414 1.44827586] ; [34.44827586 19.55172414],0
d3,1,0.551926,0.353878,[2 2] ; [19 35],[1.44827586 2.55172414] ; [19.55172414 34.44827586],0
a6,1,0.580681,0.305135,[3 1] ; [33 21],[2.48275862 1.51724138] ; [33.51724138 20.48275862],0
p6,1,0.610625,0.259265,[1 3] ; [20 33],[1.47368421 2.52631579] ; [19.52631579 33.47368421],0
s8,1,0.661088,0.192204,[1 3] ; [19 34],[1.40350877 2.59649123] ; [18.59649123 34.40350877],0
n5,1,0.670301,0.18125,[3 1] ; [45  9],[3.31034483 0.68965517] ; [44.68965517  9.31034483],0
a7,1,0.731862,0.117409,[3 1] ; [36 18],[2.68965517 1.31034483] ; [36.31034483 17.68965517],0
b5,1,0.772845,0.083322,[2 2] ; [31 23],[2.27586207 1.72413793] ; [30.72413793 23.27586207],0
b4,1,0.772845,0.083322,[2 2] ; [31 23],[2.27586207 1.72413793] ; [30.72413793 23.27586207],0
d5,1,0.829316,0.046474,[2 2] ; [24 30],[1.79310345 2.20689655] ; [24.20689655 29.79310345],0
b2,1,1.0,0.0,[1 2] ; [12 24],[1. 2.] ; [12. 24.],0
b3,1,1.0,0.0,[1 2] ; [12 24],[1. 2.] ; [12. 24.],0
