Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.1e-05,19.357327,[185 149] ; [17 49],[168.67 165.33] ; [33.33 32.67],1
n5,1,0.000328,12.90541,[283  50] ; [46 23],[272.52985075  60.47014925] ; [56.47014925 12.52985075],1
p2,1,0.000399,12.537922,[308  25] ; [55 15],[299.94789082  33.05210918] ; [63.05210918  6.94789082],1
p8,1,0.000477,12.202953,[238  95] ; [35 35],[225.58064516 107.41935484] ; [47.41935484 22.58064516],1
p5,1,0.000504,12.100385,[ 74 258] ; [ 3 67],[ 63.5920398 268.4079602] ; [13.4079602 56.5920398],1
d3,1,0.00052,12.042422,[247  88] ; [37 33],[234.91358025 100.08641975] ; [49.08641975 20.91358025],1
n6,1,0.001546,10.023208,[305  29] ; [54 15],[297.53349876  36.46650124] ; [61.46650124  7.53349876],0
d1,1,0.003977,8.294208,[228 107] ; [35 35],[217.54320988 117.45679012] ; [45.45679012 24.54320988],0
r1,1,0.015527,5.855621,[278  55] ; [49 20],[270.87313433  62.12686567] ; [56.12686567 12.87313433],0
n4,1,0.016136,5.787963,[287  48] ; [51 18],[280.27227723  54.72772277] ; [57.72772277 11.27227723],0
s6,1,0.018433,5.554496,[248  78] ; [43 26],[240.16708861  85.83291139] ; [50.83291139 18.16708861],0
p12,1,0.029199,4.755868,[ 46 288] ; [ 3 66],[ 40.61042184 293.38957816] ; [ 8.38957816 60.61042184],0
r3,1,0.0306,4.67528,[322  10] ; [64  6],[318.78606965  13.21393035] ; [67.21393035  2.78606965],0
p10,1,0.041439,4.157966,[317  17] ; [61  8],[313.28039702  20.71960298] ; [64.71960298  4.28039702],0
s2,1,0.042855,4.101112,[191 141] ; [31 39],[183.34328358 148.65671642] ; [38.65671642 31.34328358],0
s7,1,0.051467,3.792998,[194 119] ; [34 35],[186.81675393 126.18324607] ; [41.18324607 27.81675393],0
d4,1,0.077062,3.125801,[286  48] ; [54 16],[281.08910891  52.91089109] ; [58.91089109 11.08910891],0
d2,1,0.108001,2.583234,[186 149] ; [31 38],[179.93811881 155.06188119] ; [37.06188119 31.93811881],0
u2,1,0.108695,2.573099,[50 26] ; [5 7],[47.5 28.5] ; [7.5 4.5],0
a7,1,0.116321,2.466175,[250  84] ; [46 24],[244.71287129  89.28712871] ; [51.28712871 18.71287129],0
a5,1,0.149507,2.077269,[274  61] ; [52 18],[269.65432099  65.34567901] ; [56.34567901 13.65432099],0
r4,1,0.157806,1.995122,[313  22] ; [62  8],[310.18518519  24.81481481] ; [64.81481481  5.18518519],0
d5,1,0.159722,1.976855,[289  45] ; [56 14],[285.22277228  48.77722772] ; [59.77722772 10.22277228],0
p11,1,0.234162,1.415398,[291  44] ; [57 13],[287.85185185  47.14814815] ; [60.14814815  9.85185185],0
r2,1,0.234594,1.412788,[316  15] ; [68  1],[317.76  13.24] ; [66.24  2.76],0
n3,1,0.23807,1.391987,[38 13] ; [10  1],[39.48387097 11.51612903] ; [8.51612903 2.48387097],0
a2,1,0.279118,1.171377,[ 98 237] ; [16 54],[ 94.2962963 240.7037037] ; [19.7037037 50.2962963],0
u1,1,0.288859,1.124932,[ 82 253] ; [13 57],[ 78.58024691 256.41975309] ; [16.41975309 53.58024691],0
a4,1,0.314378,1.012194,[170 164] ; [31 39],[166.17326733 167.82673267] ; [34.82673267 35.17326733],0
v4,1,0.332732,0.938237,[322  11] ; [66  4],[320.60545906  12.39454094] ; [67.39454094  2.60545906],0
s5,1,0.345722,0.889099,[138 181] ; [24 41],[134.578125 184.421875] ; [27.421875 37.578125],0
a3,1,0.351995,0.866253,[259  75] ; [57 12],[261.89578164  72.10421836] ; [54.10421836 14.89578164],0
v1,1,0.360029,0.837791,[205 119] ; [39 29],[201.67346939 122.32653061] ; [42.32653061 25.67346939],0
b5,1,0.389024,0.74199,[187 148] ; [43 27],[190.24691358 144.75308642] ; [39.75308642 30.24691358],0
p7,1,0.39249,0.731213,[261  71] ; [51 18],[258.31421446  73.68578554] ; [53.68578554 15.31421446],0
b4,1,0.410365,0.677744,[195 140] ; [37 33],[191.90123457 143.09876543] ; [40.09876543 29.90123457],0
p1,1,0.491118,0.474077,[ 42 290] ; [11 59],[ 43.77114428 288.22885572] ; [ 9.22885572 60.77114428],0
v3,1,0.523076,0.407824,[148 172] ; [29 40],[145.60411311 174.39588689] ; [31.39588689 37.60411311],0
s1,1,0.616209,0.251232,[  8 325] ; [ 1 69],[  7.43672457 325.56327543] ; [ 1.56327543 68.43672457],0
a6,1,0.626967,0.236196,[238  97] ; [47 22],[236.32425743  98.67574257] ; [48.67574257 20.32425743],0
n1,1,0.679669,0.170498,[22 29] ; [4 7],[21.38709677 29.61290323] ; [4.61290323 6.38709677],0
s4,1,0.708095,0.140187,[ 58 272] ; [11 59],[ 56.925 273.075] ; [12.075 57.925],0
u3,1,0.715489,0.132856,[48 27] ; [9 4],[48.57954545 26.42045455] ; [8.42045455 4.57954545],0
v2,1,0.751355,0.100396,[202 122] ; [41 27],[200.84693878 123.15306122] ; [42.15306122 25.84693878],0
a8,1,0.752484,0.099456,[ 41 259] ; [10 56],[ 41.80327869 258.19672131] ; [ 9.19672131 56.80327869],0
b1,1,0.817536,0.05323,[139 196] ; [28 42],[138.13580247 196.86419753] ; [28.86419753 41.13580247],0
b3,1,0.898508,0.016268,[ 90 125] ; [21 28],[ 90.39772727 124.60227273] ; [20.60227273 28.39772727],0
b2,1,0.898508,0.016268,[ 90 125] ; [21 28],[ 90.39772727 124.60227273] ; [20.60227273 28.39772727],0
a1,1,0.934282,0.0068,[ 20 315] ; [ 4 66],[ 19.85185185 315.14814815] ; [ 4.14814815 65.85185185],0
s3,1,0.962547,0.002205,[197 133] ; [42 28],[197.175 132.825] ; [41.825 28.175],0
s8,1,0.991638,0.00011,[181 152] ; [38 32],[180.96029777 152.03970223] ; [38.03970223 31.96029777],0
