Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.000216,13.682347,[ 4 14] ; [40 16],[10.7027027  7.2972973] ; [33.2972973 22.7027027],1
b5,1,0.000545,11.95601,[ 5 13] ; [41 15],[11.18918919  6.81081081] ; [34.81081081 21.18918919],1
d3,1,0.006854,7.310892,[10  8] ; [48  8],[14.10810811  3.89189189] ; [43.89189189 12.10810811],0
p7,1,0.04118,4.168606,[15  2] ; [34 21],[11.56944444  5.43055556] ; [37.43055556 17.56944444],0
u1,1,0.043451,4.077776,[ 1 17] ; [16 40],[ 4.13513514 13.86486486] ; [12.86486486 43.13513514],0
a2,1,0.056991,3.622853,[ 1 17] ; [15 41],[ 3.89189189 14.10810811] ; [12.10810811 43.89189189],0
u3,1,0.12506,2.352778,[5 1] ; [7 8],[3.42857143 2.57142857] ; [8.57142857 6.42857143],0
r2,1,0.126218,2.33841,[15  3] ; [53  3],[16.54054054  1.45945946] ; [51.45945946  4.54054054],0
b1,1,0.128863,2.306147,[9 9] ; [17 39],[ 6.32432432 11.67567568] ; [19.67567568 36.32432432],0
a5,1,0.159079,1.982956,[10  8] ; [41 15],[12.40540541  5.59459459] ; [38.59459459 17.40540541],0
b4,1,0.170976,1.874367,[9 9] ; [38 18],[11.43243243  6.56756757] ; [35.56756757 20.43243243],0
d5,1,0.201862,1.628851,[17  1] ; [46 10],[15.32432432  2.67567568] ; [47.67567568  8.32432432],0
s5,1,0.212363,1.555241,[11  5] ; [26 25],[8.8358209 7.1641791] ; [28.1641791 22.8358209],0
v4,1,0.218469,1.514399,[16  2] ; [54  2],[17.02702703  0.97297297] ; [52.97297297  3.02702703],0
s6,1,0.23244,1.425868,[12  4] ; [48  7],[13.52112676  2.47887324] ; [46.47887324  8.52112676],0
p8,1,0.267527,1.229383,[10  7] ; [23 30],[8.01428571 8.98571429] ; [24.98571429 28.01428571],0
p3,1,0.278457,1.174603,[11  7] ; [26 30],[9. 9.] ; [28. 28.],0
n4,1,0.287448,1.131534,[14  4] ; [36 20],[12.16216216  5.83783784] ; [37.83783784 18.16216216],0
n6,1,0.328363,0.955342,[14  4] ; [48  7],[15.28767123  2.71232877] ; [46.71232877  8.28767123],0
s7,1,0.337904,0.918367,[11  5] ; [31 25],[9.33333333 6.66666667] ; [32.66666667 23.33333333],0
s2,1,0.351193,0.869142,[11  7] ; [40 15],[12.57534247  5.42465753] ; [38.42465753 16.57534247],0
s1,1,0.399148,0.710891,[ 1 17] ; [ 1 54],[ 0.49315068 17.50684932] ; [ 1.50684932 53.49315068],0
r4,1,0.409142,0.681292,[17  1] ; [49  7],[16.05405405  1.94594595] ; [49.94594595  6.05405405],0
d1,1,0.420108,0.650012,[10  8] ; [37 19],[11.43243243  6.56756757] ; [35.56756757 20.43243243],0
v3,1,0.454541,0.559304,[9 8] ; [23 31],[7.66197183 9.33802817] ; [24.33802817 29.66197183],0
n2,1,0.474549,0.511364,[5 1] ; [6 3],[4.4 1.6] ; [6.6 2.4],0
d2,1,0.4898,0.476967,[11  7] ; [29 27],[9.72972973 8.27027027] ; [30.27027027 25.72972973],0
a8,1,0.526415,0.401307,[ 1 17] ; [ 5 42],[ 1.66153846 16.33846154] ; [ 4.33846154 42.66153846],0
p9,1,0.540909,0.373857,[16  1] ; [49  6],[15.34722222  1.65277778] ; [49.65277778  5.34722222],0
a4,1,0.58789,0.293651,[10  8] ; [27 29],[9. 9.] ; [28. 28.],0
a3,1,0.591944,0.287319,[12  6] ; [41 15],[12.89189189  5.10810811] ; [40.10810811 15.89189189],0
p2,1,0.591944,0.287319,[12  6] ; [41 15],[12.89189189  5.10810811] ; [40.10810811 15.89189189],0
v1,1,0.626051,0.237455,[11  7] ; [30 25],[10.10958904  7.89041096] ; [30.89041096 24.10958904],0
a1,1,0.710414,0.137864,[ 1 17] ; [ 2 54],[ 0.72972973 17.27027027] ; [ 2.27027027 53.72972973],0
r3,1,0.721817,0.126758,[17  1] ; [53  2],[17.26027397  0.73972603] ; [52.73972603  2.26027397],0
b2,1,0.740947,0.109296,[2 9] ; [ 6 20],[2.37837838 8.62162162] ; [ 5.62162162 20.37837838],0
b3,1,0.740947,0.109296,[2 9] ; [ 6 20],[2.37837838 8.62162162] ; [ 5.62162162 20.37837838],0
p4,1,0.766584,0.088117,[11  7] ; [32 24],[10.45945946  7.54054054] ; [32.54054054 23.45945946],0
p10,1,0.772,0.083961,[15  2] ; [47  8],[14.63888889  2.36111111] ; [47.36111111  7.63888889],0
u2,1,0.776258,0.080769,[2 4] ; [6 9],[2.28571429 3.71428571] ; [5.71428571 9.28571429],0
p11,1,0.812399,0.056327,[12  6] ; [39 17],[12.40540541  5.59459459] ; [38.59459459 17.40540541],0
r1,1,0.81281,0.056076,[14  4] ; [45 11],[14.35135135  3.64864865] ; [44.64864865 11.35135135],0
p6,1,0.857917,0.03205,[ 7 10] ; [24 31],[7.31944444 9.68055556] ; [23.68055556 31.31944444],0
s3,1,0.914927,0.011412,[13  5] ; [39 16],[12.82191781  5.17808219] ; [39.17808219 15.82191781],0
n5,1,0.925221,0.00881,[12  6] ; [38 18],[12.16216216  5.83783784] ; [37.83783784 18.16216216],0
d4,1,0.962381,0.002225,[16  2] ; [50  6],[16.05405405  1.94594595] ; [49.94594595  6.05405405],0
p1,1,0.974165,0.001049,[ 1 17] ; [ 3 53],[ 0.97297297 17.02702703] ; [ 3.02702703 52.97297297],0
s8,1,1.0,0.0,[9 9] ; [28 28],[9. 9.] ; [28. 28.],0
