Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,90.127512,[184 107] ; [ 4 81],[145.5 145.5] ; [42.5 42.5],1
d3,1,0.0,71.696175,[215  76] ; [19 64],[182.06951872 108.93048128] ; [51.93048128 31.06951872],1
d5,1,0.0,35.478938,[241  50] ; [43 41],[220.384  70.616] ; [63.616 20.384],1
a3,1,4.9e-05,16.505725,[199  90] ; [38 47],[183.13636364 105.86363636] ; [53.86363636 31.13636364],1
a5,1,9e-05,15.334227,[204  87] ; [40 45],[188.84042553 102.15957447] ; [55.15957447 29.84042553],1
d2,1,9.1e-05,15.321008,[141 149] ; [21 64],[125.28 164.72] ; [36.72 48.28],1
u1,1,0.000405,12.507044,[ 51 240] ; [ 2 83],[ 41.01861702 249.98138298] ; [11.98138298 73.01861702],1
r1,1,0.000447,12.325071,[225  65] ; [49 35],[212.45989305  77.54010695] ; [61.54010695 22.45989305],1
u2,1,0.000848,11.132074,[60 31] ; [17 30],[50.77536232 40.22463768] ; [26.22463768 20.77536232],1
a7,1,0.00203,9.522078,[208  83] ; [45 39],[196.328  94.672] ; [56.672 27.328],0
b3,1,0.00216,9.408744,[ 70 103] ; [ 9 43],[ 60.74222222 112.25777778] ; [18.25777778 33.74222222],0
b2,1,0.00216,9.408744,[ 70 103] ; [ 9 43],[ 60.74222222 112.25777778] ; [18.25777778 33.74222222],0
s5,1,0.006397,7.434894,[ 96 186] ; [15 67],[ 85.99450549 196.00549451] ; [25.00549451 56.99450549],0
a4,1,0.00701,7.270373,[131 160] ; [24 60],[120.28 170.72] ; [34.72 49.28],0
a2,1,0.008042,7.024181,[ 65 226] ; [ 8 77],[ 56.49734043 234.50265957] ; [16.50265957 68.49734043],0
r2,1,0.030469,4.682641,[271  17] ; [74 11],[266.38069705  21.61930295] ; [78.61930295  6.38069705],0
p9,1,0.036328,4.381651,[233  55] ; [59 25],[226.06451613  61.93548387] ; [65.93548387 18.06451613],0
s2,1,0.036712,4.363726,[144 145] ; [31 53],[135.58981233 153.41018767] ; [39.41018767 44.58981233],0
n3,1,0.04219,4.127557,[46 28] ; [18  3],[49.85263158 24.14736842] ; [14.14736842  6.85263158],0
n4,1,0.04595,3.983437,[216  75] ; [53 31],[208.744  82.256] ; [60.256 23.744],0
u3,1,0.046796,3.952692,[58 32] ; [22 25],[52.55474453 37.44525547] ; [27.44525547 19.55474453],0
p6,1,0.062336,3.474115,[106 182] ; [22 63],[ 98.8310992 189.1689008] ; [29.1689008 55.8310992],0
p10,1,0.074244,3.186603,[221  68] ; [54 27],[214.7972973  74.2027027] ; [60.2027027 20.7972973],0
s6,1,0.078968,3.086008,[188  97] ; [46 37],[181.22282609 103.77717391] ; [52.77717391 30.22282609],0
b4,1,0.081644,3.031874,[168 123] ; [40 45],[160.9787234 130.0212766] ; [47.0212766 37.9787234],0
p1,1,0.093137,2.819293,[ 21 268] ; [11 73],[ 24.79356568 264.20643432] ; [ 7.20643432 76.79356568],0
