Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.004327,8.141333,[15 16] ; [46 13],[21.01111111  9.98888889] ; [39.98888889 19.01111111],0
p8,1,0.004421,8.102278,[ 6 26] ; [29 30],[12.30769231 19.69230769] ; [22.69230769 36.30769231],0
n4,1,0.022076,5.239755,[15 17] ; [42 17],[20.04395604 11.95604396] ; [36.95604396 22.04395604],0
v4,1,0.022152,5.233787,[19 11] ; [50  9],[23.25842697  6.74157303] ; [45.74157303 13.25842697],0
a1,1,0.030787,4.664781,[ 4 28] ; [ 1 58],[ 1.75824176 30.24175824] ; [ 3.24175824 55.75824176],0
p6,1,0.038436,4.285601,[ 2 29] ; [14 44],[ 5.57303371 25.42696629] ; [10.42696629 47.57303371],0
p11,1,0.044719,4.029187,[16 16] ; [42 17],[20.3956044 11.6043956] ; [37.6043956 21.3956044],0
r3,1,0.048122,3.905734,[20 12] ; [48 11],[23.91208791  8.08791209] ; [44.08791209 14.91208791],0
p10,1,0.051422,3.794481,[12 19] ; [35 23],[16.37078652 14.62921348] ; [30.62921348 27.37078652],0
p9,1,0.073966,3.192741,[16 15] ; [41 17],[19.85393258 11.14606742] ; [37.14606742 20.85393258],0
r4,1,0.095671,2.776271,[16 16] ; [40 19],[19.69230769 12.30769231] ; [36.30769231 22.69230769],0
a6,1,0.099395,2.715219,[10 22] ; [29 30],[13.71428571 18.28571429] ; [25.28571429 33.71428571],0
s3,1,0.117696,2.44771,[19 13] ; [24 33],[15.46067416 16.53932584] ; [27.53932584 29.46067416],0
s8,1,0.126671,2.332839,[ 6 26] ; [20 39],[ 9.14285714 22.85714286] ; [16.85714286 42.14285714],0
u2,1,0.173554,1.851974,[10  7] ; [14 22],[7.69811321 9.30188679] ; [16.30188679 19.69811321],0
p5,1,0.22088,1.498642,[ 1 31] ; [ 6 52],[ 2.48888889 29.51111111] ; [ 4.51111111 53.48888889],0
u3,1,0.242238,1.367523,[8 9] ; [11 25],[ 6.09433962 10.90566038] ; [12.90566038 23.09433962],0
d1,1,0.245225,1.350307,[ 2 30] ; [ 1 58],[ 1.05494505 30.94505495] ; [ 1.94505495 57.05494505],0
b4,1,0.254499,1.298438,[15 17] ; [35 24],[17.58241758 14.41758242] ; [32.41758242 26.58241758],0
n2,1,0.265683,1.238901,[10  3] ; [11  8],[8.53125 4.46875] ; [12.46875  6.53125],0
p2,1,0.293299,1.104418,[17 15] ; [38 21],[19.34065934 12.65934066] ; [35.65934066 23.34065934],0
v1,1,0.300304,1.072843,[14 18] ; [19 39],[11.73333333 20.26666667] ; [21.26666667 36.73333333],0
a4,1,0.324723,0.969828,[ 7 25] ; [ 8 50],[ 5.33333333 26.66666667] ; [ 9.66666667 48.33333333],0
v2,1,0.378956,0.774087,[ 6 23] ; [16 38],[ 7.68674699 21.31325301] ; [14.31325301 39.68674699],0
s6,1,0.406813,0.688095,[12 20] ; [27 31],[13.86666667 18.13333333] ; [25.13333333 32.86666667],0
p1,1,0.428665,0.626436,[ 3 29] ; [ 9 50],[ 4.21978022 27.78021978] ; [ 7.78021978 51.21978022],0
s1,1,0.444109,0.585642,[ 1 31] ; [ 4 53],[ 1.79775281 30.20224719] ; [ 3.20224719 53.79775281],0
n1,1,0.466608,0.529996,[5 8] ; [ 5 14],[4.0625 8.9375] ; [ 5.9375 13.0625],0
b1,1,0.502184,0.450317,[17 15] ; [27 32],[15.47252747 16.52747253] ; [28.52747253 30.47252747],0
s7,1,0.502795,0.449032,[ 7 22] ; [18 40],[ 8.33333333 20.66666667] ; [16.66666667 41.33333333],0
a3,1,0.506812,0.440643,[15 17] ; [23 35],[13.51111111 18.48888889] ; [24.48888889 33.51111111],0
p7,1,0.514309,0.425291,[13 18] ; [29 30],[14.46666667 16.53333333] ; [27.53333333 31.46666667],0
n3,1,0.542802,0.37037,[8 4] ; [10  8],[7.2 4.8] ; [10.8  7.2],0
s4,1,0.574333,0.315485,[ 4 28] ; [10 49],[ 4.92307692 27.07692308] ; [ 9.07692308 49.92307692],0
s5,1,0.57627,0.312304,[ 5 26] ; [12 45],[ 5.98863636 25.01136364] ; [11.01136364 45.98863636],0
p4,1,0.635706,0.224402,[10 21] ; [22 37],[11.02222222 19.97777778] ; [20.97777778 38.02222222],0
b2,1,0.654914,0.199761,[ 8 12] ; [14 27],[ 7.21311475 12.78688525] ; [14.78688525 26.21311475],0
b3,1,0.654914,0.199761,[ 8 12] ; [14 27],[ 7.21311475 12.78688525] ; [14.78688525 26.21311475],0
a2,1,0.656828,0.1974,[ 1 31] ; [ 1 58],[ 0.7032967 31.2967033] ; [ 1.2967033 57.7032967],0
u1,1,0.656828,0.1974,[ 1 31] ; [ 1 58],[ 0.7032967 31.2967033] ; [ 1.2967033 57.7032967],0
d4,1,0.74491,0.105858,[11 20] ; [23 36],[11.71111111 19.28888889] ; [22.28888889 36.71111111],0
r1,1,0.816746,0.0537,[16 16] ; [31 28],[16.52747253 15.47252747] ; [30.47252747 28.52747253],0
r2,1,0.827478,0.047497,[23  8] ; [45 14],[23.42222222  7.57777778] ; [44.57777778 14.42222222],0
b5,1,0.835547,0.043095,[15 17] ; [29 30],[15.47252747 16.52747253] ; [28.52747253 30.47252747],0
s2,1,0.847575,0.036946,[10 22] ; [17 41],[ 9.6 22.4] ; [17.4 40.6],0
v3,1,0.8504,0.035573,[ 6 25] ; [12 45],[ 6.34090909 24.65909091] ; [11.65909091 45.34090909],0
d3,1,0.86333,0.029631,[ 7 25] ; [12 47],[ 6.68131868 25.31868132] ; [12.31868132 46.68131868],0
p3,1,0.925748,0.008685,[10 22] ; [19 40],[10.1978022 21.8021978] ; [18.8021978 40.1978022],0
