Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.001816,9.726673,[2 3] ; [ 3 68],[0.32894737 4.67105263] ; [ 4.67105263 66.32894737],0
s8,1,0.015956,5.807728,[4 1] ; [20 51],[1.57894737 3.42105263] ; [22.42105263 48.57894737],0
n4,1,0.13055,2.285947,[1 4] ; [39 32],[2.63157895 2.36842105] ; [37.36842105 33.63157895],0
r3,1,0.130845,2.282445,[4 1] ; [67  3],[4.73333333 0.26666667] ; [66.26666667  3.73333333],0
b3,1,0.134415,2.240763,[3 2] ; [10 27],[1.54761905 3.45238095] ; [11.45238095 25.54761905],0
b2,1,0.134415,2.240763,[3 2] ; [10 27],[1.54761905 3.45238095] ; [11.45238095 25.54761905],0
p4,1,0.15569,2.015596,[4 1] ; [33 37],[2.46666667 2.53333333] ; [34.53333333 35.46666667],0
b4,1,0.204771,1.608013,[4 1] ; [36 35],[2.63157895 2.36842105] ; [37.36842105 33.63157895],0
s3,1,0.216021,1.530612,[1 4] ; [34 36],[2.33333333 2.66666667] ; [32.66666667 37.33333333],0
p7,1,0.251889,1.312797,[4 1] ; [37 32],[2.77027027 2.22972973] ; [38.22972973 30.77027027],0
a6,1,0.266721,1.233535,[2 3] ; [46 25],[3.15789474 1.84210526] ; [44.84210526 26.15789474],0
b5,1,0.300301,1.072855,[4 1] ; [40 31],[2.89473684 2.10526316] ; [41.10526316 29.89473684],0
s5,1,0.321578,0.982516,[2 3] ; [14 53],[1.11111111 3.88888889] ; [14.88888889 52.11111111],0
p3,1,0.323559,0.974504,[3 2] ; [26 43],[1.95945946 3.04054054] ; [27.04054054 41.95945946],0
v3,1,0.351278,0.868836,[3 2] ; [26 41],[2.01388889 2.98611111] ; [26.98611111 40.01388889],0
a3,1,0.422896,0.642254,[3 2] ; [54 17],[3.75 1.25] ; [53.25 17.75],0
p8,1,0.450395,0.569658,[3 2] ; [29 39],[2.19178082 2.80821918] ; [29.80821918 38.19178082],0
p11,1,0.452939,0.563287,[4 1] ; [45 26],[3.22368421 1.77631579] ; [45.77631579 25.22368421],0
p6,1,0.487951,0.481042,[2 3] ; [17 49],[1.33802817 3.66197183] ; [17.66197183 48.33802817],0
d3,1,0.525467,0.403151,[4 1] ; [47 24],[3.35526316 1.64473684] ; [47.64473684 23.35526316],0
a7,1,0.525467,0.403151,[4 1] ; [47 24],[3.35526316 1.64473684] ; [47.64473684 23.35526316],0
a2,1,0.559145,0.341186,[1 4] ; [ 8 63],[0.59210526 4.40789474] ; [ 8.40789474 62.59210526],0
a4,1,0.623897,0.240428,[2 3] ; [21 50],[1.51315789 3.48684211] ; [21.48684211 49.51315789],0
a5,1,0.648089,0.208318,[4 1] ; [50 21],[3.55263158 1.44736842] ; [50.44736842 20.55263158],0
b1,1,0.68772,0.161565,[3 2] ; [36 35],[2.56578947 2.43421053] ; [36.43421053 34.56578947],0
n1,1,0.702918,0.145455,[1 1] ; [ 8 14],[0.75 1.25] ; [ 8.25 13.75],0
s4,1,0.716322,0.132044,[1 4] ; [10 61],[0.72368421 4.27631579] ; [10.27631579 60.72368421],0
n5,1,0.757097,0.095663,[2 3] ; [33 37],[2.33333333 2.66666667] ; [32.66666667 37.33333333],0
r4,1,0.789365,0.071362,[4 1] ; [53 18],[3.75 1.25] ; [53.25 17.75],0
v1,1,0.804159,0.061488,[3 2] ; [38 32],[2.73333333 2.26666667] ; [38.26666667 31.73333333],0
d1,1,0.825564,0.048574,[3 2] ; [39 32],[2.76315789 2.23684211] ; [39.23684211 31.76315789],0
r1,1,0.828382,0.046992,[4 1] ; [53 17],[3.8 1.2] ; [53.2 16.8],0
s6,1,0.900688,0.015573,[3 2] ; [40 30],[2.86666667 2.13333333] ; [40.13333333 29.86666667],0
d4,1,0.924927,0.008879,[4 1] ; [58 13],[4.07894737 0.92105263] ; [57.92105263 13.07894737],0
s7,1,0.957866,0.002791,[2 3] ; [26 41],[1.94444444 3.05555556] ; [26.05555556 40.94444444],0
d2,1,0.980126,0.000621,[2 3] ; [28 43],[1.97368421 3.02631579] ; [28.02631579 42.97368421],0
