Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.001262,10.396875,[12 14] ; [93 27],[18.69863014  7.30136986] ; [86.30136986 33.69863014],0
p3,1,0.001449,10.14199,[ 9 17] ; [81 38],[16.13793103  9.86206897] ; [73.86206897 45.13793103],0
n4,1,0.007124,7.241428,[14 12] ; [95 25],[19.4109589  6.5890411] ; [89.5890411 30.4109589],0
b1,1,0.009111,6.800891,[17  9] ; [45 75],[11.04109589 14.95890411] ; [50.95890411 69.04109589],0
d1,1,0.027786,4.841276,[ 9 17] ; [70 50],[14.06849315 11.93150685] ; [64.93150685 55.06849315],0
s1,1,0.030035,4.707284,[ 3 22] ; [  3 117],[ 1.03448276 23.96551724] ; [  4.96551724 115.03448276],0
p2,1,0.03597,4.398533,[19  6] ; [109  11],[22.06896552  2.93103448] ; [105.93103448  14.06896552],0
p10,1,0.039726,4.229557,[17  9] ; [99 20],[20.8  5.2] ; [95.2 23.8],0
a7,1,0.047432,3.930007,[15 11] ; [92 28],[19.05479452  6.94520548] ; [87.94520548 32.05479452],0
v4,1,0.134285,2.242254,[23  3] ; [115   5],[24.57534247  1.42465753] ; [113.42465753   6.57534247],0
p8,1,0.139071,2.188209,[12 13] ; [76 43],[15.27777778  9.72222222] ; [72.72222222 46.27777778],0
r2,1,0.145577,2.117992,[21  5] ; [107  11],[23.11111111  2.88888889] ; [104.88888889  13.11111111],0
s8,1,0.149885,2.073418,[ 4 22] ; [35 85],[ 6.94520548 19.05479452] ; [32.05479452 87.94520548],0
n1,1,0.15789,1.994317,[4 2] ; [ 8 15],[2.48275862 3.51724138] ; [ 9.51724138 13.48275862],0
d3,1,0.158158,1.991746,[14 12] ; [82 38],[17.09589041  8.90410959] ; [78.90410959 41.09589041],0
a4,1,0.158213,1.991228,[15 11] ; [51 69],[11.75342466 14.24657534] ; [54.24657534 65.75342466],0
v1,1,0.18542,1.753635,[11 14] ; [69 49],[13.98601399 11.01398601] ; [66.01398601 51.98601399],0
b4,1,0.20316,1.619511,[17  9] ; [62 58],[14.06849315 11.93150685] ; [64.93150685 55.06849315],0
p6,1,0.230554,1.437441,[ 7 18] ; [49 71],[ 9.65517241 15.34482759] ; [46.34482759 73.65517241],0
v3,1,0.25193,1.312571,[ 7 17] ; [48 67],[ 9.49640288 14.50359712] ; [45.50359712 69.49640288],0
v2,1,0.269316,1.220229,[11 13] ; [68 49],[13.44680851 10.55319149] ; [65.55319149 51.44680851],0
p9,1,0.277696,1.178332,[19  7] ; [98 21],[20.97931034  5.02068966] ; [96.02068966 22.97931034],0
s7,1,0.285265,1.141836,[ 5 18] ; [38 77],[ 7.16666667 15.83333333] ; [35.83333333 79.16666667],0
a3,1,0.295658,1.093679,[20  6] ; [79 40],[17.75172414  8.24827586] ; [81.24827586 37.75172414],0
d2,1,0.295963,1.092296,[ 9 17] ; [55 65],[11.39726027 14.60273973] ; [52.60273973 67.39726027],0
a8,1,0.29789,1.083617,[ 1 22] ; [12 91],[ 2.37301587 20.62698413] ; [10.62698413 92.37301587],0
u2,1,0.321813,0.981566,[4 2] ; [18 22],[2.86956522 3.13043478] ; [19.13043478 20.86956522],0
u1,1,0.373706,0.791305,[ 2 24] ; [ 17 103],[ 3.38356164 22.61643836] ; [ 15.61643836 104.38356164],0
u3,1,0.413022,0.670084,[4 2] ; [20 21],[3.06382979 2.93617021] ; [20.93617021 20.06382979],0
a6,1,0.450392,0.569664,[16 10] ; [83 37],[17.63013699  8.36986301] ; [81.36986301 38.63013699],0
p11,1,0.591368,0.288213,[21  5] ; [102  18],[21.90410959  4.09589041] ; [101.09589041  18.90410959],0
s5,1,0.676255,0.174372,[ 3 22] ; [ 18 100],[ 3.67132867 21.32867133] ; [ 17.32867133 100.67132867],0
s3,1,0.68537,0.164144,[ 8 17] ; [33 85],[ 7.16783217 17.83216783] ; [33.83216783 84.16783217],0
a1,1,0.703041,0.145328,[ 1 25] ; [  3 117],[ 0.71232877 25.28767123] ; [  3.28767123 116.71232877],0
r3,1,0.709614,0.138663,[23  3] ; [109  11],[23.50684932  2.49315068] ; [108.49315068  11.50684932],0
b5,1,0.73308,0.116303,[14 12] ; [69 51],[14.78082192 11.21917808] ; [68.21917808 51.78082192],0
n2,1,0.752976,0.099047,[5 2] ; [17  5],[5.31034483 1.68965517] ; [16.68965517  5.31034483],0
r4,1,0.753028,0.099004,[21  5] ; [100  20],[21.54794521  4.45205479] ; [99.45205479 20.54794521],0
d4,1,0.767512,0.087398,[19  7] ; [91 29],[19.5890411  6.4109589] ; [90.4109589 29.5890411],0
a2,1,0.783048,0.075817,[ 5 21] ; [26 94],[ 5.52054795 20.47945205] ; [25.47945205 94.52054795],0
b3,1,0.787862,0.072409,[6 9] ; [35 45],[6.47368421 8.52631579] ; [34.52631579 45.47368421],0
b2,1,0.787862,0.072409,[6 9] ; [35 45],[6.47368421 8.52631579] ; [34.52631579 45.47368421],0
p12,1,0.802852,0.062329,[ 1 25] ; [  6 114],[ 1.24657534 24.75342466] ; [  5.75342466 114.24657534],0
p7,1,0.80355,0.061879,[18  8] ; [86 34],[18.52054795  7.47945205] ; [85.47945205 34.52054795],0
p1,1,0.814799,0.054868,[ 3 23] ; [ 12 108],[ 2.67123288 23.32876712] ; [ 12.32876712 107.67123288],0
p5,1,0.834549,0.043627,[ 2 23] ; [ 11 107],[ 2.27272727 22.72727273] ; [ 10.72727273 107.27272727],0
n3,1,0.846922,0.037267,[6 1] ; [19  4],[5.83333333 1.16666667] ; [19.16666667  3.83333333],0
s4,1,0.851107,0.035234,[ 2 24] ; [  8 112],[ 1.78082192 24.21917808] ; [  8.21917808 111.78082192],0
a5,1,0.884659,0.021044,[19  7] ; [86 34],[18.69863014  7.30136986] ; [86.30136986 33.69863014],0
r1,1,0.908597,0.013181,[19  7] ; [89 31],[19.23287671  6.76712329] ; [88.76712329 31.23287671],0
d5,1,0.949158,0.004066,[20  6] ; [93 27],[20.12328767  5.87671233] ; [92.87671233 27.12328767],0
s2,1,0.984802,0.000363,[ 5 20] ; [24 95],[ 5.03472222 19.96527778] ; [23.96527778 95.03472222],0
