Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,47.684729,[31 65] ; [125  40],[57.37931034 38.62068966] ; [98.62068966 66.37931034],1
a6,1,1e-06,23.68116,[45 51] ; [127  39],[63.02290076 32.97709924] ; [108.97709924  57.02290076],1
d5,1,2.2e-05,17.974699,[54 42] ; [134  32],[68.88549618 27.11450382] ; [119.11450382  46.88549618],1
d4,1,6.1e-05,16.073953,[57 38] ; [137  29],[70.61302682 24.38697318] ; [123.38697318  42.61302682],1
v2,1,0.000144,14.452664,[25 66] ; [84 77],[39.36111111 51.63888889] ; [69.63888889 91.36111111],1
r3,1,0.000228,13.586882,[70 26] ; [149  16],[80.55172414 15.44827586] ; [138.44827586  26.55172414],1
d1,1,0.000259,13.342855,[28 68] ; [87 79],[42.13740458 53.86259542] ; [72.86259542 93.13740458],1
a2,1,0.000636,11.668279,[ 7 89] ; [ 40 126],[17.22137405 78.77862595] ; [ 29.77862595 136.22137405],1
u1,1,0.001289,10.357766,[ 3 93] ; [ 27 139],[10.99236641 85.00763359] ; [ 19.00763359 146.99236641],0
v4,1,0.001886,9.657334,[69 25] ; [146  19],[78.03088803 15.96911197] ; [136.96911197  28.03088803],0
r4,1,0.00229,9.301439,[59 37] ; [131  35],[69.61832061 26.38167939] ; [120.38167939  45.61832061],0
p10,1,0.011379,6.405185,[45 49] ; [105  59],[54.65116279 39.34883721] ; [95.34883721 68.65116279],0
b1,1,0.018417,5.556041,[49 47] ; [ 60 106],[39.9389313 56.0610687] ; [69.0610687 96.9389313],0
s8,1,0.0228,5.183676,[10 85] ; [ 36 130],[16.74329502 78.25670498] ; [ 29.25670498 136.74329502],0
v3,1,0.025466,4.99194,[18 73] ; [ 54 110],[25.69411765 65.30588235] ; [ 46.30588235 117.69411765],0
r1,1,0.038231,4.294724,[56 40] ; [117  48],[63.63218391 32.36781609] ; [109.36781609  55.63218391],0
u3,1,0.080619,3.052375,[15 26] ; [29 24],[19.19148936 21.80851064] ; [24.80851064 28.19148936],0
b5,1,0.081983,3.025136,[49 47] ; [103  63],[55.69465649 40.30534351] ; [96.30534351 69.69465649],0
a3,1,0.085494,2.957228,[55 40] ; [113  52],[61.38461538 33.61538462] ; [106.61538462  58.38461538],0
p2,1,0.092367,2.832624,[53 41] ; [111  55],[59.29230769 34.70769231] ; [104.70769231  61.29230769],0
u2,1,0.092474,2.830769,[16 24] ; [30 22],[20. 20.] ; [26. 26.],0
s1,1,0.121007,2.404233,[ 4 91] ; [  2 163],[ 2.19230769 92.80769231] ; [  3.80769231 161.19230769],0
a5,1,0.122489,2.385207,[52 44] ; [106  60],[57.89312977 38.10687023] ; [100.10687023  65.89312977],0
v1,1,0.141983,2.156337,[28 65] ; [64 99],[33.421875 59.578125] ; [ 58.578125 104.421875],0
s6,1,0.181933,1.781761,[31 64] ; [68 98],[36.03448276 58.96551724] ; [ 62.96551724 103.03448276],0
p3,1,0.183869,1.766071,[21 74] ; [ 49 116],[25.57692308 69.42307692] ; [ 44.42307692 120.57692308],0
s5,1,0.187437,1.737652,[18 73] ; [ 22 141],[14.33070866 76.66929134] ; [ 25.66929134 137.33070866],0
