Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.5e-05,18.761818,[134  37] ; [24 27],[121.7027027  49.2972973] ; [36.2972973 14.7027027],1
a3,1,0.000106,15.020621,[144  26] ; [31 21],[134.00900901  35.99099099] ; [40.99099099 11.00900901],1
s6,1,0.000616,11.728178,[149  19] ; [35 16],[141.15068493  26.84931507] ; [42.84931507  8.15068493],1
s3,1,0.000705,11.475,[139  31] ; [30 21],[130.  40.] ; [39. 12.],1
p5,1,0.0008,11.242223,[ 48 123] ; [ 3 49],[ 39.10762332 131.89237668] ; [11.89237668 40.10762332],1
v4,1,0.002397,9.21779,[167   2] ; [47  5],[163.64705882   5.35294118] ; [50.35294118  1.64705882],0
n6,1,0.006366,7.443792,[156  13] ; [41 11],[150.64705882  18.35294118] ; [46.35294118  5.64705882],0
d2,1,0.017572,5.638282,[83 88] ; [35 17],[90.48430493 80.51569507] ; [27.51569507 24.48430493],0
s5,1,0.018251,5.571936,[86 76] ; [17 33],[78.70754717 83.29245283] ; [24.29245283 25.70754717],0
n2,1,0.032647,4.564184,[28  5] ; [4 4],[25.75609756  7.24390244] ; [6.24390244 1.75609756],0
p1,1,0.036026,4.39587,[ 25 145] ; [ 2 50],[ 20.67567568 149.32432432] ; [ 6.32432432 45.67567568],0
n4,1,0.040838,4.182709,[146  25] ; [38 14],[141.0941704  29.9058296] ; [42.9058296  9.0941704],0
d1,1,0.043953,4.058365,[113  58] ; [42 10],[118.85650224  52.14349776] ; [36.14349776 15.85650224],0
u2,1,0.055105,3.678912,[19  8] ; [ 9 12],[15.75 11.25] ; [12.25  8.75],0
n5,1,0.075735,3.154133,[148  22] ; [40 12],[143.96396396  26.03603604] ; [44.03603604  7.96396396],0
u1,1,0.124393,2.361121,[ 36 135] ; [ 6 46],[ 32.20627803 138.79372197] ; [ 9.79372197 42.20627803],0
r2,1,0.125149,2.351662,[163   5] ; [47  4],[161.09589041   6.90410959] ; [48.90410959  2.09589041],0
v3,1,0.143351,2.141612,[87 81] ; [20 30],[82.4587156 85.5412844] ; [24.5412844 25.4587156],0
v2,1,0.150163,2.070589,[104  63] ; [26 25],[99.58715596 67.41284404] ; [30.41284404 20.58715596],0
p11,1,0.155521,2.017246,[149  22] ; [49  3],[151.82959641  19.17040359] ; [46.17040359  5.82959641],0
d5,1,0.164751,1.930068,[136  34] ; [46  6],[139.36936937  30.63063063] ; [42.63063063  9.36936937],0
a1,1,0.169753,1.885121,[ 12 159] ; [ 1 51],[  9.96860987 161.03139013] ; [ 3.03139013 48.96860987],0
u3,1,0.201559,1.631041,[19  8] ; [11 10],[16.875 10.125] ; [13.125  7.875],0
a4,1,0.247684,1.336319,[78 93] ; [19 33],[74.38116592 96.61883408] ; [22.61883408 29.38116592],0
b1,1,0.253855,1.301965,[ 67 104] ; [25 27],[ 70.5470852 100.4529148] ; [21.4529148 30.5470852],0
n3,1,0.291875,1.110951,[23 10] ; [4 4],[21.73170732 11.26829268] ; [5.26829268 2.73170732],0
u4,1,0.308153,1.038577,[  9 162] ; [ 1 51],[  7.66816143 163.33183857] ; [ 2.33183857 49.66816143],0
s4,1,0.316601,1.002936,[ 37 133] ; [ 8 44],[ 34.45945946 135.54054054] ; [10.54054054 41.45945946],0
p9,1,0.342227,0.90207,[161  10] ; [47  5],[159.49775785  11.50224215] ; [48.50224215  3.49775785],0
b4,1,0.362822,0.828101,[93 78] ; [32 20],[95.85201794 75.14798206] ; [29.14798206 22.85201794],0
r4,1,0.409036,0.6816,[159  12] ; [50  2],[160.26457399  10.73542601] ; [48.73542601  3.26457399],0
r3,1,0.461145,0.543115,[164   7] ; [51  1],[164.86547085   6.13452915] ; [50.13452915  1.86547085],0
a8,1,0.463352,0.537785,[ 30 129] ; [ 7 42],[ 28.28365385 130.71634615] ; [ 8.71634615 40.28365385],0
p10,1,0.470628,0.520501,[151  19] ; [48  4],[152.38738739  17.61261261] ; [46.61261261  5.38738739],0
n1,1,0.476782,0.506214,[17 16] ; [3 5],[16.09756098 16.90243902] ; [3.90243902 4.09756098],0
b5,1,0.502612,0.449416,[83 88] ; [28 24],[85.11659193 85.88340807] ; [25.88340807 26.11659193],0
p6,1,0.516773,0.420329,[99 69] ; [28 24],[96.98181818 71.01818182] ; [30.01818182 21.98181818],0
a6,1,0.566025,0.32938,[107  63] ; [35 17],[108.73873874  61.26126126] ; [33.26126126 18.73873874],0
v1,1,0.58653,0.295797,[113  56] ; [32 19],[111.38636364  57.61363636] ; [33.61363636 17.38636364],0
s1,1,0.588806,0.292213,[  7 164] ; [ 3 48],[  7.7027027 163.2972973] ; [ 2.2972973 48.7027027],0
p12,1,0.605651,0.266557,[ 25 146] ; [ 6 45],[ 23.87837838 147.12162162] ; [ 7.12162162 43.87837838],0
p7,1,0.611491,0.258009,[145  22] ; [42  8],[143.9124424  23.0875576] ; [43.0875576  6.9124424],0
a2,1,0.645792,0.211246,[ 38 133] ; [10 42],[ 36.80717489 134.19282511] ; [11.19282511 40.80717489],0
p4,1,0.676212,0.174422,[133  38] ; [39 13],[131.89237668  39.10762332] ; [40.10762332 11.89237668],0
a7,1,0.710472,0.137806,[116  55] ; [36 15],[117.08108108  53.91891892] ; [34.91891892 16.08108108],0
r1,1,0.735551,0.114076,[147  23] ; [44  8],[146.26126126  23.73873874] ; [44.73873874  7.26126126],0
d4,1,0.789762,0.071086,[148  22] ; [46  6],[148.55855856  21.44144144] ; [45.44144144  6.55855856],0
