Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,193.406408,[271  82] ; [115 314],[174.24296675 178.75703325] ; [211.75703325 217.24296675],1
s2,1,0.0,113.182281,[267 100] ; [157 288],[191.63546798 175.36453202] ; [232.36453202 212.63546798],1
s6,1,0.0,84.223206,[310  55] ; [239 198],[249.85660848 115.14339152] ; [299.14339152 137.85660848],1
s3,1,0.0,82.099044,[274  92] ; [190 250],[210.69975186 155.30024814] ; [253.30024814 186.69975186],1
s5,1,0.0,34.43529,[161 190] ; [112 322],[122.06751592 228.93248408] ; [150.93248408 283.06751592],1
p6,1,1e-06,25.063094,[169 197] ; [127 310],[134.91407223 231.08592777] ; [161.08592777 275.91407223],1
a3,1,2e-06,22.812941,[295  74] ; [289 157],[264.41226994 104.58773006] ; [319.58773006 126.41226994],1
d2,1,2e-06,22.746571,[213 157] ; [182 264],[179.10539216 190.89460784] ; [215.89460784 230.10539216],1
d1,1,2e-06,22.67386,[252 118] ; [232 217],[218.65689866 151.34310134] ; [265.34310134 183.65689866],1
p3,1,3e-06,22.103852,[220 150] ; [191 254],[186.58895706 183.41104294] ; [224.41104294 220.58895706],1
v1,1,9e-06,19.72775,[226 132] ; [209 232],[194.90613267 163.09386733] ; [240.09386733 200.90613267],1
p9,1,9e-06,19.632853,[333  34] ; [347  90],[310.39800995  56.60199005] ; [369.60199005  67.39800995],1
p10,1,2.3e-05,17.936213,[320  46] ; [333 107],[296.5235732  69.4764268] ; [356.4764268  83.5235732],1
v3,1,2.6e-05,17.65962,[170 182] ; [144 286],[141.34015345 210.65984655] ; [172.65984655 257.34015345],1
p5,1,4.9e-05,16.474183,[ 57 308] ; [ 30 415],[ 39.2037037 325.7962963] ; [ 47.7962963 397.2037037],1
p4,1,5e-05,16.461149,[248 121] ; [235 207],[219.76202219 149.23797781] ; [263.23797781 178.76202219],1
n5,1,0.000127,14.690036,[298  70] ; [308 137],[274.30258303  93.69741697] ; [331.69741697 113.30258303],1
u1,1,0.000241,13.481774,[ 89 281] ; [ 63 386],[ 68.66910867 301.33089133] ; [ 83.33089133 365.66910867],1
a5,1,0.000269,13.276615,[296  74] ; [308 140],[273.20293399  96.79706601] ; [330.79706601 117.20293399],1
b2,1,0.00049,12.154362,[114 138] ; [ 73 170],[ 95.2 156.8] ; [ 91.8 151.2],1
b3,1,0.00049,12.154362,[114 138] ; [ 73 170],[ 95.2 156.8] ; [ 91.8 151.2],1
p12,1,0.00064,11.656325,[ 42 324] ; [ 22 421],[ 28.95426452 337.04573548] ; [ 35.04573548 407.95426452],1
p7,1,0.000658,11.603618,[253 107] ; [255 180],[230.03773585 129.96226415] ; [277.96226415 157.03773585],1
n4,1,0.001095,10.659836,[304  64] ; [327 121],[284.56862745  83.43137255] ; [346.43137255 101.56862745],0
d5,1,0.001355,10.266011,[318  51] ; [346 101],[300.26470588  68.73529412] ; [363.73529412  83.26470588],0
u4,1,0.001534,10.037328,[ 16 354] ; [  4 445],[  9.03540904 360.96459096] ; [ 10.96459096 438.03540904],0
p8,1,0.004214,8.189252,[211 153] ; [210 229],[190.83935243 173.16064757] ; [230.16064757 208.83935243],0
n6,1,0.004253,8.172491,[327  41] ; [365  82],[312.46134969  55.53865031] ; [379.53865031  67.46134969],0
v2,1,0.011726,6.351763,[218 135] ; [227 203],[200.61941252 152.38058748] ; [244.38058748 185.61941252],0
a8,1,0.014267,6.004747,[ 59 277] ; [ 46 362],[ 47.41935484 288.58064516] ; [ 57.58064516 350.41935484],0
a2,1,0.025734,4.973796,[104 266] ; [ 96 353],[ 90.35409035 279.64590965] ; [109.64590965 339.35409035],0
u3,1,0.027297,4.871924,[54 21] ; [90 68],[46.35193133 28.64806867] ; [97.64806867 60.35193133],0
b1,1,0.039038,4.259215,[152 218] ; [153 296],[137.78998779 232.21001221] ; [167.21001221 281.78998779],0
u2,1,0.040362,4.202594,[49 25] ; [82 76],[41.78448276 32.21551724] ; [89.21551724 68.78448276],0
r1,1,0.058854,3.569397,[325  43] ; [374  73],[315.62208589  52.37791411] ; [383.37791411  63.62208589],0
d4,1,0.071401,3.250505,[314  55] ; [358  88],[304.25521472  64.74478528] ; [367.74478528  78.25521472],0
a4,1,0.073125,3.211444,[180 190] ; [189 257],[167.31617647 202.68382353] ; [201.68382353 244.31617647],0
p1,1,0.086778,2.933143,[ 39 329] ; [ 32 413],[ 32.13776138 335.86223862] ; [ 38.86223862 406.13776138],0
v4,1,0.092766,2.825706,[365   5] ; [433  14],[361.39534884   8.60465116] ; [436.60465116  10.39534884],0
n1,1,0.094979,2.787897,[35 39] ; [34 64],[29.68604651 44.31395349] ; [39.31395349 58.68604651],0
s4,1,0.100647,2.695254,[ 72 296] ; [ 67 374],[ 63.22867738 304.77132262] ; [ 75.77132262 365.22867738],0
a1,1,0.10476,2.631547,[ 21 349] ; [ 15 434],[ 16.26373626 353.73626374] ; [ 19.73626374 429.26373626],0
a7,1,0.118559,2.436254,[262 107] ; [339 108],[271.77573529  97.22426471] ; [329.22426471 117.77573529],0
n3,1,0.244553,1.354158,[54 21] ; [78 20],[57.22543353 17.77456647] ; [74.77456647 23.22543353],0
n2,1,0.250074,1.322891,[55 21] ; [79 20],[58.19428571 17.80571429] ; [75.80571429 23.19428571],0
p11,1,0.256676,1.286597,[298  72] ; [347 102],[291.39194139  78.60805861] ; [353.60805861  95.39194139],0
p2,1,0.392427,0.731409,[311  58] ; [365  80],[306.44226044  62.55773956] ; [369.55773956  75.44226044],0
a6,1,0.442537,0.589695,[250 119] ; [314 133],[255.04411765 113.95588235] ; [308.95588235 138.04411765],0
b4,1,0.449592,0.571681,[212 158] ; [269 180],[217.3015873 152.6984127] ; [263.6984127 185.3015873],0
r3,1,0.527498,0.39921,[362   8] ; [440   7],[363.20685435   6.79314565] ; [438.79314565   8.20685435],0
d3,1,0.668389,0.183492,[259 111] ; [306 140],[256.18872549 113.81127451] ; [308.81127451 137.18872549],0
s1,1,0.755618,0.09687,[ 13 351] ; [ 14 427],[ 12.20869565 351.79130435] ; [ 14.79130435 426.20869565],0
b5,1,0.765274,0.08914,[222 148] ; [274 175],[224.07814408 145.92185592] ; [271.92185592 177.07814408],0
