Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,25.124802,[90 32] ; [ 7 22],[78.37086093 43.62913907] ; [18.62913907 10.37086093],1
p10,1,0.000591,11.802835,[100  22] ; [15 14],[92.91390728 29.08609272] ; [22.08609272  6.91390728],1
v4,1,0.004441,8.094122,[114   8] ; [22  7],[109.8807947  12.1192053] ; [26.1192053  2.8807947],0
p9,1,0.013104,6.155045,[107  15] ; [20  9],[102.60927152  19.39072848] ; [24.39072848  4.60927152],0
s7,1,0.016006,5.802198,[51 66] ; [ 5 22],[45.5 71.5] ; [10.5 16.5],0
s3,1,0.031104,4.647228,[64 56] ; [ 9 20],[58.79194631 61.20805369] ; [14.20805369 14.79194631],0
a4,1,0.036006,4.396801,[41 81] ; [ 4 25],[36.35761589 85.64238411] ; [ 8.64238411 20.35761589],0
b4,1,0.040054,4.215599,[76 46] ; [12 17],[71.09933775 50.90066225] ; [16.90066225 12.09933775],0
a3,1,0.043832,4.06301,[71 50] ; [11 18],[66.14666667 54.85333333] ; [15.85333333 13.14666667],0
u3,1,0.047681,3.921197,[25 26] ; [ 4 14],[21.43478261 29.56521739] ; [ 7.56521739 10.43478261],0
s8,1,0.061264,3.502834,[43 79] ; [ 5 24],[38.78145695 83.21854305] ; [ 9.21854305 19.78145695],0
d5,1,0.065569,3.390612,[88 33] ; [16 13],[83.89333333 37.10666667] ; [20.10666667  8.89333333],0
n6,1,0.072,3.236837,[102  20] ; [20  9],[98.56953642 23.43046358] ; [23.43046358  5.56953642],0
d4,1,0.076238,3.143333,[88 34] ; [16 13],[84.02649007 37.97350993] ; [19.97350993  9.02649007],0
v3,1,0.095049,2.786712,[40 81] ; [ 5 24],[36.3 84.7] ; [ 8.7 20.3],0
r3,1,0.12218,2.389154,[109  13] ; [22  6],[106.54666667  15.45333333] ; [24.45333333  3.54666667],0
a7,1,0.128289,2.313087,[77 44] ; [14 15],[73.40666667 47.59333333] ; [17.59333333 11.40666667],0
a5,1,0.137322,2.20772,[65 57] ; [11 18],[61.40397351 60.59602649] ; [14.59602649 14.40397351],0
b1,1,0.142153,2.154493,[45 77] ; [15 14],[48.47682119 73.52317881] ; [11.52317881 17.47682119],0
n2,1,0.144535,2.129,[28  8] ; [8 6],[25.92 10.08] ; [10.08  3.92],0
v1,1,0.151017,2.061952,[54 64] ; [ 9 20],[50.57142857 67.42857143] ; [12.42857143 16.57142857],0
p12,1,0.181132,1.788309,[  5 116] ; [ 3 26],[  6.45333333 114.54666667] ; [ 1.54666667 27.45333333],0
b5,1,0.193226,1.692849,[79 43] ; [15 14],[75.94701987 46.05298013] ; [18.05298013 10.94701987],0
d1,1,0.209138,1.57738,[49 73] ; [ 8 21],[46.05298013 75.94701987] ; [10.94701987 18.05298013],0
n1,1,0.21728,1.522243,[14 21] ; [ 3 11],[12.14285714 22.85714286] ; [4.85714286 9.14285714],0
d2,1,0.22217,1.4903,[44 78] ; [ 7 22],[41.20529801 80.79470199] ; [ 9.79470199 19.20529801],0
s2,1,0.233106,1.421808,[57 65] ; [10 19],[54.13245033 67.86754967] ; [12.86754967 16.13245033],0
p6,1,0.302903,1.06137,[45 74] ; [ 8 21],[42.61486486 76.38513514] ; [10.38513514 18.61486486],0
n3,1,0.328779,0.953701,[28  8] ; [9 5],[26.64  9.36] ; [10.36  3.64],0
b2,1,0.385599,0.752777,[22 45] ; [ 4 14],[20.49411765 46.50588235] ; [ 5.50588235 12.49411765],0
b3,1,0.385599,0.752777,[22 45] ; [ 4 14],[20.49411765 46.50588235] ; [ 5.50588235 12.49411765],0
s4,1,0.405991,0.690511,[25 97] ; [ 8 21],[26.66225166 95.33774834] ; [ 6.33774834 22.66225166],0
a8,1,0.415432,0.663202,[ 11 105] ; [ 4 23],[ 12.16783217 103.83216783] ; [ 2.83216783 24.16783217],0
p4,1,0.416589,0.659918,[65 56] ; [18 11],[66.95333333 54.04666667] ; [16.04666667 12.95333333],0
s5,1,0.475224,0.509803,[31 83] ; [ 6 23],[29.4965035 84.5034965] ; [ 7.5034965 21.4965035],0
p3,1,0.498363,0.458421,[59 63] ; [12 17],[57.36423841 64.63576159] ; [13.63576159 15.36423841],0
p1,1,0.524987,0.404086,[  8 114] ; [ 1 28],[  7.27152318 114.72847682] ; [ 1.72847682 27.27152318],0
p5,1,0.533734,0.387277,[ 12 110] ; [ 4 25],[ 12.92715232 109.07284768] ; [ 3.07284768 25.92715232],0
s6,1,0.590352,0.289795,[67 50] ; [15 14],[65.71232877 51.28767123] ; [16.28767123 12.71232877],0
n4,1,0.659549,0.194072,[81 41] ; [18 11],[79.98675497 42.01324503] ; [19.01324503  9.98675497],0
a6,1,0.659949,0.193585,[66 56] ; [17 12],[67.05960265 54.94039735] ; [15.94039735 13.05960265],0
u2,1,0.685918,0.16354,[25 25] ; [10  8],[25.73529412 24.26470588] ; [9.26470588 8.73529412],0
p7,1,0.720836,0.127693,[70 49] ; [16 13],[69.14864865 49.85135135] ; [16.85135135 12.14864865],0
v2,1,0.738441,0.111502,[50 71] ; [11 18],[49.20666667 71.79333333] ; [11.79333333 17.20666667],0
n5,1,0.794805,0.06764,[83 39] ; [19 10],[82.41059603 39.58940397] ; [19.58940397  9.41059603],0
a1,1,0.812708,0.056138,[  7 115] ; [ 2 27],[  7.27152318 114.72847682] ; [ 1.72847682 27.27152318],0
p8,1,0.892792,0.018164,[55 64] ; [13 16],[54.67567568 64.32432432] ; [13.32432432 15.67567568],0
d3,1,0.94873,0.004135,[67 53] ; [16 13],[66.84563758 53.15436242] ; [16.15436242 12.84563758],0
p11,1,0.966706,0.001742,[93 29] ; [22  7],[92.91390728 29.08609272] ; [22.08609272  6.91390728],0
