Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,63.589285,[ 36 132] ; [152  97],[75.74100719 92.25899281] ; [112.25899281 136.74100719],1
v1,1,0.0,31.674135,[79 88] ; [188  65],[106.16428571  60.83571429] ; [160.83571429  92.16428571],1
b1,1,0.002772,8.951855,[84 88] ; [ 88 168],[ 69.12149533 102.87850467] ; [102.87850467 153.12149533],0
s4,1,0.005754,7.625923,[ 41 127] ; [ 35 218],[ 30.32779097 137.67220903] ; [ 45.67220903 207.32779097],0
s1,1,0.006918,7.294148,[ 11 157] ; [  4 250],[  5.97156398 162.02843602] ; [  9.02843602 244.97156398],0
a2,1,0.010704,6.513849,[ 34 138] ; [ 79 177],[ 45.41121495 126.58878505] ; [ 67.58878505 188.41121495],0
a5,1,0.021375,5.295928,[125  47] ; [210  46],[134.62616822  37.37383178] ; [200.37383178  55.62616822],0
p12,1,0.022787,5.184686,[ 11 161] ; [ 34 222],[ 18.08411215 153.91588785] ; [ 26.91588785 229.08411215],0
u1,1,0.036627,4.367694,[ 29 143] ; [ 65 191],[ 37.77570093 134.22429907] ; [ 56.22429907 199.77570093],0
a3,1,0.03704,4.348554,[119  52] ; [201  55],[128.1498829  42.8501171] ; [191.8501171  64.1498829],0
p11,1,0.054913,3.684725,[138  34] ; [223  33],[145.07476636  26.92523364] ; [215.92523364  40.07476636],0
d2,1,0.056223,3.64543,[83 89] ; [147 108],[92.64637002 79.35362998] ; [137.35362998 117.64637002],0
n2,1,0.058384,3.582714,[19 10] ; [34  6],[22.27536232  6.72463768] ; [30.72463768  9.27536232],0
d1,1,0.059055,3.563728,[103  69] ; [176  80],[112.12149533  59.87850467] ; [166.87850467  89.12149533],0
d4,1,0.063075,3.454614,[136  35] ; [221  35],[142.96721311  28.03278689] ; [214.03278689  41.96721311],0
p3,1,0.075991,3.148614,[109  62] ; [184  72],[117.33723653  53.66276347] ; [175.66276347  80.33723653],0
a7,1,0.076941,3.128361,[119  53] ; [196  59],[126.8852459  45.1147541] ; [188.1147541  66.8852459],0
d3,1,0.094478,2.796362,[117  55] ; [193  63],[124.57943925  47.42056075] ; [185.42056075  70.57943925],0
s3,1,0.095056,2.786598,[111  60] ; [142 108],[102.76247031  68.23752969] ; [150.23752969  99.76247031],0
p8,1,0.124926,2.354447,[107  63] ; [178  76],[114.26886792  55.73113208] ; [170.73113208  83.26886792],0
r1,1,0.130384,2.287925,[136  35] ; [218  38],[141.76580796  29.23419204] ; [212.23419204  43.76580796],0
n3,1,0.134891,2.235298,[17 11] ; [31  9],[19.76470588  8.23529412] ; [28.23529412 11.76470588],0
p9,1,0.14527,2.121232,[152  20] ; [235  19],[156.25352113  15.74647887] ; [230.74647887  23.25352113],0
d5,1,0.147166,2.101384,[141  30] ; [224  32],[146.17096019  24.82903981] ; [218.82903981  37.17096019],0
p1,1,0.161012,1.964696,[ 22 150] ; [ 22 234],[ 17.68224299 154.31775701] ; [ 26.31775701 229.68224299],0
p7,1,0.171234,1.87211,[121  50] ; [194  59],[127.04009434  43.95990566] ; [187.95990566  65.04009434],0
p10,1,0.18484,1.758274,[147  23] ; [231  24],[151.2  18.8] ; [226.8  28.2],0
a1,1,0.204613,1.60914,[  6 166] ; [ 16 240],[  8.8411215 163.1588785] ; [ 13.1588785 242.8411215],0
r4,1,0.239155,1.385571,[156  16] ; [240  16],[159.14018692  12.85981308] ; [236.85981308  19.14018692],0
b4,1,0.242569,1.365601,[93 79] ; [153 103],[98.85981308 73.14018692] ; [147.14018692 108.85981308],0
r3,1,0.255808,1.291301,[161  10] ; [246   9],[163.37323944   7.62676056] ; [243.62676056  11.37323944],0
a6,1,0.332249,0.940112,[114  58] ; [181  75],[118.55140187  53.44859813] ; [176.44859813  79.55140187],0
s5,1,0.336448,0.923921,[ 61 104] ; [103 144],[65.67961165 99.32038835] ; [ 98.32038835 148.67961165],0
a8,1,0.373147,0.793157,[ 20 139] ; [ 35 186],[ 23.01315789 135.98684211] ; [ 31.98684211 189.01315789],0
u4,1,0.481836,0.494705,[  4 168] ; [  9 247],[  5.22429907 166.77570093] ; [  7.77570093 248.22429907],0
s8,1,0.492843,0.470314,[87 85] ; [136 116],[90.46226415 81.53773585] ; [132.53773585 119.46226415],0
v4,1,0.53379,0.387171,[166   6] ; [242  12],[164.73239437   7.26760563] ; [243.26760563  10.73239437],0
a4,1,0.540179,0.375208,[82 89] ; [130 125],[85.09859155 85.90140845] ; [126.90140845 128.09859155],0
b3,1,0.549448,0.358308,[46 64] ; [ 65 105],[43.60714286 66.39285714] ; [ 67.39285714 102.60714286],0
b2,1,0.549448,0.358308,[46 64] ; [ 65 105],[43.60714286 66.39285714] ; [ 67.39285714 102.60714286],0
s7,1,0.572984,0.317715,[95 68] ; [146  93],[97.71890547 65.28109453] ; [143.28109453  95.71890547],0
n1,1,0.64944,0.206607,[15 14] ; [18 21],[14.07352941 14.92647059] ; [18.92647059 20.07352941],0
u3,1,0.672323,0.178897,[32 21] ; [31 24],[30.91666667 22.08333333] ; [32.08333333 22.91666667],0
s6,1,0.71058,0.137698,[125  43] ; [190  60],[126.60287081  41.39712919] ; [188.39712919  61.60287081],0
