Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.00096,10.90373,[60 42] ; [ 3 15],[53.55 48.45] ; [9.45 8.55],1
p7,1,0.003589,8.480825,[33 66] ; [12  5],[38.40517241 60.59482759] ; [ 6.59482759 10.40517241],0
p8,1,0.004612,8.025496,[23 77] ; [10  8],[27.96610169 72.03389831] ; [ 5.03389831 12.96610169],0
b5,1,0.005391,7.743266,[55 47] ; [16  2],[60.35 41.65] ; [10.65  7.35],0
p2,1,0.016181,5.78306,[54 48] ; [15  3],[58.65 43.35] ; [10.35  7.65],0
a3,1,0.017071,5.689109,[64 37] ; [ 6 12],[59.41176471 41.58823529] ; [10.58823529  7.41176471],0
s8,1,0.021623,5.275849,[20 82] ; [ 8 10],[23.8 78.2] ; [ 4.2 13.8],0
n4,1,0.167185,1.908002,[52 50] ; [ 6 12],[49.3 52.7] ; [8.7 9.3],0
r1,1,0.173971,1.848384,[68 34] ; [9 9],[65.45 36.55] ; [11.55  6.45],0
s4,1,0.17612,1.830065,[11 91] ; [ 4 14],[12.75 89.25] ; [ 2.25 15.75],0
v4,1,0.190231,1.715825,[74 25] ; [16  2],[76.15384615 22.84615385] ; [13.84615385  4.15384615],0
p11,1,0.191732,1.704261,[51 51] ; [12  6],[53.55 48.45] ; [9.45 8.55],0
a4,1,0.217652,1.519787,[38 64] ; [ 4 14],[35.7 66.3] ; [ 6.3 11.7],0
n5,1,0.223243,1.483404,[46 55] ; [11  7],[48.37815126 52.62184874] ; [8.62184874 9.37815126],0
s2,1,0.252172,1.311229,[31 70] ; [ 8 10],[33.10084034 67.89915966] ; [ 5.89915966 12.10084034],0
v2,1,0.269045,1.221608,[34 60] ; [9 9],[36.08928571 57.91071429] ; [ 6.91071429 11.08928571],0
n3,1,0.270806,1.212661,[25 18] ; [7 2],[26.46153846 16.53846154] ; [5.53846154 3.46153846],0
p4,1,0.292906,1.106216,[27 74] ; [ 7 11],[28.85714286 72.14285714] ; [ 5.14285714 12.85714286],0
b3,1,0.313143,1.017371,[15 45] ; [3 4],[16.11940299 43.88059701] ; [1.88059701 5.11940299],0
b2,1,0.313143,1.017371,[15 45] ; [3 4],[16.11940299 43.88059701] ; [1.88059701 5.11940299],0
n2,1,0.372355,0.795789,[28 17] ; [7 2],[29.16666667 15.83333333] ; [5.83333333 3.16666667],0
p5,1,0.37766,0.778306,[ 2 98] ; [ 1 17],[ 2.54237288 97.45762712] ; [ 0.45762712 17.54237288],0
u1,1,0.412262,0.672269,[ 6 96] ; [ 2 16],[ 6.8 95.2] ; [ 1.2 16.8],0
r3,1,0.42012,0.649979,[76 26] ; [15  3],[77.35 24.65] ; [13.65  4.35],0
s7,1,0.505275,0.443839,[26 69] ; [ 6 11],[27.14285714 67.85714286] ; [ 4.85714286 12.14285714],0
r4,1,0.531168,0.392157,[60 42] ; [12  6],[61.2 40.8] ; [10.8  7.2],0
a8,1,0.540335,0.37492,[11 86] ; [ 1 15],[10.30088496 86.69911504] ; [ 1.69911504 14.30088496],0
n1,1,0.546802,0.363078,[17 27] ; [4 4],[17.76923077 26.23076923] ; [3.23076923 4.76923077],0
d1,1,0.582361,0.302433,[41 61] ; [ 6 12],[39.95 62.05] ; [ 7.05 10.95],0
d3,1,0.625239,0.238572,[59 42] ; [11  6],[59.91525424 41.08474576] ; [10.08474576  6.91525424],0
b4,1,0.679802,0.170349,[57 45] ; [11  7],[57.8 44.2] ; [10.2  7.8],0
d5,1,0.681495,0.168447,[68 33] ; [13  5],[68.74789916 32.25210084] ; [12.25210084  5.74789916],0
u3,1,0.682601,0.167213,[21 16] ; [6 6],[20.3877551 16.6122449] ; [6.6122449 5.3877551],0
s6,1,0.699745,0.148737,[40 61] ; [ 8 10],[40.7394958 60.2605042] ; [ 7.2605042 10.7394958],0
s5,1,0.70575,0.142559,[14 85] ; [ 3 14],[14.50862069 84.49137931] ; [ 2.49137931 14.50862069],0
r2,1,0.728458,0.120532,[79 20] ; [15  3],[79.53846154 19.46153846] ; [14.46153846  3.53846154],0
a7,1,0.750248,0.101323,[64 38] ; [12  6],[64.6 37.4] ; [11.4  6.6],0
p1,1,0.755977,0.096577,[ 4 97] ; [ 1 17],[ 4.24369748 96.75630252] ; [ 0.75630252 17.24369748],0
s1,1,0.769562,0.085818,[ 8 93] ; [ 1 16],[ 7.70338983 93.29661017] ; [ 1.29661017 15.70338983],0
v1,1,0.773635,0.082727,[35 64] ; [ 7 11],[35.53846154 63.46153846] ; [ 6.46153846 11.53846154],0
d4,1,0.784606,0.074705,[69 31] ; [13  5],[69.49152542 30.50847458] ; [12.50847458  5.49152542],0
d2,1,0.788294,0.072106,[37 64] ; [ 6 12],[36.49579832 64.50420168] ; [ 6.50420168 11.49579832],0
p9,1,0.805228,0.060805,[58 42] ; [11  7],[58.47457627 41.52542373] ; [10.52542373  7.47457627],0
u2,1,0.825283,0.048733,[24 14] ; [8 4],[24.32 13.68] ; [7.68 4.32],0
b1,1,0.878021,0.023556,[49 53] ; [9 9],[49.3 52.7] ; [8.7 9.3],0
a6,1,0.918779,0.010398,[63 38] ; [11  7],[62.80672269 38.19327731] ; [11.19327731  6.80672269],0
v3,1,0.931085,0.007479,[22 73] ; [ 4 14],[21.85840708 73.14159292] ; [ 4.14159292 13.85840708],0
s3,1,0.935473,0.006555,[46 54] ; [8 9],[46.15384615 53.84615385] ; [7.84615385 9.15384615],0
p10,1,0.937729,0.006103,[51 49] ; [9 9],[50.84745763 49.15254237] ; [9.15254237 8.84745763],0
