Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.758684,[124  24] ; [91 65],[104.67105263  43.32894737] ; [110.32894737  45.67105263],1
p3,1,1e-06,23.739505,[105  45] ; [68 92],[83.70967742 66.29032258] ; [89.29032258 70.70967742],1
p4,1,2e-06,22.216728,[121  29] ; [89 71],[101.61290323  48.38709677] ; [108.38709677  51.61290323],1
p8,1,1.3e-05,18.946677,[104  47] ; [70 88],[85.02912621 65.97087379] ; [88.97087379 69.02912621],1
p5,1,2.6e-05,17.717024,[ 37 114] ; [ 11 145],[ 23.60912052 127.39087948] ; [ 24.39087948 131.60912052],1
s5,1,0.001183,10.517428,[88 50] ; [70 86],[74.16326531 63.83673469] ; [83.83673469 72.16326531],0
p12,1,0.001893,9.650467,[ 25 126] ; [  9 152],[ 16.45512821 134.54487179] ; [ 17.54487179 143.45512821],0
s3,1,0.017529,5.642572,[131  19] ; [151   8],[136.89320388  13.10679612] ; [145.10679612  13.89320388],0
b3,1,0.023983,5.095837,[52 52] ; [39 73],[43.81481481 60.18518519] ; [47.18518519 64.81481481],0
b2,1,0.023983,5.095837,[52 52] ; [39 73],[43.81481481 60.18518519] ; [47.18518519 64.81481481],0
a4,1,0.029568,4.734227,[88 63] ; [74 87],[78.40384615 72.59615385] ; [83.59615385 77.40384615],0
v1,1,0.035096,4.440483,[98 51] ; [83 71],[89.00660066 59.99339934] ; [91.99339934 62.00660066],0
d2,1,0.041453,4.157401,[95 55] ; [83 77],[86.12903226 63.87096774] ; [91.87096774 68.12903226],0
p1,1,0.045572,3.997347,[ 23 127] ; [ 13 148],[ 17.36334405 132.63665595] ; [ 18.63665595 142.36334405],0
a1,1,0.054099,3.70963,[ 15 136] ; [  7 154],[ 10.6474359 140.3525641] ; [ 11.3525641 149.6474359],0
u3,1,0.072883,3.216877,[22  4] ; [19 11],[19.03571429  6.96428571] ; [21.96428571  8.03571429],0
p9,1,0.094326,2.798946,[142   9] ; [141  18],[137.8483871  13.1516129] ; [145.1516129  13.8483871],0
n6,1,0.097339,2.748611,[137  12] ; [135  22],[132.44444444  16.55555556] ; [139.55555556  17.44444444],0
d1,1,0.098939,2.722559,[108  43] ; [101  60],[101.15064103  49.84935897] ; [107.84935897  53.15064103],0
u1,1,0.103137,2.656354,[ 45 106] ; [ 35 126],[ 38.71794872 112.28205128] ; [ 41.28205128 119.71794872],0
a5,1,0.121286,2.400638,[126  25] ; [123  38],[120.50961538  30.49038462] ; [128.49038462  32.50961538],0
n1,1,0.125788,2.34373,[18 11] ; [15 20],[14.953125 14.046875] ; [18.046875 16.953125],0
u2,1,0.138053,2.199531,[19  7] ; [15 13],[16.37037037  9.62962963] ; [17.62962963 10.37037037],0
