Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,51.526062,[12 92] ; [116 101],[41.47040498 62.52959502] ; [ 86.52959502 130.47040498],1
d2,1,0.0,33.457342,[23 81] ; [122  94],[47.125 56.875] ; [ 97.875 118.125],1
a6,1,0.0,31.10566,[59 45] ; [184  32],[78.975 25.025] ; [164.025  51.975],1
n4,1,0.0,27.829019,[50 53] ; [169  48],[70.490625 32.509375] ; [148.509375  68.490625],1
d1,1,0.0,26.242996,[37 67] ; [143  74],[58.31775701 45.68224299] ; [121.68224299  95.31775701],1
a3,1,3e-06,21.78443,[53 51] ; [166  50],[71.175 32.825] ; [147.825  68.175],1
u1,1,5e-05,16.462937,[ 5 99] ; [ 50 167],[17.81931464 86.18068536] ; [ 37.18068536 179.81931464],1
d5,1,0.000542,11.966607,[72 32] ; [185  31],[83.525 20.475] ; [173.475  42.525],1
r1,1,0.000915,10.992454,[69 35] ; [179  37],[80.6 23.4] ; [167.4  48.6],1
d3,1,0.001432,10.16357,[66 37] ; [174  42],[77.49216301 25.50783699] ; [162.50783699  53.49216301],0
p4,1,0.004006,8.281221,[39 64] ; [119  97],[51.01567398 51.98432602] ; [106.98432602 109.01567398],0
p9,1,0.005168,7.819633,[67 33] ; [174  40],[76.75159236 23.24840764] ; [164.24840764  49.75159236],0
v2,1,0.00959,6.709528,[34 67] ; [102 105],[44.5974026 56.4025974] ; [ 91.4025974 115.5974026],0
p10,1,0.015754,5.83015,[67 34] ; [169  45],[75.66984127 25.33015873] ; [160.33015873  53.66984127],0
n5,1,0.020469,5.371464,[56 47] ; [145  69],[65.30914826 37.69085174] ; [135.69085174  78.30914826],0
p12,1,0.02228,5.223806,[  1 102] ; [ 15 201],[ 5.1661442 97.8338558] ; [ 10.8338558 205.1661442],0
r2,1,0.034292,4.480099,[91 13] ; [200  12],[95.7721519  8.2278481] ; [195.2278481  16.7721519],0
p3,1,0.050382,3.828714,[32 72] ; [ 91 125],[39.975 64.025] ; [ 83.025 132.975],0
r4,1,0.051486,3.792402,[83 21] ; [191  26],[88.77258567 15.22741433] ; [185.22741433  31.77258567],0
d4,1,0.052662,3.754624,[80 24] ; [185  31],[86.125 17.875] ; [178.875  37.125],0
a1,1,0.081019,3.044345,[  2 102] ; [ 14 203],[ 5.18380062 98.81619938] ; [ 10.81619938 206.18380062],0
s4,1,0.085225,2.962323,[24 77] ; [ 34 182],[18.47949527 82.52050473] ; [ 39.52050473 176.47949527],0
p5,1,0.11051,2.546917,[ 4 99] ; [ 19 196],[ 7.44968553 95.55031447] ; [ 15.55031447 199.44968553],0
s5,1,0.158453,1.988929,[22 81] ; [ 60 148],[27.15755627 75.84244373] ; [ 54.84244373 153.15755627],0
s6,1,0.160179,1.972536,[55 48] ; [132  82],[60.76025237 42.23974763] ; [126.23974763  87.76025237],0
v3,1,0.190015,1.717504,[23 78] ; [ 63 148],[27.83974359 73.16025641] ; [ 58.16025641 152.83974359],0
s7,1,0.222339,1.48921,[36 65] ; [ 88 117],[40.92810458 60.07189542] ; [ 83.07189542 121.92810458],0
b2,1,0.232214,1.427248,[13 41] ; [40 81],[16.35428571 37.64571429] ; [36.64571429 84.35428571],0
b3,1,0.232214,1.427248,[13 41] ; [40 81],[16.35428571 37.64571429] ; [36.64571429 84.35428571],0
s8,1,0.247765,1.335864,[30 74] ; [ 76 139],[34.55799373 69.44200627] ; [ 71.44200627 143.55799373],0
b4,1,0.247984,1.334624,[66 38] ; [123  94],[61.23364486 42.76635514] ; [127.76635514  89.23364486],0
n2,1,0.303135,1.060349,[21  7] ; [41 23],[18.86956522  9.13043478] ; [43.13043478 20.86956522],0
v4,1,0.312486,1.020139,[93 10] ; [201  14],[95.22641509  7.77358491] ; [198.77358491  16.22641509],0
p7,1,0.387081,0.748093,[52 47] ; [123  90],[55.52884615 43.47115385] ; [119.47115385  93.52884615],0
