Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,54.888845,[ 20 120] ; [143 133],[54.85576923 85.14423077] ; [108.14423077 167.85576923],1
a3,1,0.0,44.361456,[61 79] ; [211  65],[91.53846154 48.46153846] ; [180.46153846  95.53846154],1
d1,1,0.0,43.401401,[42 98] ; [177  99],[73.70192308 66.29807692] ; [145.29807692 130.70192308],1
d2,1,0.0,42.609299,[ 31 109] ; [153 121],[62.22222222 77.77777778] ; [121.77777778 152.22222222],1
n4,1,0.0,30.079325,[71 68] ; [214  62],[95.45783133 43.54216867] ; [189.54216867  86.45783133],1
d5,1,0.0,26.227046,[86 53] ; [232  43],[106.76811594  32.23188406] ; [211.23188406  63.76811594],1
a6,1,0.0,25.618785,[72 68] ; [209  66],[94.79518072 45.20481928] ; [186.20481928  88.79518072],1
d4,1,1e-06,24.489269,[90 49] ; [236  39],[109.45410628  29.54589372] ; [216.54589372  58.45410628],1
r1,1,1.4e-05,18.858832,[86 54] ; [223  52],[104.24096386  35.75903614] ; [204.75903614  70.24096386],1
u1,1,2.8e-05,17.569025,[  6 134] ; [ 54 222],[ 20.19230769 119.80769231] ; [ 39.80769231 236.19230769],1
p10,1,3.9e-05,16.905807,[84 53] ; [219  54],[101.24634146  35.75365854] ; [201.75365854  71.24634146],1
p9,1,0.000393,12.563413,[91 45] ; [226  48],[105.15121951  30.84878049] ; [211.84878049  62.15121951],1
v2,1,0.000527,12.018026,[39 93] ; [127 139],[55.05527638 76.94472362] ; [110.94472362 155.05527638],1
p3,1,0.000542,11.964061,[ 40 100] ; [127 148],[56.3373494 83.6626506] ; [110.6626506 164.3373494],1
r4,1,0.001635,9.919437,[115  25] ; [255  21],[124.51923077  15.48076923] ; [245.48076923  30.51923077],0
d3,1,0.002129,9.435062,[78 60] ; [197  78],[91.88861985 46.11138015] ; [183.11138015  91.88861985],0
p4,1,0.00347,8.542473,[55 83] ; [151 123],[69. 69.] ; [137. 137.],0
s7,1,0.003476,8.539158,[44 93] ; [124 138],[57.68421053 79.31578947] ; [110.31578947 151.68421053],0
s6,1,0.005026,7.870168,[70 68] ; [177  95],[83.13658537 54.86341463] ; [163.86341463 108.13658537],0
r2,1,0.014338,5.996033,[122  18] ; [257  16],[128.47457627  11.52542373] ; [250.52542373  22.47457627],0
b2,1,0.018323,5.565004,[14 57] ; [54 99],[21.55357143 49.44642857] ; [ 46.44642857 106.55357143],0
b3,1,0.018323,5.565004,[14 57] ; [54 99],[21.55357143 49.44642857] ; [ 46.44642857 106.55357143],0
s5,1,0.021281,5.303617,[ 27 108] ; [ 82 184],[36.6957606 98.3042394] ; [ 72.3042394 193.6957606],0
s8,1,0.032195,4.5881,[ 38 102] ; [104 172],[47.78846154 92.21153846] ; [ 94.21153846 181.78846154],0
n5,1,0.034284,4.480507,[78 60] ; [184  90],[87.75728155 50.24271845] ; [174.24271845  99.75728155],0
p12,1,0.041119,4.1711,[  3 136] ; [ 19 255],[  7.40435835 131.59564165] ; [ 14.59564165 259.40435835],0
v3,1,0.059986,3.537783,[ 29 106] ; [ 81 186],[36.94029851 98.05970149] ; [ 73.05970149 193.94029851],0
a1,1,0.067825,3.33489,[  2 138] ; [ 14 262],[  5.38461538 134.61538462] ; [ 10.61538462 265.38461538],0
p7,1,0.104783,2.631196,[70 65] ; [164 108],[77.61670762 57.38329238] ; [156.38329238 115.61670762],0
v4,1,0.14638,2.109576,[124  14] ; [259  17],[127.66666667  10.33333333] ; [255.33333333  20.66666667],0
b5,1,0.148084,2.091873,[85 55] ; [147 129],[78.07692308 61.92307692] ; [153.92307692 122.07692308],0
p5,1,0.217444,1.521159,[  7 132] ; [ 23 252],[ 10.07246377 128.92753623] ; [ 19.92753623 255.07246377],0
u2,1,0.218102,1.516815,[37 41] ; [37 27],[40.64788732 37.35211268] ; [33.35211268 30.64788732],0
n3,1,0.252679,1.308431,[28 13] ; [60 17],[30.57627119 10.42372881] ; [57.42372881 19.57627119],0
n6,1,0.258145,1.278679,[107  33] ; [224  52],[111.39423077  28.60576923] ; [219.60576923  56.39423077],0
b4,1,0.271959,1.206841,[86 54] ; [154 122],[80.76923077 59.23076923] ; [159.23076923 116.76923077],0
p2,1,0.309775,1.031633,[103  36] ; [216  59],[107.10386473  31.89613527] ; [211.89613527  63.10386473],0
s1,1,0.379425,0.772565,[  7 131] ; [  9 264],[  5.37226277 132.62773723] ; [ 10.62773723 262.37226277],0
s2,1,0.389201,0.741438,[58 81] ; [127 148],[62.11352657 76.88647343] ; [122.88647343 152.11352657],0
p8,1,0.45475,0.558786,[59 80] ; [126 146],[62.56690998 76.43309002] ; [122.43309002 149.56690998],0
n2,1,0.47766,0.504202,[30 10] ; [55 25],[28.33333333 11.66666667] ; [56.66666667 23.33333333],0
s4,1,0.531494,0.391535,[ 28 109] ; [ 49 225],[ 25.66666667 111.33333333] ; [ 51.33333333 222.66666667],0
n1,1,0.586001,0.296633,[12 29] ; [26 50],[13.31623932 27.68376068] ; [24.68376068 51.31623932],0
a7,1,0.622255,0.242711,[97 42] ; [199  77],[99.14216867 39.85783133] ; [196.85783133  79.14216867],0
p11,1,0.636581,0.223241,[102  38] ; [207  69],[103.99038462  36.00961538] ; [205.00961538  70.99038462],0
b1,1,0.648561,0.20772,[57 83] ; [106 170],[54.85576923 85.14423077] ; [108.14423077 167.85576923],0
p1,1,0.666303,0.185957,[  8 130] ; [ 19 256],[  9.02179177 128.97820823] ; [ 17.97820823 257.02179177],0
s3,1,0.672801,0.178343,[71 67] ; [147 127],[73.01941748 64.98058252] ; [144.98058252 129.01941748],0
a8,1,0.683552,0.166154,[ 17 116] ; [ 29 226],[ 15.76804124 117.23195876] ; [ 30.23195876 224.76804124],0
p6,1,0.733355,0.116054,[ 39 100] ; [ 81 192],[40.48543689 98.51456311] ; [ 79.51456311 193.48543689],0
u3,1,0.925341,0.008781,[39 39] ; [32 31],[39.27659574 38.72340426] ; [31.72340426 31.27659574],0
u4,1,0.990592,0.000139,[  1 139] ; [  2 274],[  1.00961538 138.99038462] ; [  1.99038462 274.00961538],0
