Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.016838,5.7132,[ 1 24] ; [1 1],[ 1.85185185 23.14814815] ; [0.14814815 1.85185185],0
s8,1,0.068964,3.3075,[ 2 23] ; [1 1],[ 2.77777778 22.22222222] ; [0.22222222 1.77777778],0
d2,1,0.14549,2.118913,[ 3 22] ; [1 1],[ 3.7037037 21.2962963] ; [0.2962963 1.7037037],0
v3,1,0.14549,2.118913,[ 3 22] ; [1 1],[ 3.7037037 21.2962963] ; [0.2962963 1.7037037],0
s4,1,0.14549,2.118913,[ 3 22] ; [1 1],[ 3.7037037 21.2962963] ; [0.2962963 1.7037037],0
p8,1,0.15789,1.994318,[ 3 21] ; [1 1],[ 3.69230769 20.30769231] ; [0.30769231 1.69230769],0
d1,1,0.233613,1.418727,[ 4 21] ; [1 1],[ 4.62962963 20.37037037] ; [0.37037037 1.62962963],0
s2,1,0.326109,0.964286,[ 5 20] ; [1 1],[ 5.55555556 19.44444444] ; [0.44444444 1.55555556],0
s6,1,0.326109,0.964286,[ 5 20] ; [1 1],[ 5.55555556 19.44444444] ; [0.44444444 1.55555556],0
p3,1,0.419449,0.651857,[ 6 19] ; [1 1],[ 6.48148148 18.51851852] ; [0.51851852 1.48148148],0
s3,1,0.443789,0.586466,[ 6 18] ; [1 1],[ 6.46153846 17.53846154] ; [0.53846154 1.46153846],0
p10,1,0.443789,0.586466,[ 6 18] ; [1 1],[ 6.46153846 17.53846154] ; [0.53846154 1.46153846],0
u3,1,0.540818,0.374026,[ 4 10] ; [1 1],[4.375 9.625] ; [0.625 1.375],0
a6,1,0.603332,0.27,[ 8 17] ; [1 1],[ 8.33333333 16.66666667] ; [0.66666667 1.33333333],0
r1,1,0.693196,0.155647,[ 9 16] ; [1 1],[ 9.25925926 15.74074074] ; [0.74074074 1.25925926],0
d4,1,0.693196,0.155647,[16  9] ; [1 1],[15.74074074  9.25925926] ; [1.25925926 0.74074074],0
d3,1,0.693196,0.155647,[ 9 16] ; [1 1],[ 9.25925926 15.74074074] ; [0.74074074 1.25925926],0
p4,1,0.693196,0.155647,[ 9 16] ; [1 1],[ 9.25925926 15.74074074] ; [0.74074074 1.25925926],0
b5,1,0.781814,0.076705,[15 10] ; [1 1],[14.81481481 10.18518519] ; [1.18518519 0.81481481],0
r3,1,0.781814,0.076705,[10 15] ; [1 1],[10.18518519 14.81481481] ; [0.81481481 1.18518519],0
b4,1,0.869482,0.027,[14 11] ; [1 1],[13.88888889 11.11111111] ; [1.11111111 0.88888889],0
n5,1,0.95656,0.002967,[12 13] ; [1 1],[12.03703704 12.96296296] ; [0.96296296 1.03703704],0
