Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.4e-05,17.175588,[98 19] ; [5 9],[91.99236641 25.00763359] ; [11.00763359  2.99236641],1
n5,1,0.003067,8.767094,[94 25] ; [6 8],[89.47368421 29.52631579] ; [10.52631579  3.47368421],0
n4,1,0.007057,7.258365,[103  17] ; [8 6],[99.40298507 20.59701493] ; [11.59701493  2.40298507],0
p11,1,0.010099,6.617338,[102  18] ; [8 6],[98.50746269 21.49253731] ; [11.49253731  2.50746269],0
a7,1,0.014665,5.956331,[89 31] ; [6 8],[85.07462687 34.92537313] ; [9.92537313 4.07462687],0
p9,1,0.022126,5.23588,[104  15] ; [9 5],[101.10526316  17.89473684] ; [11.89473684  2.10526316],0
d5,1,0.025196,5.01034,[99 21] ; [8 6],[95.82089552 24.17910448] ; [11.17910448  2.82089552],0
p7,1,0.032125,4.591809,[102  16] ; [9 5],[99.22727273 18.77272727] ; [11.77272727  2.22727273],0
a5,1,0.03384,4.502787,[85 35] ; [6 8],[81.49253731 38.50746269] ; [9.50746269 4.49253731],0
s6,1,0.053567,3.72613,[56 59] ; [10  3],[59.296875 55.703125] ; [6.703125 6.296875],0
r1,1,0.078435,3.09703,[94 26] ; [8 6],[91.34328358 28.65671642] ; [10.65671642  3.34328358],0
p8,1,0.089861,2.876861,[85 33] ; [7 7],[82.24242424 35.75757576] ; [9.75757576 4.24242424],0
a3,1,0.176544,1.826478,[81 38] ; [7 7],[78.73684211 40.26315789] ; [9.26315789 4.73684211],0
d3,1,0.176544,1.826478,[81 38] ; [7 7],[78.73684211 40.26315789] ; [9.26315789 4.73684211],0
p4,1,0.176643,1.825644,[96 24] ; [9 5],[94.02985075 25.97014925] ; [10.97014925  3.02985075],0
a2,1,0.199816,1.643719,[26 94] ; [ 1 13],[24.17910448 95.82089552] ; [ 2.82089552 11.17910448],0
b4,1,0.213934,1.544604,[74 46] ; [11  3],[76.11940299 43.88059701] ; [8.88059701 5.11940299],0
a6,1,0.216217,1.529306,[80 40] ; [7 7],[77.91044776 42.08955224] ; [9.08955224 4.91044776],0
n1,1,0.233724,1.418051,[10 21] ; [2 1],[10.94117647 20.05882353] ; [1.05882353 1.94117647],0
u2,1,0.268046,1.226718,[19 20] ; [5 2],[20.34782609 18.65217391] ; [3.65217391 3.34782609],0
s4,1,0.305656,1.049353,[ 14 105] ; [ 3 11],[ 15.21052632 103.78947368] ; [ 1.78947368 12.21052632],0
d1,1,0.325451,0.966915,[68 52] ; [6 8],[66.26865672 53.73134328] ; [7.73134328 6.26865672],0
s5,1,0.385572,0.752862,[26 91] ; [4 8],[27.20930233 89.79069767] ; [2.79069767 9.20930233],0
s8,1,0.390435,0.737588,[41 79] ; [6 7],[42.40601504 77.59398496] ; [4.59398496 8.40601504],0
s3,1,0.398589,0.71258,[29 90] ; [ 2 12],[27.73684211 91.26315789] ; [ 3.26315789 10.73684211],0
n6,1,0.41125,0.675184,[104  16] ; [11  3],[102.98507463  17.01492537] ; [12.01492537  1.98507463],0
p1,1,0.46581,0.531899,[ 17 103] ; [ 1 13],[ 16.11940299 103.88059701] ; [ 1.88059701 12.11940299],0
b1,1,0.471648,0.518113,[48 72] ; [7 7],[49.25373134 70.74626866] ; [5.74626866 8.25373134],0
v1,1,0.510488,0.433066,[71 49] ; [7 7],[69.85074627 50.14925373] ; [8.14925373 5.85074627],0
a8,1,0.603042,0.270433,[11 93] ; [ 2 11],[11.55555556 92.44444444] ; [ 1.44444444 11.55555556],0
d4,1,0.610193,0.259894,[93 27] ; [10  4],[92.23880597 27.76119403] ; [10.76119403  3.23880597],0
b5,1,0.626153,0.237314,[69 51] ; [9 5],[69.85074627 50.14925373] ; [8.14925373 5.85074627],0
s7,1,0.633839,0.22689,[42 70] ; [4 9],[41.216 70.784] ; [4.784 8.216],0
v2,1,0.65218,0.203163,[66 54] ; [8 5],[66.76691729 53.23308271] ; [7.23308271 5.76691729],0
u3,1,0.728282,0.120695,[19 19] ; [4 3],[19.42222222 18.57777778] ; [3.57777778 3.42222222],0
v4,1,0.733107,0.116278,[114   6] ; [13  1],[113.73134328   6.26865672] ; [13.26865672  0.73134328],0
v3,1,0.779375,0.078475,[51 69] ; [5 8],[50.52631579 69.47368421] ; [5.47368421 7.52631579],0
r4,1,0.801844,0.062981,[109  11] ; [13  1],[109.25373134  10.74626866] ; [12.74626866  1.25373134],0
p3,1,0.801929,0.062927,[73 47] ; [9 5],[73.43283582 46.56716418] ; [8.56716418 5.43283582],0
d2,1,0.832409,0.04478,[55 65] ; [6 8],[54.62686567 65.37313433] ; [6.37313433 7.62686567],0
b2,1,0.863493,0.02956,[33 44] ; [4 6],[32.74712644 44.25287356] ; [4.25287356 5.74712644],0
b3,1,0.863493,0.02956,[33 44] ; [4 6],[32.74712644 44.25287356] ; [4.25287356 5.74712644],0
p5,1,0.943417,0.005038,[ 18 102] ; [ 2 12],[ 17.91044776 102.08955224] ; [ 2.08955224 11.91044776],0
p12,1,0.959345,0.002598,[  8 110] ; [ 1 13],[  8.04545455 109.95454545] ; [ 0.95454545 13.04545455],0
a4,1,1.0,0.0,[51 68] ; [6 8],[51. 68.] ; [6. 8.],0
