Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,50.544617,[ 40 102] ; [152  78],[73.29032258 68.70967742] ; [118.70967742 111.29032258],1
s8,1,0.0,47.376279,[ 18 124] ; [111 123],[48.71808511 93.28191489] ; [ 80.28191489 153.71808511],1
s2,1,0.0,46.225978,[ 29 113] ; [130 101],[60.5308311 81.4691689] ; [ 98.4691689 132.5308311],1
s7,1,0.0,36.808105,[ 28 105] ; [120 103],[55.29213483 77.70786517] ; [ 92.70786517 130.29213483],1
s5,1,0.0,33.203327,[ 14 124] ; [ 86 141],[ 37.80821918 100.19178082] ; [ 62.19178082 164.80821918],1
p10,1,0.000219,13.657346,[90 50] ; [185  42],[104.90463215  35.09536785] ; [170.09536785  56.90463215],1
n5,1,0.000474,12.214093,[82 59] ; [175  57],[97.15013405 43.84986595] ; [159.84986595  72.15013405],1
n6,1,0.000551,11.935172,[98 43] ; [197  36],[111.21657754  29.78342246] ; [183.78342246  49.21657754],1
p9,1,0.001182,10.518504,[99 42] ; [194  36],[111.35579515  29.64420485] ; [181.64420485  48.35579515],0
p5,1,0.001416,10.184895,[  5 135] ; [ 32 200],[ 13.92473118 126.07526882] ; [ 23.07526882 208.92473118],0
p7,1,0.002157,9.411312,[70 69] ; [151  76],[83.93169399 55.06830601] ; [137.06830601  89.93169399],0
p8,1,0.00235,9.253532,[50 90] ; [120 111],[64.1509434 75.8490566] ; [105.8490566 125.1509434],0
r1,1,0.003323,8.620879,[91 51] ; [181  51],[103.27272727  38.72727273] ; [168.72727273  63.27272727],0
p4,1,0.007328,7.190688,[57 84] ; [127 105],[69.55495979 71.44504021] ; [114.44504021 117.55495979],0
p12,1,0.02246,5.209831,[  3 137] ; [ 18 213],[  7.9245283 132.0754717] ; [ 13.0754717 217.9245283],0
u3,1,0.025772,4.971227,[27 37] ; [60 40],[33.95121951 30.04878049] ; [53.04878049 46.95121951],0
r2,1,0.036125,4.391173,[122  20] ; [213  17],[127.87634409  14.12365591] ; [207.12365591  22.87634409],0
n4,1,0.036605,4.368709,[89 53] ; [170  63],[98.07466667 43.92533333] ; [160.92533333  72.07466667],0
d5,1,0.036735,4.362674,[70 71] ; [142  92],[79.712 61.288] ; [132.288 101.712],0
s4,1,0.038923,4.264246,[ 16 126] ; [ 45 187],[ 23.16042781 118.83957219] ; [ 37.83957219 194.16042781],0
p6,1,0.040385,4.201635,[ 34 107] ; [ 78 150],[42.79674797 98.20325203] ; [ 69.20325203 158.79674797],0
v1,1,0.040529,4.195605,[55 83] ; [116 112],[64.47540984 73.52459016] ; [106.52459016 121.47540984],0
r4,1,0.100929,2.690806,[120  22] ; [211  23],[125.00531915  16.99468085] ; [205.99468085  28.00531915],0
v3,1,0.103358,2.652951,[ 37 100] ; [ 81 149],[44.04904632 92.95095368] ; [ 73.95095368 156.04904632],0
u2,1,0.143751,2.137342,[29 35] ; [57 43],[33.56097561 30.43902439] ; [52.43902439 47.56097561],0
