Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,40.25604,[ 84 161] ; [44 10],[104.88294314 140.11705686] ; [23.11705686 30.88294314],1
p8,1,2e-06,22.979414,[ 69 178] ; [34 21],[ 84.24172185 162.75827815] ; [18.75827815 36.24172185],1
p4,1,2e-06,22.679837,[ 59 188] ; [31 24],[ 73.60927152 173.39072848] ; [16.39072848 38.60927152],1
p11,1,0.00196,9.586366,[166  85] ; [48  7],[175.53594771  75.46405229] ; [38.46405229 16.53594771],0
p2,1,0.003029,8.789649,[168  82] ; [48  7],[177.04918033  72.95081967] ; [38.95081967 16.04918033],0
v1,1,0.005237,7.795749,[ 86 159] ; [30 24],[ 95.05016722 149.94983278] ; [20.94983278 33.05016722],0
s8,1,0.008541,6.916413,[ 27 224] ; [13 41],[ 32.91803279 218.08196721] ; [ 7.08196721 46.91803279],0
n5,1,0.019526,5.453793,[147 100] ; [42 13],[154.5794702  92.4205298] ; [34.4205298 20.5794702],0
r4,1,0.025863,4.965158,[189  62] ; [49  6],[195.22222222  55.77777778] ; [42.77777778 12.22222222],0
r3,1,0.036727,4.363028,[214  34] ; [53  2],[218.53465347  29.46534653] ; [48.46534653  6.53465347],0
p1,1,0.038274,4.292824,[ 10 239] ; [ 6 49],[ 13.10526316 235.89473684] ; [ 2.89473684 52.10526316],0
d1,1,0.053155,3.73904,[110 141] ; [32 23],[116.47712418 134.52287582] ; [25.52287582 29.47712418],0
s6,1,0.073843,3.195464,[102 145] ; [29 24],[107.85666667 139.14333333] ; [23.14333333 29.85666667],0
s2,1,0.086065,2.946475,[ 59 188] ; [19 35],[ 64.00664452 182.99335548] ; [13.99335548 40.00664452],0
a6,1,0.092668,2.827407,[167  84] ; [30 25],[161.59150327  89.40849673] ; [35.40849673 19.59150327],0
d5,1,0.116447,2.464469,[173  78] ; [43 11],[177.75737705  73.24262295] ; [38.24262295 15.75737705],0
a4,1,0.121464,2.398341,[ 83 166] ; [24 30],[ 87.93069307 161.06930693] ; [19.06930693 34.93069307],0
b5,1,0.125246,2.350459,[155  96] ; [40 15],[159.95098039  91.04901961] ; [35.04901961 19.95098039],0
s3,1,0.137297,2.207996,[ 81 164] ; [24 31],[ 85.75 159.25] ; [19.25 35.75],0
d3,1,0.171812,1.867065,[150 101] ; [37 16],[154.39802632  96.60197368] ; [32.60197368 20.39802632],0
p9,1,0.175547,1.834921,[169  76] ; [43 12],[173.13333333  71.86666667] ; [38.86666667 16.13333333],0
r2,1,0.206589,1.595174,[212  33] ; [51  4],[214.78333333  30.21666667] ; [48.21666667  6.78333333],0
v2,1,0.227199,1.458312,[ 96 139] ; [26 26],[ 99.89547038 135.10452962] ; [22.10452962 29.89547038],0
b3,1,0.261917,1.258596,[40 93] ; [10 14],[42.3566879 90.6433121] ; [ 7.6433121 16.3566879],0
b2,1,0.261917,1.258596,[40 93] ; [10 14],[42.3566879 90.6433121] ; [ 7.6433121 16.3566879],0
p10,1,0.262548,1.255272,[158  88] ; [39 15],[161.54  84.46] ; [35.46 18.54],0
n6,1,0.273918,1.19702,[181  69] ; [43 11],[184.21052632  65.78947368] ; [39.78947368 14.21052632],0
n2,1,0.38353,0.759357,[53 27] ; [16  5],[54.65346535 25.34653465] ; [14.34653465  6.65346535],0
u3,1,0.383875,0.758256,[47 56] ; [ 9 16],[45.0625 57.9375] ; [10.9375 14.0625],0
n4,1,0.408693,0.682601,[148 101] ; [36 19],[150.71052632  98.28947368] ; [33.28947368 21.71052632],0
b4,1,0.423267,0.641227,[145 106] ; [35 20],[147.64705882 103.35294118] ; [32.35294118 22.64705882],0
v4,1,0.434671,0.610312,[216  32] ; [50  5],[217.71617162  30.28382838] ; [48.28382838  6.71617162],0
d4,1,0.450051,0.570524,[188  62] ; [44 11],[190.16393443  59.83606557] ; [41.83606557 13.16393443],0
a8,1,0.47743,0.504727,[ 26 210] ; [ 4 48],[ 24.58333333 211.41666667] ; [ 5.41666667 46.58333333],0
u4,1,0.486258,0.484796,[  2 249] ; [ 1 54],[  2.46078431 248.53921569] ; [ 0.53921569 54.46078431],0
s5,1,0.500984,0.452852,[ 41 202] ; [11 42],[ 42.68918919 200.31081081] ; [ 9.31081081 43.68918919],0
p12,1,0.521852,0.410231,[  9 241] ; [ 3 52],[  9.83606557 240.16393443] ; [ 2.16393443 52.83606557],0
a5,1,0.547395,0.362005,[148 103] ; [30 25],[146.00653595 104.99346405] ; [31.99346405 23.00653595],0
a3,1,0.556414,0.345952,[146 102] ; [30 25],[144.05280528 103.94719472] ; [31.94719472 23.05280528],0
s1,1,0.608071,0.262993,[  8 237] ; [ 1 51],[  7.42424242 237.57575758] ; [ 1.57575758 50.42424242],0
d2,1,0.613664,0.254873,[ 95 154] ; [23 32],[ 96.65131579 152.34868421] ; [21.34868421 33.65131579],0
a1,1,0.631236,0.230388,[ 13 238] ; [ 2 53],[ 12.30392157 238.69607843] ; [ 2.69607843 52.30392157],0
b1,1,0.633567,0.227255,[ 86 165] ; [17 38],[ 84.4869281 166.5130719] ; [18.5130719 36.4869281],0
n3,1,0.672879,0.178253,[52 28] ; [14  6],[52.8 27.2] ; [13.2  6.8],0
s4,1,0.695997,0.15267,[ 33 215] ; [ 6 47],[ 32.13289037 215.86710963] ; [ 6.86710963 46.13289037],0
a7,1,0.720491,0.128023,[169  80] ; [38 16],[170.10891089  78.89108911] ; [36.89108911 17.10891089],0
a2,1,0.754887,0.09747,[ 36 215] ; [ 7 48],[ 35.27124183 215.72875817] ; [ 7.72875817 47.27124183],0
v3,1,0.862676,0.029918,[ 64 176] ; [13 38],[ 63.50515464 176.49484536] ; [13.49484536 37.50515464],0
p5,1,0.873376,0.025399,[  8 241] ; [ 2 53],[  8.19078947 240.80921053] ; [ 1.80921053 53.19078947],0
