Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,9.7e-05,15.188083,[48 18] ; [129 151],[33.76300578 32.23699422] ; [143.23699422 136.76300578],1
s3,1,0.000236,13.520563,[38 26] ; [ 97 184],[25.04347826 38.95652174] ; [109.95652174 171.04347826],1
d2,1,0.00323,8.67273,[38 28] ; [108 178],[27.375 38.625] ; [118.625 167.375],0
p6,1,0.003612,8.46921,[27 39] ; [ 66 217],[17.58739255 48.41260745] ; [ 75.41260745 207.58739255],0
p11,1,0.004523,8.060793,[59  7] ; [209  78],[50.10764873 15.89235127] ; [217.89235127  69.10764873],0
s2,1,0.005186,7.813431,[29 35] ; [ 78 206],[19.67816092 44.32183908] ; [ 87.32183908 196.67816092],0
p2,1,0.005263,7.786875,[61  5] ; [220  65],[52.83760684 13.16239316] ; [228.16239316  56.83760684],0
r4,1,0.005474,7.715852,[64  2] ; [241  46],[57.02549575  8.97450425] ; [247.97450425  39.02549575],0
p3,1,0.009064,6.810091,[36 30] ; [106 180],[26.625 39.375] ; [115.375 170.625],0
d1,1,0.013503,6.101976,[46 20] ; [152 135],[37.01983003 28.98016997] ; [160.98016997 126.01983003],0
p10,1,0.022632,5.196496,[57  9] ; [205  76],[49.83285303 16.16714697] ; [212.16714697  68.83285303],0
d5,1,0.03452,4.468768,[60  6] ; [229  58],[54.03399433 11.96600567] ; [234.96600567  52.03399433],0
p4,1,0.039646,4.232983,[41 25] ; [137 148],[33.47008547 32.52991453] ; [144.52991453 140.47008547],0
r1,1,0.04746,3.929008,[56  9] ; [212  72],[49.91404011 15.08595989] ; [218.08595989  65.91404011],0
n4,1,0.050959,3.809621,[52 14] ; [190  96],[45.375 20.625] ; [196.625  89.375],0
p7,1,0.053475,3.72902,[42 22] ; [147 134],[35.06086957 28.93913043] ; [153.93913043 127.06086957],0
p9,1,0.090126,2.872127,[57  9] ; [216  65],[51.92507205 14.07492795] ; [221.07492795  59.92507205],0
s4,1,0.134147,2.24384,[13 53] ; [ 35 243],[ 9.20930233 56.79069767] ; [ 38.79069767 239.20930233],0
v3,1,0.140232,2.175416,[25 39] ; [ 81 193],[20.07100592 43.92899408] ; [ 85.92899408 188.07100592],0
b4,1,0.171427,1.870422,[44 22] ; [165 122],[39.07648725 26.92351275] ; [169.92351275 117.07648725],0
p8,1,0.176701,1.825154,[36 29] ; [130 152],[31.09510086 33.90489914] ; [134.90489914 147.09510086],0
a5,1,0.178308,1.811674,[50 16] ; [193  94],[45.43342776 20.56657224] ; [197.56657224  89.43342776],0
b2,1,0.203309,1.618447,[17 25] ; [42 98],[13.61538462 28.38461538] ; [45.38461538 94.61538462],0
b3,1,0.203309,1.618447,[17 25] ; [42 98],[13.61538462 28.38461538] ; [45.38461538 94.61538462],0
s5,1,0.225067,1.471769,[15 46] ; [ 50 230],[11.62756598 49.37243402] ; [ 53.37243402 226.62756598],0
a8,1,0.226827,1.460648,[10 52] ; [ 28 235],[ 7.24923077 54.75076923] ; [ 30.75076923 232.24923077],0
u3,1,0.292593,1.10765,[14  7] ; [58 49],[11.8125  9.1875] ; [60.1875 46.8125],0
a4,1,0.320806,0.985658,[30 36] ; [111 175],[26.4375 39.5625] ; [114.5625 171.4375],0
u1,1,0.338575,0.91582,[12 54] ; [ 39 248],[ 9.53541076 56.46458924] ; [ 41.46458924 245.53541076],0
a3,1,0.356193,0.851272,[45 21] ; [177 108],[41.74358974 24.25641026] ; [180.25641026 104.74358974],0
u2,1,0.356504,0.850172,[13  8] ; [55 53],[11.06976744  9.93023256] ; [56.93023256 51.06976744],0
v4,1,0.363042,0.827342,[63  3] ; [262  22],[61.28571429  4.71428571] ; [263.71428571  20.28571429],0
a6,1,0.386508,0.749899,[47 19] ; [219  68],[49.73371105 16.26628895] ; [216.26628895  70.73371105],0
v1,1,0.399646,0.70939,[32 30] ; [128 152],[29.00584795 32.99415205] ; [130.99415205 149.00584795],0
p12,1,0.465188,0.533383,[ 5 61] ; [ 15 270],[ 3.76068376 62.23931624] ; [ 16.23931624 268.76068376],0
u4,1,0.51574,0.422403,[ 1 65] ; [  2 284],[ 0.5625 65.4375] ; [  2.4375 283.5625],0
v2,1,0.542523,0.370883,[34 28] ; [137 134],[31.83783784 30.16216216] ; [139.16216216 131.83783784],0
a2,1,0.552093,0.353582,[16 50] ; [ 60 227],[14.20963173 51.79036827] ; [ 61.79036827 225.20963173],0
n3,1,0.578261,0.309054,[8 4] ; [55 19],[8.79069767 3.20930233] ; [54.20930233 19.79069767],0
a1,1,0.586105,0.296468,[ 2 64] ; [ 13 274],[ 2.80453258 63.19546742] ; [ 12.19546742 274.80453258],0
n1,1,0.647383,0.209215,[3 8] ; [25 48],[3.66666667 7.33333333] ; [24.33333333 48.66666667],0
p5,1,0.649724,0.206248,[ 3 63] ; [ 17 267],[ 3.77142857 62.22857143] ; [ 16.22857143 267.77142857],0
r2,1,0.65418,0.20067,[61  4] ; [261  22],[60.14367816  4.85632184] ; [261.85632184  21.14367816],0
s1,1,0.674598,0.176271,[ 1 62] ; [  7 277],[ 1.45244957 61.54755043] ; [  6.54755043 277.45244957],0
d4,1,0.781212,0.077139,[55 11] ; [235  52],[54.22096317 11.77903683] ; [235.77903683  51.22096317],0
d3,1,0.78416,0.075022,[50 16] ; [212  74],[49.125 16.875] ; [212.875  73.125],0
b5,1,0.786123,0.07363,[43 23] ; [192  95],[43.93767705 22.06232295] ; [191.06232295  95.93767705],0
b1,1,0.857532,0.032226,[24 42] ; [101 186],[23.37110482 42.62889518] ; [101.62889518 185.37110482],0
n6,1,0.874459,0.024963,[52 14] ; [222  63],[51.52136752 14.47863248] ; [222.47863248  62.52136752],0
n5,1,0.934061,0.006845,[43 22] ; [187  98],[42.71428571 22.28571429] ; [187.28571429  97.71428571],0
n2,1,0.950739,0.003817,[8 4] ; [50 24],[8.09302326 3.90697674] ; [49.90697674 24.09302326],0
p1,1,0.962653,0.002192,[ 5 61] ; [ 22 262],[ 5.09142857 60.90857143] ; [ 21.90857143 262.09142857],0
