Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,120.551563,[259   9] ; [16 25],[238.51132686  29.48867314] ; [36.48867314  4.51132686],1
p11,1,0.0,35.927575,[238  31] ; [21 20],[224.74516129  44.25483871] ; [34.25483871  6.74516129],1
n5,1,1e-05,19.531408,[231  36] ; [24 17],[221.05519481  45.94480519] ; [33.94480519  7.05519481],1
p3,1,2.5e-05,17.801825,[199  70] ; [17 24],[187.43225806  81.56774194] ; [28.56774194 12.43225806],1
n4,1,0.000373,12.661017,[231  38] ; [26 15],[223.00967742  45.99032258] ; [33.99032258  7.00967742],1
r4,1,0.000494,12.139537,[256  13] ; [33  8],[250.77741935  18.22258065] ; [38.22258065  2.77741935],1
p7,1,0.00094,10.942185,[207  59] ; [22 19],[198.41693811  67.58306189] ; [30.58306189 10.41693811],1
p2,1,0.000977,10.87144,[248  21] ; [31 10],[242.1  26.9] ; [36.9  4.1],1
v1,1,0.001297,10.346172,[194  70] ; [20 21],[185.23278689  78.76721311] ; [28.76721311 12.23278689],0
p5,1,0.006628,7.370988,[ 53 216] ; [ 1 40],[ 46.85806452 222.14193548] ; [ 7.14193548 33.85806452],0
a3,1,0.008362,6.954297,[214  55] ; [25 16],[207.39032258  61.60967742] ; [31.60967742  9.39032258],0
n6,1,0.009136,6.795952,[239  27] ; [31 10],[233.94136808  32.05863192] ; [36.05863192  4.94136808],0
v4,1,0.019684,5.439693,[256  10] ; [36  5],[253.00325733  12.99674267] ; [38.99674267  2.00325733],0
b1,1,0.027117,4.883356,[ 90 179] ; [21 20],[ 96.31935484 172.68064516] ; [14.68064516 26.31935484],0
p12,1,0.031903,4.60368,[ 39 230] ; [ 1 40],[ 34.70967742 234.29032258] ; [ 5.29032258 35.70967742],0
u3,1,0.031973,4.599936,[37 18] ; [ 6 10],[33.30985915 21.69014085] ; [9.69014085 6.30985915],0
u2,1,0.035537,4.419192,[35 20] ; [ 5 10],[31.42857143 23.57142857] ; [8.57142857 6.42857143],0
v3,1,0.060107,3.534433,[156 106] ; [17 22],[150.58471761 111.41528239] ; [22.41528239 16.58471761],0
r1,1,0.068103,3.328167,[231  36] ; [31 10],[227.12337662  39.87662338] ; [34.87662338  6.12337662],0
a5,1,0.102029,2.67354,[225  44] ; [30 11],[221.27419355  47.72580645] ; [33.72580645  7.27419355],0
s5,1,0.10315,2.656154,[109 151] ; [11 28],[104.34782609 155.65217391] ; [15.65217391 23.34782609],0
p8,1,0.115013,2.483948,[183  84] ; [23 18],[178.57792208  88.42207792] ; [27.42207792 13.57792208],0
p6,1,0.136229,2.220049,[140 126] ; [16 24],[135.60784314 130.39215686] ; [20.39215686 19.60784314],0
s7,1,0.160836,1.966344,[150 103] ; [19 21],[145.92832765 107.07167235] ; [23.07167235 16.92832765],0
b5,1,0.167171,1.908133,[153 116] ; [28 13],[157.06129032 111.93870968] ; [23.93870968 17.06129032],0
d1,1,0.25157,1.314563,[188  81] ; [25 16],[184.82903226  84.17096774] ; [28.17096774 12.82903226],0
a6,1,0.275095,1.191163,[193  76] ; [26 15],[190.03548387  78.96451613] ; [28.96451613 12.03548387],0
s6,1,0.294086,1.100823,[198  65] ; [27 13],[195.2970297  67.7029703] ; [29.7029703 10.2970297],0
d4,1,0.294826,1.09745,[233  36] ; [33  8],[230.81935484  38.18064516] ; [35.18064516  5.81935484],0
a7,1,0.303875,1.057112,[209  59] ; [29 12],[206.42071197  61.57928803] ; [31.57928803  9.42071197],0
s2,1,0.357594,0.846327,[151 116] ; [19 20],[148.33333333 118.66666667] ; [21.66666667 17.33333333],0
s8,1,0.392008,0.732704,[139 127] ; [18 22],[136.47712418 129.52287582] ; [20.52287582 19.47712418],0
u4,1,0.418801,0.653678,[  7 262] ; [ 2 39],[  7.80967742 261.19032258] ; [ 1.19032258 39.80967742],0
r3,1,0.421631,0.645765,[261   7] ; [39  2],[260.19417476   7.80582524] ; [39.80582524  1.19417476],0
u1,1,0.452418,0.564586,[ 67 202] ; [ 8 33],[ 65.08064516 203.91935484] ; [ 9.91935484 31.08064516],0
p1,1,0.578626,0.308461,[ 27 241] ; [ 3 38],[ 26.01941748 241.98058252] ; [ 3.98058252 37.01941748],0
b4,1,0.600502,0.27424,[159 110] ; [26 15],[160.53225806 108.46774194] ; [24.46774194 16.53225806],0
s3,1,0.607928,0.263203,[150 114] ; [21 19],[148.5 115.5] ; [22.5 17.5],0
d5,1,0.618473,0.24802,[237  32] ; [35  6],[236.02580645  32.97419355] ; [35.97419355  5.02580645],0
n2,1,0.664317,0.188322,[31  9] ; [10  2],[31.53846154  8.46153846] ; [9.46153846 2.53846154],0
b2,1,0.679335,0.170875,[ 67 107] ; [10 19],[ 66. 108.] ; [11. 18.],0
