Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000217,13.675214,[22  4] ; [ 8 16],[15.6 10.4] ; [14.4  9.6],1
a5,1,0.000294,13.106643,[23  3] ; [10 15],[16.82352941  9.17647059] ; [16.17647059  8.82352941],1
d3,1,0.005555,7.689231,[22  4] ; [12 13],[17.33333333  8.66666667] ; [16.66666667  8.33333333],0
s8,1,0.005849,7.596216,[15 11] ; [ 5 20],[10.19607843 15.80392157] ; [ 9.80392157 15.19607843],0
a4,1,0.012448,6.245951,[14 12] ; [ 5 20],[ 9.68627451 16.31372549] ; [ 9.31372549 15.68627451],0
p9,1,0.014689,5.953335,[25  1] ; [17  7],[21.84  4.16] ; [20.16  3.84],0
p3,1,0.017119,5.684116,[17  9] ; [ 8 17],[12.74509804 13.25490196] ; [12.25490196 12.74509804],0
d2,1,0.02908,4.762868,[14 12] ; [ 6 19],[10.19607843 15.80392157] ; [ 9.80392157 15.19607843],0
p10,1,0.063074,3.454665,[23  3] ; [16  8],[20.28  5.72] ; [18.72  5.28],0
v2,1,0.082194,3.020979,[14 10] ; [ 8 16],[11. 13.] ; [11. 13.],0
n1,1,0.095852,2.773232,[6 4] ; [2 7],[4.21052632 5.78947368] ; [3.78947368 5.21052632],0
r2,1,0.122823,2.380952,[23  2] ; [19  6],[21.  4.] ; [21.  4.],0
n5,1,0.123546,2.37178,[18  8] ; [12 13],[15.29411765 10.70588235] ; [14.70588235 10.29411765],0
v3,1,0.154499,2.02726,[ 8 15] ; [ 4 20],[ 5.87234043 17.12765957] ; [ 6.12765957 17.87234043],0
p1,1,0.155396,2.018468,[ 6 20] ; [ 2 22],[ 4.16 21.84] ; [ 3.84 20.16],0
p6,1,0.155969,2.012882,[14 11] ; [ 9 16],[11.5 13.5] ; [11.5 13.5],0
b2,1,0.182566,1.776608,[8 8] ; [ 4 11],[6.19354839 9.80645161] ; [5.80645161 9.19354839],0
b3,1,0.182566,1.776608,[8 8] ; [ 4 11],[6.19354839 9.80645161] ; [5.80645161 9.19354839],0
p11,1,0.1929,1.69533,[20  6] ; [15 10],[17.84313725  8.15686275] ; [17.15686275  7.84313725],0
v1,1,0.199375,1.646944,[15 10] ; [10 14],[12.75510204 12.24489796] ; [12.24489796 11.75510204],0
p4,1,0.210158,1.570338,[17  9] ; [12 13],[14.78431373 11.21568627] ; [14.21568627 10.78431373],0
b1,1,0.312899,1.018401,[13 13] ; [ 9 16],[11.21568627 14.78431373] ; [10.78431373 14.21568627],0
n2,1,0.313267,1.016852,[7 3] ; [8 1],[7.89473684 2.10526316] ; [7.10526316 1.89473684],0
a2,1,0.316814,1.002054,[ 3 23] ; [ 1 24],[ 2.03921569 23.96078431] ; [ 1.96078431 23.03921569],0
s6,1,0.395766,0.721154,[22  4] ; [18  6],[20.8  5.2] ; [19.2  4.8],0
r3,1,0.406178,0.68996,[23  3] ; [20  5],[21.92156863  4.07843137] ; [21.07843137  3.92156863],0
r4,1,0.475336,0.509546,[20  6] ; [17  8],[18.8627451  7.1372549] ; [18.1372549  6.8627451],0
a8,1,0.479782,0.499358,[ 1 25] ; [ 2 21],[ 1.59183673 24.40816327] ; [ 1.40816327 21.59183673],0
b5,1,0.488161,0.480577,[11 15] ; [13 12],[12.23529412 13.76470588] ; [11.76470588 13.23529412],0
n4,1,0.491731,0.472737,[16 10] ; [13 12],[14.78431373 11.21568627] ; [14.21568627 10.78431373],0
p12,1,0.528533,0.397212,[ 1 25] ; [ 2 23],[ 1.52941176 24.47058824] ; [ 1.47058824 23.52941176],0
p5,1,0.5713,0.320513,[ 6 20] ; [ 4 20],[ 5.2 20.8] ; [ 4.8 19.2],0
p2,1,0.614454,0.253739,[19  7] ; [19  5],[19.76  6.24] ; [18.24  5.76],0
a1,1,0.643464,0.214241,[ 3 23] ; [ 4 21],[ 3.56862745 22.43137255] ; [ 3.43137255 21.56862745],0
a6,1,0.676314,0.174305,[14 12] ; [12 13],[13.25490196 12.74509804] ; [12.74509804 12.25490196],0
p8,1,0.679988,0.170139,[11 13] ; [10 15],[10.28571429 13.71428571] ; [10.71428571 14.28571429],0
u2,1,0.748328,0.102941,[2 2] ; [10  7],[2.28571429 1.71428571] ; [9.71428571 7.28571429],0
b4,1,0.76223,0.091538,[21  5] ; [21  4],[21.41176471  4.58823529] ; [20.58823529  4.41176471],0
s7,1,0.771084,0.084656,[14 10] ; [13 11],[13.5 10.5] ; [13.5 10.5],0
n3,1,0.808655,0.058642,[5 5] ; [4 5],[4.73684211 5.26315789] ; [4.26315789 4.73684211],0
s2,1,0.810755,0.057337,[19  7] ; [19  6],[19.37254902  6.62745098] ; [18.62745098  6.37254902],0
s3,1,0.855772,0.033036,[16 10] ; [16  9],[16.31372549  9.68627451] ; [15.68627451  9.31372549],0
p7,1,0.897374,0.016636,[14 11] ; [13 11],[13.7755102 11.2244898] ; [13.2244898 10.7755102],0
a7,1,0.910431,0.012655,[16 10] ; [15 10],[15.80392157 10.19607843] ; [15.19607843  9.80392157],0
s4,1,0.917616,0.010699,[ 9 17] ; [ 9 16],[ 9.17647059 16.82352941] ; [ 8.82352941 16.17647059],0
v4,1,0.933476,0.006968,[24  2] ; [22  2],[23.92  2.08] ; [22.08  1.92],0
n6,1,0.944856,0.004784,[21  5] ; [20  5],[20.90196078  5.09803922] ; [20.09803922  4.90196078],0
u1,1,0.967409,0.001669,[ 2 24] ; [ 2 23],[ 2.03921569 23.96078431] ; [ 1.96078431 23.03921569],0
s1,1,0.967409,0.001669,[ 2 24] ; [ 2 23],[ 2.03921569 23.96078431] ; [ 1.96078431 23.03921569],0
